selection_category,strategy_id,baseline_strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate
adaptive_horizon,requery_l1_h8,action_l1,6,180,131,143,0.7277777777777777,0.7944444444444444,0.06666666666666667,-0.011111111111111112,0.1388888888888889,-0.23333333333333334,0.26666666666666666,32,20,128,0.12634707581392135,13.744444444444444,15.238888888888889,1.2716929491265145,1.1087308003233631,0.4211752456336145
no_extra_inference,phase_l1_r0.3,action_l1,6,180,131,130,0.7277777777777777,0.7222222222222222,-0.005555555555555556,-0.05,0.044444444444444446,-0.06666666666666667,0.06666666666666667,9,10,161,1.0,13.744444444444444,13.561111111111112,1.0,0.9866612772837511,0.0
