selection_category,strategy_id,baseline_strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate,mcnemar_holm_p
adaptive_horizon,requery_l1_h8,max_value,6,180,115,143,0.6388888888888888,0.7944444444444444,0.15555555555555556,0.07222222222222222,0.23333333333333334,-0.1,0.4666666666666667,46,18,116,0.0006173782640671298,14.277777777777779,15.238888888888889,1.2716929491265145,1.0673151750972762,0.4211752456336145,0.0012347565281342597
no_extra_inference,phase_l1_r0.3,max_value,6,180,115,130,0.6388888888888888,0.7222222222222222,0.08333333333333333,0.005555555555555556,0.16111111111111112,0.03333333333333333,0.16666666666666666,33,18,129,0.04887389231827033,14.277777777777779,13.561111111111112,1.0,0.9498054474708171,0.0,0.04887389231827033
