feature,episodes,failures,cases,raw_auc_high_predicts_fail,case_controlled_auc_high_predicts_fail,case_controlled_oriented_auc,risk_direction
value_std__max,180,65,6,0.6224749163879598,0.5882274247491639,0.5882274247491639,high
candidate_value_mean__mean,180,65,6,0.6279598662207357,0.5879598662207358,0.5879598662207358,high
candidate_value_mean__max,180,65,6,0.6280936454849498,0.5867558528428094,0.5867558528428094,high
candidate_value_mean__delta,180,65,6,0.6373244147157191,0.5795317725752508,0.5795317725752508,high
value_range__max,180,65,6,0.6184615384615385,0.5729765886287626,0.5729765886287626,high
value_std__mean,180,65,6,0.6156521739130435,0.5527759197324414,0.5527759197324414,high
value_range__mean,180,65,6,0.6147826086956522,0.5462207357859532,0.5462207357859532,high
latent_action_copy_std_mean_mean_over_samples__mean,180,65,6,0.4789297658862876,0.5460869565217391,0.5460869565217391,high
latent_action_first_step_copy_l2_std_mean_over_samples__mean,180,65,6,0.5030100334448161,0.45645484949832776,0.5435451505016722,low
candidate_action_internal_consistency_mean__mean,180,65,6,0.5030100334448161,0.45645484949832776,0.5435451505016722,low
latent_action_first_step_copy_l2_std_mean_over_samples__max,180,65,6,0.46073578595317727,0.45725752508361206,0.5427424749163879,low
candidate_action_internal_consistency_mean__max,180,65,6,0.46073578595317727,0.45725752508361206,0.5427424749163879,low
latent_action_first_step_copy_l2_std_mean_over_samples__delta,180,65,6,0.6676923076923077,0.5406020066889632,0.5406020066889632,high
candidate_action_internal_consistency_mean__delta,180,65,6,0.6676923076923077,0.5406020066889632,0.5406020066889632,high
latent_value_element_std_mean_mean_over_samples__delta,180,65,6,0.44,0.4620735785953177,0.5379264214046823,low
latent_action_copy_std_mean_mean_over_samples__max,180,65,6,0.4850836120401338,0.5266889632107024,0.5266889632107024,high
latent_value_element_std_mean_mean_over_samples__max,180,65,6,0.36949832775919733,0.5222742474916388,0.5222742474916388,high
value_std__delta,180,65,6,0.3922408026755853,0.4797324414715719,0.5202675585284281,low
latent_value_element_std_mean_mean_over_samples__mean,180,65,6,0.3670903010033445,0.480133779264214,0.519866220735786,low
candidate_action_consensus_first_mean__max,180,65,6,0.5521070234113712,0.4873578595317726,0.5126421404682274,low
action_first_step_l2_std__mean,180,65,6,0.562809364548495,0.5117056856187291,0.5117056856187291,high
candidate_action_consensus_first_mean__mean,180,65,6,0.5634782608695652,0.5106354515050168,0.5106354515050168,high
action_first_step_l2_std__max,180,65,6,0.5518394648829431,0.48963210702341137,0.5103678929765887,low
value_range__delta,180,65,6,0.39505016722408026,0.49043478260869566,0.5095652173913043,low
candidate_action_consensus_first_mean__delta,180,65,6,0.5577257525083612,0.5063545150501673,0.5063545150501673,high
action_first_step_l2_std__delta,180,65,6,0.5468896321070235,0.5050167224080268,0.5050167224080268,high
latent_action_copy_std_mean_mean_over_samples__delta,180,65,6,0.66876254180602,0.4968561872909699,0.5031438127090301,low
