baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate
action_l1,requery_l1_h8,6,180,131,143,0.7277777777777777,0.7944444444444444,0.06666666666666667,-0.011111111111111112,0.1388888888888889,-0.23333333333333334,0.26666666666666666,32,20,128,0.12634707581392135,13.744444444444444,15.238888888888889,1.2716929491265145,1.1087308003233631,0.4211752456336145
action_l1,phase_l1_r0.3,6,180,131,130,0.7277777777777777,0.7222222222222222,-0.005555555555555556,-0.05,0.044444444444444446,-0.06666666666666667,0.06666666666666667,9,10,161,1.0,13.744444444444444,13.561111111111112,1.0,0.9866612772837511,0.0
action_l1,action_l1_replay,6,180,131,128,0.7277777777777777,0.7111111111111111,-0.016666666666666666,-0.06111111111111111,0.027777777777777776,-0.16666666666666666,0.06666666666666667,7,10,163,0.629058837890625,13.744444444444444,13.705555555555556,1.0,0.9971705739692805,0.0
action_l1,max_value_replay,6,180,131,117,0.7277777777777777,0.65,-0.07777777777777778,-0.16111111111111112,0.005555555555555556,-0.16666666666666666,0.03333333333333333,23,37,120,0.09246098107292373,13.744444444444444,14.21111111111111,1.0,1.0339531123686339,0.0
action_l1,max_value,6,180,131,115,0.7277777777777777,0.6388888888888888,-0.08888888888888889,-0.17222222222222222,-0.005555555555555556,-0.2,0.03333333333333333,23,39,118,0.05589722669971113,13.744444444444444,14.277777777777779,1.0,1.0388035569927245,0.0
