case_id,suite,task_id,init_state_id,rollout_seed,success,planning_difficulty_threshold,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_consensus_first_mean,difficulty_gate_on
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760000,True,0.088588,0.16250652074813843,0.001985115697607398,0.00560566782951355,0.02514970675110817,0.014580933377146721,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760097,True,0.088588,0.16182053089141846,0.0012123779160901904,0.003041684627532959,0.02404550090432167,0.011956635862588882,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760194,True,0.088588,0.16183048486709595,0.0021278653293848038,0.005287855863571167,0.024085842072963715,0.012177890166640282,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760291,True,0.088588,0.16105152666568756,0.00114474818110466,0.0030739903450012207,0.02365748956799507,0.013350386172533035,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760388,False,0.088588,0.1616109013557434,0.0011387355625629425,0.002376079559326172,0.024689126759767532,0.013575038872659206,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760485,True,0.088588,0.16242507100105286,0.0010018654866144061,0.0026152729988098145,0.02491208165884018,0.015072306618094444,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760582,True,0.088588,0.16121888160705566,0.0007467372342944145,0.0018301010131835938,0.02407180890440941,0.012201978825032711,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760679,True,0.088588,0.160474956035614,0.002329288749024272,0.0063880085945129395,0.024018319323658943,0.012551546096801758,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760776,True,0.088588,0.16235096752643585,0.0016666653100401163,0.004555076360702515,0.023731578141450882,0.013979003764688969,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760873,True,0.088588,0.1620362401008606,0.0017098417738452554,0.004205644130706787,0.023703107610344887,0.00849857833236456,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760970,True,0.088588,0.16135412454605103,0.0007631198386661708,0.002156376838684082,0.023777306079864502,0.015290937386453152,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761067,True,0.088588,0.16095346212387085,0.0012054970720782876,0.003111600875854492,0.024512000381946564,0.009873248636722565,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761164,True,0.088588,0.16136333346366882,0.001606680336408317,0.003457188606262207,0.023891020566225052,0.0075864046812057495,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761261,True,0.088588,0.16224005818367004,0.0002342748048249632,0.0006286799907684326,0.02288491278886795,0.01022662315517664,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761358,True,0.088588,0.16246864199638367,0.0007370193488895893,0.0019116699695587158,0.023831980302929878,0.011363734491169453,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761455,True,0.088588,0.16270717978477478,0.0021109911613166332,0.005952954292297363,0.024967148900032043,0.0076273041777312756,True
goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,False,0.088588,0.16299335658550262,0.0014483298873528838,0.003457009792327881,0.022823002189397812,0.012838819995522499,True
