case_stratum,baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate
known_boundary,max_value,requery_l1_h8,3,90,44,61,0.4888888888888889,0.6777777777777778,0.18888888888888888,0.06666666666666667,0.3111111111111111,-0.1,0.4666666666666667,29,12,49,0.011507789735333063,14.588888888888889,15.333333333333334,1.2804368779368778,1.051028179741051,0.4261992216494281
known_boundary,max_value,action_l1,3,90,44,55,0.4888888888888889,0.6111111111111112,0.12222222222222222,0.0,0.24444444444444444,0.03333333333333333,0.2,23,12,55,0.0895310789346695,14.588888888888889,13.755555555555556,1.0,0.942878903274943,0.0
known_boundary,max_value,phase_l1_r0.3,3,90,44,54,0.4888888888888889,0.6,0.1111111111111111,0.0,0.2222222222222222,0.03333333333333333,0.16666666666666666,19,9,62,0.08715855330228806,14.588888888888889,13.88888888888889,1.0,0.952018278750952,0.0
known_boundary,max_value,action_l1_replay,3,90,44,52,0.4888888888888889,0.5777777777777777,0.08888888888888889,-0.044444444444444446,0.2222222222222222,0.03333333333333333,0.13333333333333333,22,14,54,0.2429849540349096,14.588888888888889,13.677777777777777,1.0,0.9375476009139375,0.0
known_boundary,max_value,max_value_replay,3,90,44,46,0.4888888888888889,0.5111111111111111,0.022222222222222223,-0.03333333333333333,0.08888888888888889,0.0,0.03333333333333333,5,3,82,0.7265625,14.588888888888889,14.455555555555556,1.0,0.9908606245239909,0.0
new_ood_holdout,max_value,requery_l1_h8,3,90,71,82,0.7888888888888889,0.9111111111111111,0.12222222222222222,0.022222222222222223,0.2222222222222222,-0.03333333333333333,0.2,17,6,67,0.03468966484069824,13.966666666666667,15.144444444444444,1.2629490203161513,1.0843277645186953,0.4161512696178009
new_ood_holdout,max_value,phase_l1_r0.3,3,90,71,76,0.7888888888888889,0.8444444444444444,0.05555555555555555,-0.044444444444444446,0.15555555555555556,0.03333333333333333,0.06666666666666667,14,9,67,0.4048728942871094,13.966666666666667,13.233333333333333,1.0,0.9474940334128877,0.0
new_ood_holdout,max_value,action_l1,3,90,71,76,0.7888888888888889,0.8444444444444444,0.05555555555555555,-0.05555555555555555,0.16666666666666666,-0.03333333333333333,0.13333333333333333,16,11,63,0.44206833839416504,13.966666666666667,13.733333333333333,1.0,0.9832935560859188,0.0
new_ood_holdout,max_value,action_l1_replay,3,90,71,76,0.7888888888888889,0.8444444444444444,0.05555555555555555,-0.05555555555555555,0.16666666666666666,-0.03333333333333333,0.13333333333333333,16,11,63,0.44206833839416504,13.966666666666667,13.733333333333333,1.0,0.9832935560859188,0.0
new_ood_holdout,max_value,max_value_replay,3,90,71,71,0.7888888888888889,0.7888888888888889,0.0,0.0,0.0,0.0,0.0,0,0,90,1.0,13.966666666666667,13.966666666666667,1.0,1.0,0.0
