source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761261,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,154,15,success,False,False,15,0.6666666666666667,0.0,0.6666666666666666,10.666666666666666,10.0,1.5
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761358,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,135,10,success,False,False,10,0.19999999999999996,0.0,0.2,14.4,9.0,1.1111111111111112
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761455,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,False,320,26,timeout_no_goal,False,False,26,0.46153846153846156,0.0,0.46153846153846156,12.307692307692308,20.0,1.3
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,168,16,success,False,False,16,0.6875,0.0,0.6875,10.5,11.0,1.4545454545454546
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761649,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,127,10,success,False,False,10,0.4,0.0,0.4,12.8,8.0,1.25
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761746,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,166,14,success,False,False,14,0.5,0.0,0.5,12.0,11.0,1.2727272727272727
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761843,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,144,10,success,False,False,10,0.19999999999999996,0.0,0.2,14.4,9.0,1.1111111111111112
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761940,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,150,11,success,False,False,11,0.18181818181818177,0.0,0.18181818181818182,14.545454545454545,10.0,1.1
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762037,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,203,19,success,False,False,19,0.631578947368421,0.0,0.631578947368421,10.947368421052632,13.0,1.4615384615384615
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762134,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,126,10,success,False,False,10,0.4,0.0,0.4,12.8,8.0,1.25
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762231,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,151,13,success,False,False,13,0.46153846153846156,0.0,0.46153846153846156,12.307692307692308,10.0,1.3
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762328,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,173,16,success,False,False,16,0.5625,0.0,0.5625,11.5,11.0,1.4545454545454546
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762425,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,184,17,success,False,False,17,0.5882352941176471,0.0,0.5882352941176471,11.294117647058824,12.0,1.4166666666666667
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762522,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,155,16,success,False,False,16,0.6875,0.0,0.6875,10.5,10.0,1.6
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762619,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,180,14,success,False,False,14,0.3571428571428571,0.0,0.35714285714285715,13.142857142857142,12.0,1.1666666666666667
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762716,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,138,11,success,False,False,11,0.36363636363636365,0.0,0.36363636363636365,13.090909090909092,9.0,1.2222222222222223
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,762813,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,166,11,success,False,False,11,0.09090909090909094,0.0,0.09090909090909091,15.272727272727273,11.0,1.0
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760000,max_value,0.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,201,13,success,False,False,13,0.0,0.0,0.0,16.0,13.0,1.0
