rollout_id,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
0,50,50,0.5,0.6,0.1,-0.08,0.28,13,8,5,0.42,17,12,0.024999999999999994,0.07500000000000001,0.38331031799316406,50
1,50,50,0.42,0.68,0.26,0.08,0.44,18,5,13,0.46,16,11,0.024999999999999994,0.235,0.010622024536132812,50
