metric,label,episodes,raw_auc_high_predicts_fail,case_controlled_auc_high_predicts_fail,case_controlled_oriented_auc,case_auc_min,case_auc_max
latent_action_first_step_copy_l2_std_mean_over_samples,latent first-action copy std,100,0.7712339743589743,0.5885416666666666,0.5885416666666666,0.48,0.7272727272727273
latent_action_copy_std_mean_mean_over_samples,latent action-copy std,100,0.7347756410256411,0.5412660256410257,0.5412660256410257,0.40350877192982454,0.7784090909090909
action_first_step_l2_std,first-action sample std,100,0.38982371794871795,0.5376602564102564,0.5376602564102564,0.42613636363636365,0.5864661654135338
value_mean,mean value,100,0.7471955128205128,0.5356570512820513,0.5356570512820513,0.3533834586466165,0.8125
latent_value_element_std_mean_mean_over_samples,latent value-element std,100,0.36338141025641024,0.5204326923076923,0.5204326923076923,0.3409090909090909,0.656641604010025
future_proprio_std_mean,future-proprio sample std,100,0.5564903846153846,0.4831730769230769,0.5168269230769231,0.41604010025062654,0.5795454545454546
value_range,value range,100,0.6610576923076923,0.515625,0.515625,0.46365914786967416,0.752
value_std,value std,100,0.6594551282051282,0.514823717948718,0.514823717948718,0.45363408521303256,0.736
