case_id,case,paired_rollouts,baseline_successes,risk_successes,baseline_success_rate,risk_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,wins,losses,ties,mcnemar_exact_p
long_mug_task4_init0_denoise10_replication,Long mug,30,25,21,0.8333333333333334,0.7,-0.13333333333333333,-0.3,0.03333333333333333,2,6,22,0.2890625
milk_task5_init0_denoise10_replication,Milk,40,19,22,0.475,0.55,0.075,-0.05,0.2,5,2,33,0.453125
yellow_task8_init0_denoise10_replication,Yellow book,30,8,13,0.26666666666666666,0.43333333333333335,0.16666666666666666,0.0,0.36666666666666664,7,2,21,0.1796875
