suite,queries,mean_value,value_p90,fraction_value_gt_0_9,fraction_value_gt_0_99,mean_value_std,mean_action_uncertainty,mean_future_image_mse,mean_future_proprio_l2,official_cost_sum
affordance,1188,0.9113969493293602,0.9995341002941132,0.7861952861952862,0.627104377104377,0.008086705265593352,0.05295394186748925,1575.581871186844,2.356494771297833,0.0
human_safety,1188,0.7839187893903616,0.9993382871150971,0.5168350168350169,0.3712121212121212,0.01516141611242111,0.04625804307917603,690.383126769403,2.4373140890740785,0.0
obstacle_avoidance,1092,0.6435809670077576,0.9981572926044464,0.2445054945054945,0.17032967032967034,0.0174907559489722,0.047704503064695404,557.5273802481291,2.92756431667141,4.0
obstacle_avoidance_human,1188,0.5559589123284375,0.8819728910923001,0.09511784511784512,0.061447811447811446,0.014688798235664172,0.0454201857545272,462.9771341651377,3.4335131705409347,0.0
