planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_disagreement_requery,1.0,libero_object_env,3,2,1,1,1.0,119.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,2,1,1,1.0,110.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,3,1,1,1.0,122.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,3,1,1,1.0,125.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,4,1,1,1.0,168.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,4,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,5,1,1,1.0,120.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,5,1,1,1.0,160.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,6,1,1,1.0,247.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,6,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,7,1,1,1.0,197.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,7,1,1,1.0,118.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,8,1,1,1.0,161.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,8,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,3,9,1,1,1.0,165.0,0.0
max_value_random_requery_43,0.0,libero_object_env,3,9,1,1,1.0,164.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,0,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,0,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,1,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,1,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,4,2,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,4,2,1,0,0.0,280.0,0.0
