planning_strategy,planning_risk_lambda,episodes,successes,success_rate,mean_final_t,mean_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
max_value_scheduled_requery,0.0,20,13,0.65,192.45,13.5,0.0,0.5458611409922647,0.5458611409922647,0.0
max_value,0.0,20,11,0.55,206.05,13.35,0.0,0.526832919142076,0.526832919142076,0.0
