metric,source_column,family,preregistered,max_query,max_executed_steps,num_episodes,num_failures,macro_failure_auc,bootstrap_ci95_low,bootstrap_ci95_high,per_case_auc_json,stratified_permutation_p,bh_q_value
overlap_normalized_shift,overlap_shift,overlap,False,3,32,24,11,0.6776785714285714,0.44639508928571425,0.8816964285714286,"{""libero_10_with_milk/task9/init0"": 0.5428571428571428, ""libero_goal_with_mug/task9/init0"": 0.8125}",0.08238352329534093,0.8702259548090382
overlap_rotation_rmse,overlap_rot_rmse,overlap,False,3,32,24,11,0.6397321428571429,0.3941629464285714,0.8558928571428559,"{""libero_10_with_milk/task9/init0"": 0.6857142857142857, ""libero_goal_with_mug/task9/init0"": 0.59375}",0.13557288542291543,0.8702259548090382
negative_selected_value,selected_value,value,True,3,32,24,11,0.6125,0.34732142857142856,0.8607142857142858,"{""libero_10_with_milk/task9/init0"": 0.6, ""libero_goal_with_mug/task9/init0"": 0.625}",0.19556088782243553,0.8702259548090382
future_image_error,prediction_error_future_image_mse,feedback,False,3,32,24,11,0.6008928571428571,0.3705357142857143,0.8245870535714281,"{""libero_10_with_milk/task9/init0"": 0.5142857142857142, ""libero_goal_with_mug/task9/init0"": 0.6875}",0.21755648870225955,0.8702259548090382
latent_future_proprio_copy_std,latent_future_proprio_copy_std_mean_mean_over_samples,latent,True,3,32,24,11,0.5464285714285715,0.322734375,0.7817968749999985,"{""libero_10_with_milk/task9/init0"": 0.34285714285714286, ""libero_goal_with_mug/task9/init0"": 0.75}",0.3685262947410518,0.9862027594481104
latent_value_element_std,latent_value_element_std_mean_mean_over_samples,latent,True,3,32,24,11,0.5383928571428571,0.2767857142857143,0.7946428571428572,"{""libero_10_with_milk/task9/init0"": 0.5142857142857142, ""libero_goal_with_mug/task9/init0"": 0.5625}",0.3775244951009798,0.9862027594481104
latent_action_copy_std,latent_action_copy_std_mean_mean_over_samples,latent,True,3,32,24,11,0.48348214285714286,0.24553571428571427,0.7321428571428572,"{""libero_10_with_milk/task9/init0"": 0.6857142857142857, ""libero_goal_with_mug/task9/init0"": 0.28125}",0.5562887422515497,0.9862027594481104
negative_mean_value,value_mean,value,True,3,32,24,11,0.4642857142857143,0.23035714285714287,0.7125111607142856,"{""libero_10_with_milk/task9/init0"": 0.42857142857142855, ""libero_goal_with_mug/task9/init0"": 0.5}",0.6008798240351929,0.9862027594481104
future_proprio_error,prediction_error_future_proprio_l2,feedback,True,3,32,24,11,0.4642857142857143,0.23034598214285715,0.7191964285714285,"{""libero_10_with_milk/task9/init0"": 0.42857142857142855, ""libero_goal_with_mug/task9/init0"": 0.5}",0.610877824435113,0.9862027594481104
selected_overlap_rmse,overlap_selected_rmse,overlap,True,3,32,24,11,0.4174107142857143,0.18748883928571428,0.6607142857142857,"{""libero_10_with_milk/task9/init0"": 0.42857142857142855, ""libero_goal_with_mug/task9/init0"": 0.40625}",0.7426514697060588,0.9862027594481104
selected_overlap_all_rmse,overlap_selected_all_rmse,overlap,True,3,32,24,11,0.4174107142857143,0.18571428571428572,0.6594084821428567,"{""libero_10_with_milk/task9/init0"": 0.42857142857142855, ""libero_goal_with_mug/task9/init0"": 0.40625}",0.735252949410118,0.9862027594481104
overlap_cosine_distance,overlap_cosine_distance,overlap,True,3,32,24,11,0.40982142857142856,0.18482142857142858,0.6375,"{""libero_10_with_milk/task9/init0"": 0.2571428571428571, ""libero_goal_with_mug/task9/init0"": 0.5625}",0.753249350129974,0.9862027594481104
action_first_step_std,action_first_step_l2_std,uncertainty,True,3,32,24,11,0.35982142857142857,0.14285714285714285,0.546875,"{""libero_10_with_milk/task9/init0"": 0.6571428571428571, ""libero_goal_with_mug/task9/init0"": 0.0625}",0.864627074585083,0.9862027594481104
action_chunk_std,action_std_mean,uncertainty,True,3,32,24,11,0.3325892857142857,0.14285714285714285,0.5339285714285714,"{""libero_10_with_milk/task9/init0"": 0.5714285714285714, ""libero_goal_with_mug/task9/init0"": 0.09375}",0.9012197560487902,0.9862027594481104
value_std,value_std,uncertainty,True,3,32,24,11,0.28482142857142856,0.07142857142857142,0.543772321428571,"{""libero_10_with_milk/task9/init0"": 0.2571428571428571, ""libero_goal_with_mug/task9/init0"": 0.3125}",0.9564087182563488,0.9862027594481104
value_range,value_range,uncertainty,True,3,32,24,11,0.225,0.029877232142857153,0.4642857142857143,"{""libero_10_with_milk/task9/init0"": 0.2, ""libero_goal_with_mug/task9/init0"": 0.25}",0.9862027594481104,0.9862027594481104
