quintile,states,mean_effect,mean_score,family,feature_count,target_variant,alpha,scheme,budget
1,128,-0.0546875,-0.2683972944810539,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.2
2,128,-0.1171875,-0.10807730804899957,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.2
3,128,0.015625,0.08059819743077934,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.2
4,128,0.0078125,0.3741058397000129,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.2
0,128,0.0390625,-0.5913211593181252,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.3
1,128,-0.0546875,-0.2683972944810539,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.3
2,128,-0.1171875,-0.10807730804899957,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.3
3,128,0.015625,0.08059819743077934,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.3
4,128,0.0078125,0.3741058397000129,relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.3
0,128,0.0234375,-0.5736053962513354,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.1
1,128,-0.078125,-0.27425997145908276,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.1
2,128,-0.078125,-0.10747222365334069,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.1
3,128,0.03125,0.08243118671382739,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.1
4,128,-0.0078125,0.3669770135211284,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.1
0,128,0.0234375,-0.5736053962513354,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.2
1,128,-0.078125,-0.27425997145908276,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.2
2,128,-0.078125,-0.10747222365334069,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.2
3,128,0.03125,0.08243118671382739,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.2
4,128,-0.0078125,0.3669770135211284,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.2
0,128,0.0234375,-0.5736053962513354,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.3
1,128,-0.078125,-0.27425997145908276,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.3
2,128,-0.078125,-0.10747222365334069,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.3
3,128,0.03125,0.08243118671382739,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.3
4,128,-0.0078125,0.3669770135211284,relative_control,80,direct_terminal_utility,0.1,leave_one_task,0.3
0,128,-0.015625,-0.539200559565481,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.1
1,128,-0.09375,-0.26378310885561546,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.1
2,128,-0.015625,-0.1057043647907396,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.1
3,128,0.0078125,0.07973363582663076,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.1
4,128,0.0078125,0.3395820876613703,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.1
0,128,-0.015625,-0.539200559565481,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.2
1,128,-0.09375,-0.26378310885561546,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.2
2,128,-0.015625,-0.1057043647907396,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.2
3,128,0.0078125,0.07973363582663076,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.2
4,128,0.0078125,0.3395820876613703,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.2
0,128,-0.015625,-0.539200559565481,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.3
1,128,-0.09375,-0.26378310885561546,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.3
2,128,-0.015625,-0.1057043647907396,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.3
3,128,0.0078125,0.07973363582663076,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.3
4,128,0.0078125,0.3395820876613703,relative_control,80,direct_terminal_utility,1.0,leave_one_task,0.3
0,128,-0.0390625,-0.45858738549659545,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.1
1,128,-0.109375,-0.23601484512062157,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.1
2,128,0.0,-0.08120789485765065,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.1
3,128,0.015625,0.06567614252761522,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.1
4,128,0.0234375,0.2708764661428321,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.1
0,128,-0.0390625,-0.45858738549659545,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.2
1,128,-0.109375,-0.23601484512062157,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.2
2,128,0.0,-0.08120789485765065,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.2
3,128,0.015625,0.06567614252761522,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.2
4,128,0.0234375,0.2708764661428321,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.2
0,128,-0.0390625,-0.45858738549659545,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.3
1,128,-0.109375,-0.23601484512062157,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.3
2,128,0.0,-0.08120789485765065,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.3
3,128,0.015625,0.06567614252761522,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.3
4,128,0.0234375,0.2708764661428321,relative_control,80,direct_terminal_utility,10.0,leave_one_task,0.3
0,128,0.0234375,-0.6946841691598472,relative_control,80,direct_grounded,0.01,leave_one_task,0.1
1,128,-0.03125,-0.3337193132807978,relative_control,80,direct_grounded,0.01,leave_one_task,0.1
2,128,-0.1171875,-0.14423556883642882,relative_control,80,direct_grounded,0.01,leave_one_task,0.1
3,128,0.015625,0.07953259049397556,relative_control,80,direct_grounded,0.01,leave_one_task,0.1
4,128,0.0,0.4253005745775226,relative_control,80,direct_grounded,0.01,leave_one_task,0.1
0,128,0.0234375,-0.6946841691598472,relative_control,80,direct_grounded,0.01,leave_one_task,0.2
1,128,-0.03125,-0.3337193132807978,relative_control,80,direct_grounded,0.01,leave_one_task,0.2
2,128,-0.1171875,-0.14423556883642882,relative_control,80,direct_grounded,0.01,leave_one_task,0.2
3,128,0.015625,0.07953259049397556,relative_control,80,direct_grounded,0.01,leave_one_task,0.2
4,128,0.0,0.4253005745775226,relative_control,80,direct_grounded,0.01,leave_one_task,0.2
0,128,0.0234375,-0.6946841691598472,relative_control,80,direct_grounded,0.01,leave_one_task,0.3
1,128,-0.03125,-0.3337193132807978,relative_control,80,direct_grounded,0.01,leave_one_task,0.3
2,128,-0.1171875,-0.14423556883642882,relative_control,80,direct_grounded,0.01,leave_one_task,0.3
3,128,0.015625,0.07953259049397556,relative_control,80,direct_grounded,0.01,leave_one_task,0.3
4,128,0.0,0.4253005745775226,relative_control,80,direct_grounded,0.01,leave_one_task,0.3
