analysis_snapshot_id,factor,suite,task_id,init_state_id,query_idx,independent_group,mixed_pool,oracle_success,maxv_candidate_idx,autoregressive_candidate_idx,ranker_candidate_idx,selected_candidate_idx,oracle_candidate_idx,calibrated_kappa,ranker_margin_mean,ranker_margin_std,ranker_margin_lcb,switched,maxv_success,autoregressive_success,ranker_success,selected_success,maxv_utility,autoregressive_utility,ranker_utility,selected_utility,oracle_utility,maxv_adverse,autoregressive_adverse,ranker_adverse,selected_adverse,rescue,harm
hard_cell_pairwise_ranker_20260830__development_calibration__object_calibration_init25_29::libero_object_object__task0__init25__rollout0__query0,Object,libero_object_object,0,25,0,Object|libero_object_object|0|25,True,True,6,7,3,3,2,1.0,0.970075969108846,0.7327688498203544,0.23730711928849157,True,False,False,True,True,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,True,False
hard_cell_pairwise_ranker_20260830__development_calibration__object_calibration_init25_29::libero_object_object__task0__init26__rollout0__query0,Object,libero_object_object,0,26,0,Object|libero_object_object|0|26,False,True,0,5,6,6,0,1.0,0.8544876887158661,0.6091237808344966,0.24536390788136953,True,True,True,True,True,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__object_calibration_init25_29::libero_object_object__task0__init27__rollout0__query0,Object,libero_object_object,0,27,0,Object|libero_object_object|0|27,True,True,1,2,0,0,0,1.0,1.2265104522862649,0.6447391608319788,0.5817712914542861,True,True,True,True,True,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__object_calibration_init25_29::libero_object_object__task0__init28__rollout0__query0,Object,libero_object_object,0,28,0,Object|libero_object_object|0|28,True,True,3,1,4,4,0,1.0,1.2095269246254123,0.8334438520839723,0.37608307254144,True,False,True,True,True,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,True,False
hard_cell_pairwise_ranker_20260830__development_calibration__object_calibration_init25_29::libero_object_object__task0__init29__rollout0__query0,Object,libero_object_object,0,29,0,Object|libero_object_object|0|29,True,True,5,3,3,3,0,1.0,1.8425811301378778,0.6247960908113234,1.2177850393265546,True,False,False,False,False,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__position_calibration_init25_29::libero_object_temp__task0__init25__rollout0__query0,Position,libero_object_temp,0,25,0,Position|libero_object_temp|0|25,False,False,7,4,6,6,0,1.5,1.6510758798106626,1.0768207000193486,0.03584482978163983,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__position_calibration_init25_29::libero_object_temp__task0__init26__rollout0__query0,Position,libero_object_temp,0,26,0,Position|libero_object_temp|0|26,False,False,6,6,7,7,0,1.5,5.707193635283046,2.8167089619471826,1.4821301923622716,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__position_calibration_init25_29::libero_object_temp__task0__init27__rollout0__query0,Position,libero_object_temp,0,27,0,Position|libero_object_temp|0|27,False,False,2,7,2,2,0,1.5,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__position_calibration_init25_29::libero_object_temp__task0__init28__rollout0__query0,Position,libero_object_temp,0,28,0,Position|libero_object_temp|0|28,False,False,6,4,7,7,0,1.5,5.3161472407860995,2.9337982370033626,0.9154498852810553,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
hard_cell_pairwise_ranker_20260830__development_calibration__position_calibration_init25_29::libero_object_temp__task0__init29__rollout0__query0,Position,libero_object_temp,0,29,0,Position|libero_object_temp|0|29,False,False,2,2,4,4,0,1.5,4.65111862573432,1.5144274429826867,2.3794774612602896,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
