factor,feature,coefficient_mean,coefficient_std
Object,candidate_parallel_value,-0.013266437134247317,0.0734207926516485
Object,candidate_autoregressive_value,0.34920598217674026,0.10598769593026623
Object,autoregressive_value_delta,0.10480074608990819,0.08606043354503909
Object,candidate_first_action_l1,0.02938405015226424,0.14710752305408112
Object,candidate_action_chunk_l1,-0.1085524665235646,0.09263594353601526
Object,candidate_action_chunk_l2,-0.11984956029064173,0.09576143053052263
Object,candidate_action_consensus_first,0.04310309189957796,0.10317757935034995
Object,candidate_action_consensus_chunk,-0.25297931889658487,0.08142675970180246
Object,latent_action_copy_std_mean,-0.06351427437210995,0.1033512401868321
Object,latent_action_copy_std_max,0.04326406860361814,0.1058657321781682
Object,latent_action_first_step_copy_l2_std,-0.06406361594780524,0.11885292415777868
Object,latent_future_proprio_copy_std_mean,0.08262418691975586,0.09142287789042952
Object,latent_future_proprio_copy_std_max,-0.05341704394829688,0.057402889373308306
Object,latent_value_element_std_mean,-0.028717120218916897,0.0766387621264155
Object,latent_value_element_std_max,-0.028717120218916897,0.0766387621264155
Object,autoregressive_latent_future_proprio_copy_std_mean,0.0603574560150258,0.06755967341252231
Object,autoregressive_latent_future_proprio_copy_std_max,0.0062679600626461395,0.09827002336720926
Object,autoregressive_latent_value_element_std_mean,-0.10092058831667156,0.08542513706298875
Object,autoregressive_latent_value_element_std_max,-0.10092058831667156,0.08542513706298875
Object,autoregressive_future_proprio_l2,0.046438095752974265,0.14449950350192928
Position,candidate_parallel_value,0.10986286169479473,0.2626039744029763
Position,candidate_autoregressive_value,-0.06076464626272758,0.30277353456051936
Position,autoregressive_value_delta,-0.4636769545719859,0.195659872994358
Position,candidate_first_action_l1,-0.6185876156832337,0.20665877612786246
Position,candidate_action_chunk_l1,-0.5983933306763065,0.2809949853915685
Position,candidate_action_chunk_l2,-0.5290075799729406,0.17942552077042848
Position,candidate_action_consensus_first,0.34045347188503633,0.19188148488672152
Position,candidate_action_consensus_chunk,-0.596483675254541,0.6733339897437526
Position,latent_action_copy_std_mean,-0.11145729960114435,0.3730172752436777
Position,latent_action_copy_std_max,0.23642116199955102,0.17072808862583472
Position,latent_action_first_step_copy_l2_std,-0.28319001599790294,0.24564649851870274
Position,latent_future_proprio_copy_std_mean,0.12421193766683834,0.381802966322468
Position,latent_future_proprio_copy_std_max,0.5997651503768353,0.29026397527642744
Position,latent_value_element_std_mean,-0.2758531299722522,0.3426791436443654
Position,latent_value_element_std_max,-0.2758531299722522,0.3426791436443654
Position,autoregressive_latent_future_proprio_copy_std_mean,0.09557597165775568,0.19194692135982033
Position,autoregressive_latent_future_proprio_copy_std_max,0.1871118047921671,0.11967588921343343
Position,autoregressive_latent_value_element_std_mean,0.08025671638325582,0.2175015624522385
Position,autoregressive_latent_value_element_std_max,0.08025671638325582,0.2175015624522385
Position,autoregressive_future_proprio_l2,0.75211147089955,0.6272214717034427
