factor,snapshots,independent_groups,advantage_candidate_coverage,advantage_simultaneous_state_coverage,advantage_mean_lcb_slack,risk_candidate_coverage,risk_simultaneous_state_coverage,risk_predicted_mean,risk_observed_mean,risk_brier
Object,20,10,1.0,1.0,8.42069525435727,1.0,1.0,0.04038744525095309,0.0125,0.014817659436752117
All,20,10,1.0,1.0,8.42069525435727,1.0,1.0,0.04038744525095309,0.0125,0.014817659436752117
