factor,snapshots,independent_groups,heterogeneous_snapshots,success_rescues,utility_rescues,maxv_sr,oracle_sr,oracle_gap_pp,maxv_utility,oracle_utility
Object,80,40,8,5,5,0.925,0.9875,6.25,2.75,2.9625
All,80,40,8,5,5,0.925,0.9875,6.25,2.75,2.9625
