phase_at_snapshot,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
approach,198,79,0.5252525252525253,0.5151515151515151,-0.010101010101010102,-0.06667525773195876,0.04205730447614361,13,15,-2,0.1414141414141414,89,81,0.024999999999999998,-0.03510101010101008,0.8505540192127228,198
grasp,179,79,0.776536312849162,0.7821229050279329,0.00558659217877095,-0.04419889502762431,0.056179775280898875,10,9,1,0.10614525139664804,130,30,0.024999999999999998,-0.01941340782122903,1.0,170
release,20,18,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,20,0.025000000000000005,-0.025000000000000005,,20
transport,175,82,0.8685714285714285,0.8857142857142857,0.017142857142857144,-0.017649669335189695,0.05649717514124294,6,3,3,0.05142857142857143,149,17,0.024999999999999994,-0.007857142857142858,0.5078125,167
