suite,task_id,episode_id,pair_id,rollout_id,rollout_seed,init_state_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__akita_black_bowl_1_pos,actual_object_state_delta_l2__akita_black_bowl_1_quat,actual_object_state_delta_l2__cream_cheese_1_pos,actual_object_state_delta_l2__cream_cheese_1_quat,actual_object_state_delta_l2__wine_bottle_1_pos,actual_object_state_delta_l2__wine_bottle_1_quat,actual_object_state_delta_l2__plate_1_pos,actual_object_state_delta_l2__plate_1_quat,actual_object_state_delta_l2__object-state,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success,steps_to_failure_event,query_is_pre_failure,failure_event_in_executed_chunk
libero_goal,3,0,0,0,123000,0,123000,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0016844312194734,0.0098577523604035,0.0115135181695222,0.0031372047960758,0.0005302223726175,0.0007887377287261,0.0093583492562174,0.1867410540580749,0.00164801615756,0.0042678415775299,0.0007194921490736,0.0014154823729768,0.4506846368312835,1.299038052558899,8.440971374511719,0.8497368693351746,3.605551242828369,37.18198394775391,0.0063036158680915,0.0115621862933039,0.0255557391792535,0.005607265047729,0.0099343676120042,0.0186558831483125,0.0064135319553315,0.011202834546566,0.0169521998614072,0.0078478864161297,0.0079527096822857,0.010927437338978,0.0122473295778036,0.0222720527090132,0.0229776445776224,0.0073535472620278,0.0074420827440917,0.0076171170221641,0.0077917138114571,0.0072647421620786,0.0073299007490277,0.0072647421620786,0.0073299007490277,first,1.0,0.0,0.1867583990097046,0.010524746030569,0.0,0.1867583990097046,2.0,0.1894102096557617,False,0.1867410540580749,0.00164801615756,0.0042678415775299,0.022272054105997,0.0005924227298237,0.0072647416964173,6.364199361996725e-05,123000,123002,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2937271995261821,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9342305508085564,1.0112841607914067,0.0555555555555555,0.1664999684719155,0.1659340849229715,0.2081249605898943,0.3556818366694526,2.577789456043845,6.819753403392603,77.41864493665199,499.4788513183594,9.724629402160645,21.145632565945608,0.912167882774468,645.9995727539062,11.52444076538086,20.02848130102985,0.9341591269648662,0.0205216351896524,0.0046123140491545,0.0165569931268692,0.011152965016663,0.017080245539546,0.1867583990097046,0.1867583990097046,0.4463326700254109,4.016993103144789,9.0,2.9346246836128733e-07,5.883756828766786e-09,6.977417577047619e-08,2.9548366657029897e-18,2.769311645296996e-07,4.483680534274849e-09,2.67360863792858e-07,9.187799772684253e-09,4.016993103144789,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.8132416009902954,,False,False
libero_goal,3,0,0,0,123000,0,123000,1,16,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0018824873259291,0.0078457556664943,0.0097301416099071,0.0034922903869301,0.0006757706869393,0.000673227768857,0.0105007737874984,0.2476638555526733,0.0007928252452984,0.0020302534103393,0.0007368481601588,0.0037740566767752,0.4986558854579925,1.4790199995040894,14.115593910217283,0.8364514708518982,3.240370273590088,36.54705810546875,0.0062758391723036,0.0112870000302791,0.0207461547106504,0.0055547975935041,0.0099354786798357,0.0169022269546985,0.0056718848645687,0.0100739020854234,0.0188819803297519,0.0079289235873147,0.0080642914399504,0.0117028269451111,0.0124789047986269,0.021839375142008,0.022887947037816,0.007252340321429,0.007269786670804,0.0076100229052826,0.0077590909786522,0.0071347418706864,0.0071688396856188,0.0071347418706864,0.0071688396856188,first,1.0,0.0,0.2487599849700927,1.382561206817627,0.0,0.2487599849700927,0.0,0.2487599849700927,True,0.2476638555526733,0.0007928252452984,0.0020302534103393,0.0218393746763467,0.0006150259287096,0.0071347416378557,4.127198917558417e-05,124000,124000,32,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.252466161178934,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.850707323553555,0.9381478155819284,0.1444444444444444,0.1234292193388523,0.1039459990574564,0.1542865241735654,0.8045149445464054,12.085104237419271,69.3503183932814,7894.66187290618,582.8091430664062,10.586661338806152,20.475540045370455,0.8971968942659904,624.5049438476562,10.399367332458496,20.175444800836843,0.9425376045896994,0.094999149441719,0.0131788570433855,0.0943779945373535,0.0020579292904585,0.0088619887828826,0.2487599849700927,0.2487599849700927,0.4448881822358515,4.003993640122664,9.0,0.0,3.851140733386925e-17,0.0,1.1281047865768065e-17,0.0,1.893467883181017e-17,0.0,1.5904218672613976e-17,4.003993640122664,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.7512400150299072,,False,False
libero_goal,3,0,0,0,123000,0,123000,2,32,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0061288559809327,0.0754051506519317,0.0880603119730949,0.0134325446560978,0.0005868524312973,0.0008438016520813,0.0412581525743007,0.2753949463367462,0.0021805427968502,0.005484789609909,0.0028489204123616,0.0160093735903501,2.767225742340088,16.775283813476562,72.66490173339844,2.992957592010498,19.031225204467773,75.03791046142578,0.0103614097461104,0.043689627200365,0.093101643025875,0.0068290196359157,0.0171548202633857,0.0284686405211687,0.0068727498874068,0.0117692090570926,0.0204862616956233,0.0077967885881662,0.0078653013333678,0.0117682316340506,0.0138350361958146,0.0218969536945223,0.0231639724224805,0.0072893012547865,0.007321570534259,0.0075245687039569,0.0075946799479424,0.0070720366202294,0.0072231502272188,0.0070720366202294,0.0072231502272188,first,1.0,0.0,0.2748948931694031,-0.2293250858783722,0.0,0.2748948931694031,1.0,0.2775247097015381,False,0.2753949463367462,0.0021805427968502,0.005484789609909,0.0218969527631998,0.0009448612690903,0.0070720361545681,0.0001223858562298,125000,125001,48,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2278788284048799,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.9073698224622196,0.9345870923795792,0.0555555555555555,0.1066541800584109,0.1066537946544282,0.1333177250730136,0.1455686611548616,0.706993017772306,1.890747029181313,16.735089512466008,645.79833984375,11.411724090576172,20.0298343662781,0.8927828508029962,613.57470703125,9.93673610687256,20.2521291218116,0.9390438373040946,0.0291554909199476,0.0060612689703702,0.0246500968933105,0.0264836121350526,0.0121867144480347,0.2748948931694031,0.2748948931694031,0.0231852612640837,0.2086673513767539,9.0,0.0,2.562481165155706e-19,0.0,6.796368052462982e-18,0.0,1.8082122657434457e-18,0.0,3.8092551138712896e-18,0.2086673513767539,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.7251051068305969,,False,False
libero_goal,3,0,0,0,123000,0,123000,3,48,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0015350161120295,0.0082072364166378,0.003490702714771,0.0026786040980368,0.0006759199313819,0.000681540928781,0.0081900609657168,0.3099726736545563,0.0004788882797583,0.0011585354804992,0.0005699425819329,0.0010098126949742,0.4780420362949371,1.4790199995040894,12.114041328430176,0.5674106478691101,1.9202864170074463,25.52817153930664,0.00606983108446,0.0109140239655971,0.0220824293792247,0.0055882050655782,0.0099993776530027,0.0152372391894459,0.0055512455292046,0.0099099436774849,0.0176397059112787,0.0080342306755483,0.0081108212471008,0.0116335409693419,0.0121614802628755,0.0205567991361022,0.02091770991683,0.007354149245657,0.0074217189103364,0.0076455724192783,0.0077589345164597,0.0070515449624508,0.007188809569925,0.0070515449624508,0.007188809569925,first,1.0,0.0,0.3102343082427978,0.5463374257087708,0.0,0.3102343082427978,3.0,0.3106254637241363,False,0.3099726736545563,0.0004788882797583,0.0011585354804992,0.0205568000674247,0.00044816872105,0.0070515451952815,9.366137237520888e-05,126000,126003,64,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2279599845154296,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.7207518688890784,0.8810094337319582,0.1666666666666666,0.1121750477856945,0.0833691492411137,0.1402188097321181,0.5153101382719013,8.335683129699282,20.44796645800103,1926.3426626005232,481.3358459472656,9.56199550628662,21.30632155294013,0.9238638758780464,714.442138671875,11.806374549865724,19.591132990118272,0.9207667038527022,0.0166414398699998,0.0038475771434605,0.0131880193948745,0.003448131494224,0.0160630289465188,0.3102343082427978,0.3102343082427978,0.4446689057957556,4.0020201521618,9.0,0.0,3.3131685881935563e-19,0.0,7.505063175220898e-18,0.0,9.796863350915609e-20,0.0,9.613400500165456e-18,4.0020201521618,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.6897656917572021,,False,False
libero_goal,3,0,0,0,123000,0,123000,4,64,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0024527546484023,0.0093018403276801,0.0101996744051575,0.0043219965882599,0.0011536568636074,0.0007423191564157,0.0134679861366748,0.3578454256057739,0.0004472951113712,0.0012479722499847,0.0008372083539143,0.0019221301190555,0.6194801330566406,2.0,27.7398624420166,1.339916706085205,5.873670101165772,59.54829788208008,0.0067827883176505,0.0123070804402232,0.0207648519426584,0.0055245254188776,0.0097635295242071,0.0166050158441066,0.0054236785508692,0.0096203377470374,0.015772495418787,0.0080416339915245,0.0081234676763415,0.0111938160844147,0.0121445842087268,0.0228261393494904,0.0235646869987249,0.0072937489021569,0.0073420694097876,0.007497999118641,0.0075875981710851,0.0069375353632494,0.0071081863716244,0.0069375353632494,0.0071081863716244,first,1.0,0.0,0.3577183187007904,-0.2841678857803345,0.0,0.3577183187007904,1.0,0.3585139513015747,False,0.3578454256057739,0.0004472951113712,0.0012479722499847,0.0228261407464742,0.0004591168253682,0.0069375350140035,0.0001143760091508,127000,127001,80,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2518901398864381,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7545876827466649,0.903999530318012,0.0444444444444444,0.1515582471699373,0.1069090168526983,0.1894478089624217,0.6702361131361696,3.261685989577046,6.785996910001143,127.69197010248628,517.0580444335938,9.84554386138916,20.995410615607607,0.9186197997112326,572.449462890625,10.284146308898926,20.553432086446534,0.9352394130133896,0.0358470678329467,0.0071558356285095,0.0325946807861328,0.0123233729973435,0.0336033701896667,0.3577183187007904,0.3577183187007904,0.0226342533888385,0.2037082804995472,9.0,0.0,5.5232799871636995e-19,0.0,6.848636259227421e-18,0.0,2.2448876011227654e-18,0.0,3.3485508293370992e-18,0.2037082804995472,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.6422816812992096,,False,False
libero_goal,3,0,0,0,123000,0,123000,5,80,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.001448719529435,0.0061772335320711,0.0084373326972126,0.0025696235243231,0.0005937032401561,0.0006510558887384,0.0077676572836935,0.4031194746494293,0.0001359969610348,0.0003635287284851,0.0004197132366243,0.0008367887348867,0.5058119297027588,1.4790199995040894,15.5,1.7376083135604858,7.866867542266846,50.5272216796875,0.0058919317089021,0.0104633830487728,0.023310737684369,0.0054159634746611,0.0096074473112821,0.0170670989900827,0.0054526831954717,0.0096781169995665,0.0182794593274593,0.0075009182328358,0.0075856423936784,0.0099936656188219,0.0111180888488888,0.0208062664605677,0.0217092111706733,0.0071431627729907,0.0071725347079336,0.0074022830231115,0.0074606849811971,0.0069633862003684,0.0070957010611891,0.0069633862003684,0.0070957010611891,first,1.0,0.0,0.4029817581176758,-1.0126441717147827,0.0,0.4029817581176758,1.0,0.4033452868461609,False,0.4031194746494293,0.0001359969610348,0.0003635287284851,0.0208062659949064,0.0005667576915584,0.0069633862003684,0.0001422827917849,128000,128001,96,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.1316889122546458,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5316936360576631,0.5616605422312538,0.1444444444444444,0.1259237088786098,0.1230454471886061,0.1574046360982623,0.1820402282298015,1.4551785720879489,4.286985831344526,46.11808528179301,599.6248168945312,10.654848098754885,20.352007620130216,0.9053018016661228,943.9661865234376,12.931381225585938,18.381239229991795,0.8606532074331591,0.0158241670578718,0.0041855457238852,0.0090740695595741,0.0121982917189598,0.0100789656862616,0.4029817581176758,0.4029817581176758,0.02942793389405,0.2648514050464506,9.0,0.0,1.5197810614870988e-19,0.0,7.648736286790215e-18,0.0,2.0742301706897723e-18,0.0,1.1038439903414324e-17,0.2648514050464506,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.5970182418823242,,False,False
libero_goal,3,0,0,0,123000,0,123000,6,96,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0116556212306022,0.8742792010307312,0.0171265453100204,0.0073404852300882,0.0010258181719109,0.0564904399216175,0.0836283341050148,0.4835907220840454,0.0007639596587978,0.001918613910675,0.0112999770790338,0.0550095401704311,0.6311234831809998,1.785357117652893,17.781661987304688,3.328490734100342,13.711591720581056,81.84245300292969,0.0157651472836732,0.0178584959357976,0.9003775715827942,0.0150113254785537,0.0558971688151359,0.0692493394017219,0.0055415155366063,0.0099058868363499,0.0231289695948362,0.0086288717575371,0.0091755175963044,0.0152097842656075,0.0249390620738267,0.0239124745130538,0.0256231576204299,0.0080990385031327,0.0095845377072691,0.0089534386061131,0.0105957724153995,0.0070045478641986,0.0071824379265308,0.0070045478641986,0.0071824379265308,first,1.0,0.0,0.4841984808444977,0.7955377697944641,0.0,0.4841984808444977,1.0,0.4843316674232483,False,0.4835907220840454,0.0007639596587978,0.001918613910675,0.0239124745130538,0.0010340423323214,0.0070045478641986,0.0001124343616538,129000,129001,112,16,0,False,False,0.0,0.0,0.0004683375554569,0.0596540939151108,0.0006679267265105,2.628815798377815e-07,0.0,0.0,0.0,0.0,29.0,10.0,27.0,0.5734978936684534,0.6432748187357189,0.0888888888888888,0.1125277842619588,0.1110518500119756,0.1406597303274485,0.3160949350182202,4.040104386212036,15.863339506059535,595.0487802910268,520.7211303710938,9.740167617797852,20.9647515957522,0.917975831851875,2320.9072265625,27.20683860778809,14.474225800833572,0.6435700785013864,0.0899379923939704,0.0226869210600852,0.0592887997627258,0.0518939867615699,0.0396023355424404,0.4841984808444977,0.4841984808444977,0.0330052666025821,0.2371149870591967,9.0,0.0021492351226339,0.0546277774294226,0.0002056940520037,0.0029497057599823,0.0,1.6170049887364876e-18,0.0,1.0305940057981602e-17,0.2371149870591967,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.5158015191555023,,False,False
libero_goal,3,0,0,0,123000,0,123000,7,112,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0024403184652328,0.0122501142323017,0.0080389156937599,0.0045019253157079,0.0009398230467922,0.0007569859153591,0.0144063578918576,0.6116338968276978,0.0002093863440677,0.0005266070365905,0.0008843398536555,0.0017079117242246,0.6939612030982971,2.2776083946228027,50.12234878540039,2.661116361618042,14.325764656066896,56.636451721191406,0.0067887366749346,0.0129895927384495,0.0240708123892545,0.0055997953750193,0.0099164964631199,0.0179770123213529,0.0054815365001559,0.0096708564087748,0.0174642037600278,0.0078078240621834,0.0079046692699193,0.0103262385819107,0.0107943080365657,0.0215731947682797,0.0224663745611906,0.0074953517178073,0.0075560752302408,0.0077526223612949,0.0077860984019935,0.0070728847058489,0.0071890880353748,0.0070728847058489,0.0071890880353748,first,1.0,0.0,0.6114606261253357,-0.8275167346000671,0.0,0.6114606261253357,1.0,0.6119872331619263,False,0.6116338968276978,0.0002093863440677,0.0005266070365905,0.021573195233941,0.0008004055125638,0.0070728850550949,9.5102732302621e-05,130000,130001,128,16,0,False,False,0.0,0.0,0.0491741799195661,0.053793643028772,0.0001796344208291,2.628815798377815e-07,0.0,0.0,0.0,0.0,107.0,10.0,106.0,0.4192734959975251,0.8623349149753633,0.0888888888888888,0.0764095994756251,0.074605683137925,0.0955119993445313,0.3414244020984717,2.8043259394954894,4.93086894649663,363.4903290410346,507.79150390625,9.475878715515137,21.07394930650611,0.9203404267531016,1013.844482421875,16.561729431152344,18.071090188941625,0.8180058105441311,0.0416126437485218,0.0105198724195361,0.0323333144187927,0.0115626426413655,0.0231081116944551,0.6114606261253357,0.6114606261253357,0.0656647131665979,0.3292862161728918,9.0,0.0567635189521545,0.2027433075931796,0.0001442268683008,0.0020451489128545,0.0,7.098998240221565e-20,0.0,6.639117509929716e-18,0.3292862161728918,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.3885393738746643,,False,False
libero_goal,3,0,0,0,123000,0,123000,8,128,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0013428388629108,0.0060680834576487,0.0074681951664388,0.0023074389901012,0.000540955341421,0.0008546899771317,0.0072992113418877,0.7028830051422119,0.0004337566206231,0.0011182427406311,0.0007997248321771,0.0024904378224164,0.5126885175704956,1.5,22.090721130371094,1.4565014839172363,7.395099639892578,50.65570068359375,0.0059818164445459,0.0105977579951286,0.0191293936222791,0.0055915666744112,0.0099131055176258,0.018778096884489,0.0055214003659784,0.0098001444712281,0.0161204561591148,0.0078819612972438,0.0079445103183388,0.0098302189726382,0.009909470565617,0.0226348261348903,0.0231516044586896,0.0075977212982252,0.0076677519828081,0.0086947134695947,0.0089724035933613,0.0070169466780498,0.0071584647521376,0.0070169466780498,0.0071584647521376,first,1.0,0.0,0.7028080224990845,-0.172868013381958,0.0,0.7028080224990845,2.0,0.7036084532737732,False,0.7028830051422119,0.0004337566206231,0.0011182427406311,0.0226348266005516,0.0005394918844103,0.0070169465616345,0.0001357669389108,131000,131002,144,16,0,False,False,0.0,0.0,0.225064106193128,0.05371787211168,0.0001796344208306,2.628815798377815e-07,0.0,0.0,0.0,0.0,144.0,9.0,144.0,0.9552031707941424,1.0410661065165552,0.0555555555555555,0.1838426064236835,0.1778803650628645,0.2298032580296044,0.3017482376512314,2.1382251382409923,5.237499067892461,41.73139636060519,502.4098205566406,9.765804290771484,21.120222409431616,0.9199026488021556,1064.9053955078125,15.710838317871094,17.85769333406659,0.8687234518996767,0.0796908289194107,0.015655018389225,0.0707502961158752,0.0057948646135628,0.0164010934531688,0.7028080224990845,0.7028080224990845,0.0671895974421984,0.3729990789915339,9.0,0.1794022461154142,0.0523050518725331,1.2593504814173198e-13,1.7859614548302306e-13,0.0,3.015441635111001e-19,0.0,1.8089704902506567e-18,0.3729990789915339,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.2971919775009155,,False,False
libero_goal,3,0,0,0,123000,0,123000,9,144,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0015246523544192,0.0062066102400422,0.006505855359137,0.0025487795937806,0.0007550654117949,0.0007610312313772,0.0078582586720585,0.7997702360153198,0.0001522738166386,0.0003976821899414,0.0004627619346138,0.0006909431540407,0.4666061997413635,1.4790199995040894,12.51748752593994,0.6479691863059998,2.1650636196136475,26.62118530273437,0.0060921446420252,0.0108396178111433,0.0187579188495874,0.0055145206861197,0.0097993891686201,0.0163744557648897,0.0055891033262014,0.0098823327571153,0.0178662315011024,0.0078119719401001,0.0079006571322679,0.0097655935678631,0.0101789617910981,0.0209102975204587,0.0217272639274597,0.0074819623259827,0.0076366895809769,0.0077507005771622,0.0079293306916952,0.0072273897239938,0.0072963773272931,0.0072273897239938,0.0072963773272931,first,1.0,0.0,0.7999977469444275,1.494090914726257,0.0,0.7999977469444275,0.0,0.7999977469444275,True,0.7997702360153198,0.0001522738166386,0.0003976821899414,0.0209102965891361,0.0005966810858808,0.0072273896075785,6.648710404988378e-05,132000,132000,160,16,0,False,False,0.0,0.0,0.2891924723436549,0.0537479637737414,0.0001796344208306,2.628815798377815e-07,0.0,0.0,0.0,0.0,144.0,9.0,144.0,0.9434758148937534,1.0276990657447345,0.0111111111111111,0.1857732985512574,0.1720967174430072,0.2322166231890718,0.4245466821786275,1.9616691849242545,3.702774698281688,31.033427241333875,404.4690856933594,8.504430770874023,22.061950275669773,0.9335447370978808,721.8553466796875,12.722317695617676,19.546301832884044,0.9167498822623532,0.0211136657744646,0.005422243848443,0.0155159533023834,0.0087387552484869,0.0188146810978651,0.7999977469444275,0.7999977469444275,0.249819315328181,2.02424179461849,9.0,0.1678775469319226,0.0562544964032164,0.0,1.7892746690520873e-18,0.0,2.160895975545579e-18,0.0,3.1495910738005673e-18,2.02424179461849,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.2000022530555725,,False,False
