suite,task_id,pair_id,rollout_id,init_state_id,rollout_seed,episode_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__akita_black_bowl_1_pos,actual_object_state_delta_l2__akita_black_bowl_1_quat,actual_object_state_delta_l2__cream_cheese_1_pos,actual_object_state_delta_l2__cream_cheese_1_quat,actual_object_state_delta_l2__wine_bottle_1_pos,actual_object_state_delta_l2__wine_bottle_1_quat,actual_object_state_delta_l2__plate_1_pos,actual_object_state_delta_l2__plate_1_quat,actual_object_state_delta_l2__object-state,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success
libero_goal,3,0,0,0,123000,0,123000,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0016844312194734,0.0098577523604035,0.0115135181695222,0.0031372047960758,0.0005302223726175,0.0007887377287261,0.0093583492562174,0.1867410540580749,0.00164801615756,0.0042678415775299,0.0007194921490736,0.0014154823729768,0.4506846368312835,1.299038052558899,8.440971374511719,0.8497368693351746,3.605551242828369,37.18198394775391,0.0063036158680915,0.0115621862933039,0.0255557391792535,0.005607265047729,0.0099343676120042,0.0186558831483125,0.0064135319553315,0.011202834546566,0.0169521998614072,0.0078478864161297,0.0079527096822857,0.010927437338978,0.0122473295778036,0.0222720527090132,0.0229776445776224,0.0073535472620278,0.0074420827440917,0.0076171170221641,0.0077917138114571,0.0072647421620786,0.0073299007490277,0.0072647421620786,0.0073299007490277,first,1.0,0.0,0.1867583990097046,0.010524746030569,0.0,0.1867583990097046,2.0,0.1894102096557617,False,0.1867410540580749,0.00164801615756,0.0042678415775299,0.022272054105997,0.0005924227298237,0.0072647416964173,6.364199361996725e-05,123000,123002,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2937271995261821,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9342305508085564,1.0112841607914067,0.0555555555555555,0.1664999684719155,0.1659340849229715,0.2081249605898943,0.3556818366694526,2.577789456043845,6.819753403392603,77.41864493665199,499.4788513183594,9.724629402160645,21.145632565945608,0.912167882774468,645.9995727539062,11.52444076538086,20.02848130102985,0.9341591269648662,0.0205216351896524,0.0046123140491545,0.0165569931268692,0.011152965016663,0.017080245539546,0.1867583990097046,0.1867583990097046,0.4463326700254109,4.016993103144789,9.0,2.9346246836128733e-07,5.883756828766786e-09,6.977417577047619e-08,2.9548366657029897e-18,2.769311645296996e-07,4.483680534274849e-09,2.67360863792858e-07,9.187799772684253e-09,4.016993103144789,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2891924723436549,1.4251704509665628,0.2538393043584561,3.9936108562402657,13563747.506915249,0.8132416009902954
libero_goal,3,0,1,0,123097,1,123097,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0020048059523105,0.0091144433245062,0.0130849629640579,0.0039439392276108,0.0004939506179653,0.0007199714891612,0.0113543150946497,0.1867825984954834,0.0013928042026236,0.0038423538208007,0.0006225522374734,0.001398017280735,0.4945851564407348,1.4790199995040894,14.150971412658691,0.7530373334884644,3.082206964492798,30.760160446166992,0.0063551981002092,0.011545293033123,0.0205759219825267,0.0055680214427411,0.0098588494583964,0.0173298250883817,0.0062743909657001,0.0109577188268303,0.0189702175557613,0.0077278597746044,0.0078072091564536,0.0109282273333519,0.0113898292183876,0.0223683412186801,0.0229480769485235,0.007326413760893,0.0073528843931853,0.0075728237861767,0.007637333124876,0.0073708107229322,0.0075929039157927,0.0073708107229322,0.0075929039157927,first,1.0,0.0,0.1872464716434478,0.3330498039722442,0.0,0.1872464716434478,1.0,0.1886722147464752,False,0.1867825984954834,0.0013928042026236,0.0038423538208007,0.0223683416843414,0.0004077483317814,0.0073708109557628,0.0001311630767304,123097,123098,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.29439173107442,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931763970649848,1.0209131412900836,0.1,0.165617534052807,0.1650201115552513,0.2070219175660088,0.3607393921333041,2.473196744989404,5.052488194259861,65.48754840328269,498.2573852539063,9.709940910339355,21.156266162625727,0.912425914170498,631.390380859375,11.445265769958496,20.12782399674581,0.935622742017708,0.0186769366264343,0.0043410696089267,0.0153702497482299,0.0097890011966228,0.0156869795173406,0.1872464716434478,0.1872464716434478,0.4463145507564227,4.016830029723895,9.0,2.9346246836128733e-07,5.883756829338845e-09,6.977417577047619e-08,8.051776259572091e-18,2.769311645296996e-07,4.483680533758557e-09,2.67360863792858e-07,9.187799774046791e-09,4.016830029723895,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,128,0.2899158498136711,1.424226673970228,0.2582256514531794,4.23204820666171,17317036.883713,0.8127535283565521
libero_goal,3,0,2,0,123194,2,123194,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0016039275797083,0.010446760803461,0.0108258919790387,0.0029542527627199,0.0005316282622516,0.0007698509143665,0.0087637640535831,0.1880847215652465,0.0013374041300266,0.0035738050937652,0.0005307438550516,0.0010947899427264,0.5203080177307129,1.5,12.70826530456543,1.024459958076477,4.602988243103027,45.90411376953125,0.006214590743184,0.0112871630117297,0.0221132095903158,0.0056186350993812,0.0099906222894787,0.0232768058776855,0.0061847232282161,0.0108889592811465,0.0192598924040794,0.0077740489505231,0.0078139165416359,0.0105995023623108,0.011183931492269,0.0221461663022637,0.0231949836015701,0.00737672066316,0.0074434927664697,0.0076749040745198,0.0078195156529545,0.0073057381669059,0.0074130063876509,0.0073057381669059,0.0074130063876509,first,1.0,0.0,0.1875759363174438,-0.3804274499416351,0.0,0.1875759363174438,3.0,0.1903068721294403,False,0.1880847215652465,0.0013374041300266,0.0035738050937652,0.0221461653709411,0.0006814005901105,0.0073057385161519,7.98549153842032e-05,123194,123197,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2942472538286193,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929090999038787,1.0134252839661702,0.0795454545454545,0.1653112396943428,0.1647102181271369,0.2066390496179285,0.355519958069956,2.431703373686191,5.873574602636722,65.30551575851379,499.7330017089844,9.727897644042969,21.143423302429213,0.9120893192697848,629.12158203125,11.40217113494873,20.14345776944534,0.935901547817664,0.0177329387515783,0.0042002024129033,0.0146332532167434,0.0091720595955848,0.0150758167728781,0.1875759363174438,0.1875759363174438,0.4463102820460402,4.0167916113304525,9.0,2.9346246836128733e-07,5.883756829493351e-09,6.977417577047619e-08,6.134120325773079e-18,2.769311645296996e-07,4.483680534374157e-09,2.67360863792858e-07,9.187799766841413e-09,4.0167916113304525,True,174,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,174,127,0.301851853593341,1.4695020519134865,0.2644673480397576,4.184402885655098,20508808.952008188,0.8124240636825562
libero_goal,3,0,3,0,123291,3,123291,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0015778156230226,0.0121020739898085,0.0121142482385039,0.0028478086460381,0.0005663745687343,0.0008021598332561,0.0087449019774794,0.1884747147560119,0.0007890507695265,0.0021467208862304,0.0004644972505047,0.0011933209607377,0.5265926122665405,1.5811388492584229,17.69710350036621,1.0628094673156738,5.244044303894043,31.395660400390625,0.0062565342523157,0.0115431593731045,0.022688640281558,0.0055833850055933,0.0099091026932001,0.0168799832463264,0.0058161690831184,0.0102929258719086,0.0183477979153394,0.0077992432052269,0.0078713046386837,0.0109172433149069,0.0117213986814022,0.0230048368684947,0.0234461836516857,0.0073338121874257,0.0074285408481955,0.0075797366444021,0.0077016530558466,0.0072618557605892,0.0073084970936179,0.0072618557605892,0.0073084970936179,first,1.0,0.0,0.1882739961147308,-0.2543798685073852,0.0,0.1882739961147308,3.0,0.1897635757923126,False,0.1884747147560119,0.0007890507695265,0.0021467208862304,0.023004837334156,0.0003553378919605,0.0072618555277585,3.469728835625574e-05,123291,123294,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2938416599505292,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9295377740975552,1.0140884150564056,0.1,0.1654521546047921,0.1648814846912009,0.2068151932559901,0.3565501236546526,2.454859603014257,5.251254434202482,65.98617349732699,505.2632446289063,9.77685260772705,21.09562654229589,0.9112835376076792,636.5260009765625,11.404536247253418,20.09264212344047,0.9352219322399488,0.0165870524942874,0.0039359834045171,0.0135564357042312,0.0079319812357425,0.0142255816608667,0.1882739961147308,0.1882739961147308,0.4463048527988966,4.01674274810616,9.0,2.934624683612873e-07,5.8837568293175145e-09,6.977417577047619e-08,5.039508103555696e-18,2.769311645296996e-07,4.483680535176091e-09,2.67360863792858e-07,9.187799785135341e-09,4.01674274810616,True,174,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,174,127,0.3038879422812399,1.4752800064933809,0.2614260992348233,4.216686120196996,20088875.255548805,0.8117260038852692
libero_goal,3,0,4,0,123388,4,123388,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0015991994878277,0.0074756541289389,0.0094034234061837,0.0028797078412026,0.000611315947026,0.0007213264470919,0.0086105559021234,0.1860132366418838,0.0023914298508316,0.0058197677135467,0.0003620179777499,0.000462464056909,0.4715963900089264,1.4142135381698608,10.124228477478027,0.8535862565040588,3.3447721004486084,35.4356803894043,0.006261546164751,0.0113680744543671,0.0197058767080307,0.0055798096582293,0.0099777756258845,0.0165527313947677,0.0072734775021672,0.0122799323871731,0.0262027904391288,0.0078418760094791,0.0079117203131318,0.0107838211115449,0.0109670311212539,0.0224459469318389,0.0232801306992769,0.0073759537190198,0.0074143931269645,0.0076191343832761,0.0077161230146884,0.0073483793530613,0.0074990256689488,0.0073483793530613,0.0074990256689488,first,1.0,0.0,0.1819036304950714,-1.7184723615646362,0.0,0.1819036304950714,3.0,0.1877233982086181,False,0.1860132366418838,0.0023914298508316,0.0058197677135467,0.0224459469318389,0.0008996924734674,0.0073483795858919,0.0001384854112984,123388,123391,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2940465391547818,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333094795818806,1.0132042023996128,0.0777777777777777,0.1660865610682728,0.1654837556236433,0.207608201335341,0.3586986909970378,2.469397569044466,5.603547797306583,66.43513068894622,501.0650024414063,9.758177757263184,21.131862909479658,0.9118936656558692,638.525634765625,11.5031156539917,20.07902023381593,0.9349197850231216,0.0187138337641954,0.0042753261514008,0.0154125243425369,0.0097369030117988,0.0158483553677797,0.1819036304950714,0.1819036304950714,0.4463196561483566,4.0168759782513,9.0,2.9346246836128733e-07,5.883756829275563e-09,6.977417577047619e-08,5.2902525238332694e-18,2.769311645296996e-07,4.483680534504432e-09,2.67360863792858e-07,9.187799777690431e-09,4.0168759782513,True,175,11,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,175,127,0.2931197066158002,1.4342809301478772,0.25636553462517,4.103299351611045,18923590.40236025,0.8180963695049286
libero_goal,3,0,5,0,123485,5,123485,0,0,open the top drawer and put the bowl inside,-1,-1,none,-1,-1,-1,-1,4.0,0.0016139190411195,0.0077970158308744,0.0085413306951522,0.002889884635806,0.0006010006181895,0.0008247776422649,0.0088174203410744,0.1874132603406906,0.0012947315117344,0.0035927593708038,0.0004665538435801,0.0009034145623445,0.4383783638477325,1.299038052558899,8.411301612854004,0.6032471656799316,2.1794495582580566,15.62049961090088,0.0062804366461932,0.0113585367798805,0.0206072349101305,0.0055786552838981,0.0099765062332153,0.0183648467063903,0.0061356984078884,0.0108001418411731,0.0186909027397632,0.0078008888522163,0.0079164644703269,0.0106592632364481,0.0111153814941644,0.0228860634379088,0.0242417268455028,0.0073248129338026,0.0074099162593483,0.007648280239664,0.0077349254861474,0.0072890111478045,0.0073478673584759,0.0072890111478045,0.0073478673584759,first,1.0,0.0,0.185391753911972,-1.5613325834274292,0.0,0.185391753911972,2.0,0.1889845132827758,False,0.1874132603406906,0.0012947315117344,0.0035927593708038,0.0228860639035701,0.0008255729917436,0.0072890110313892,8.405008702538908e-05,123485,123487,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2944197483226509,2.6288158013136e-07,2.628815798377815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9310577000032604,1.0170311556818858,0.0777777777777777,0.1655847126016391,0.1649714098553734,0.2069808907520489,0.3609922158673569,2.4642967016904387,5.069384193382567,64.4577462131917,499.712158203125,9.718411445617676,21.14360444732725,0.9121658126348146,639.4859008789062,11.462964057922363,20.072493870930977,0.93478107771828,0.0182072073221206,0.0043726619333028,0.0147504061460495,0.0092022884637117,0.0154809821397066,0.185391753911972,0.185391753911972,0.4463087008253676,4.0167773803444,9.0,2.9346246836128733e-07,5.883756829083423e-09,6.977417577047619e-08,1.029794985003846e-18,2.769311645296996e-07,4.483680534376004e-09,2.67360863792858e-07,9.187799773730858e-09,4.0167773803444,True,181,12,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,181,130,0.3017034596769707,1.4606327619337218,0.2554640075759736,4.825907312871181,28894286.71676325,0.814608246088028
libero_goal,5,1,0,0,133000,6,133000,0,0,push the plate to the front of the stove,-1,-1,none,-1,-1,-1,-1,4.0,0.001498152851127,0.010073353536427,0.0115038510411977,0.0026217857375741,0.000551167409867,0.0009682114468887,0.0080074882134795,0.2067762911319732,0.0016365003539249,0.0036525428295135,0.0005026360740885,0.0008936751401051,0.4362438917160034,1.2247449159622192,7.762087345123291,0.8854808211326599,3.741657495498657,23.027158737182617,0.0060951504856348,0.0109522743150591,0.0200608968734741,0.0055883782915771,0.0098911812528967,0.0196517538279294,0.0064690741710364,0.0112797180190682,0.019139664247632,0.0077088415855541,0.0077715227380394,0.0096930251456797,0.0100894439965486,0.0207280493341386,0.0212288703769445,0.0073503792518749,0.0073895594105124,0.0076052790973335,0.007744688540697,0.0075770209077745,0.007639002520591,0.0075770209077745,0.007639002520591,first,1.0,0.0,0.2053951323032379,-0.8439710140228271,0.0,0.2053951323032379,2.0,0.2085631787776947,False,0.2067762911319732,0.0016365003539249,0.0036525428295135,0.0207280479371547,0.0004362652543932,0.0075770211406052,5.5573291319888085e-05,133000,133002,16,16,0,False,False,0.0,0.0,2.53818984052856e-07,0.2609004396909029,2.78607640728528e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8005268153235645,0.9618629660239104,0.1333333333333333,0.1444377747478221,0.1442055739948296,0.1805472184347777,0.3123956213098321,1.4893375163928553,3.6823728769917374,36.8492486617747,486.5301208496094,9.727021217346191,21.259706284653117,0.9112259310536136,649.0662841796875,11.119080543518066,20.007913106260386,0.9241835207654442,0.0109011614695191,0.0030517342966049,0.0073508322238922,0.0061186710372567,0.0085927341133356,0.2053951323032379,0.2053951323032379,0.4457823059222817,4.012039826216626,9.0,2.9346246836128733e-07,5.8837568291855486e-09,6.977417577047619e-08,3.0471425279809323e-18,2.769311645296996e-07,4.483680534562318e-09,2.673608637928608e-07,9.187799777203892e-09,4.012039826216626,True,205,13,success,-1,True,False,False,-1,,plate_1,False,-1,False,-1,False,0.0,1.0,205,-1,0.0185778206719724,1.3157474031750205,0.3650206226103982,4.897941278731071,56130096.332211055,0.7946048676967621
libero_goal,5,1,1,0,133097,7,133097,0,0,push the plate to the front of the stove,-1,-1,none,-1,-1,-1,-1,4.0,0.0018633404979482,0.010496923699975,0.0071184150874614,0.0035424921661615,0.0005192630342207,0.0008581177098676,0.0106592401862144,0.2061415761709213,0.0011007159482687,0.0030546188354492,0.0006265806732699,0.0011610880028456,0.6087156534194946,1.8708287477493288,20.789119720458984,1.263360619544983,6.062177658081055,32.71085357666016,0.0063046989962458,0.0115347756072878,0.0218173675239086,0.0056062890216708,0.0098632900044322,0.0173710621893405,0.006157495547086,0.0108934780582785,0.0203806292265653,0.0076789563754573,0.0077821388840675,0.0102700286079198,0.0109666213393211,0.0199256800115108,0.020625103265047,0.0073546925559639,0.0074459314346313,0.0076194440480321,0.0076877521350979,0.0076866641175001,0.0078015336766839,0.0076866641175001,0.0078015336766839,first,1.0,0.0,0.2061806321144104,0.0354823097586631,0.0,0.2061806321144104,2.0,0.207828551530838,False,0.2061415761709213,0.0011007159482687,0.0030546188354492,0.0199256800115108,0.0005043370183557,0.0076866643503308,6.684590334771201e-05,133097,133099,16,16,0,False,False,0.0,0.0,2.53818984052856e-07,0.2605343570540633,2.78607640728528e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7980250377543681,0.9606437009629166,0.1444444444444444,0.1441057930723463,0.1438862030804745,0.1801322413404329,0.316959439543355,1.5892675818512676,3.9532934632004526,42.113901580572055,489.6902770996094,9.784730911254885,21.23158879769659,0.9107384550162956,643.865966796875,11.145833015441896,20.042848909286683,0.9252419264188996,0.0109771946445107,0.00313485506922,0.0065382868051528,0.0063532991334795,0.0084924064576625,0.2061806321144104,0.2061806321144104,0.4457775603993272,4.011997116510036,9.0,2.9346246836128733e-07,5.8837568288824605e-09,6.977417577047619e-08,4.7508563840868165e-18,2.769311645296996e-07,4.483680534396241e-09,2.673608637928608e-07,9.187799779511064e-09,4.011997116510036,True,202,13,success,-1,True,False,False,-1,,plate_1,False,-1,False,-1,False,0.0,1.0,202,-1,0.0175323224806984,1.3599217595675186,0.3794390577805518,5.515948274288693,60828902.118466176,0.7938193678855896
libero_goal,5,1,2,0,133194,8,133194,0,0,push the plate to the front of the stove,-1,-1,none,-1,-1,-1,-1,4.0,0.0012872871011495,0.0064302436076104,0.0075018675997853,0.0022010998800396,0.0005481759435497,0.0007631822954863,0.0068250284530222,0.2075372636318206,0.0013565348926931,0.0034670531749725,0.0004022993380203,0.000986662809737,0.4805240333080292,1.4142135381698608,14.271912574768066,0.7586557269096375,3.082206964492798,18.952241897583008,0.0059816446155309,0.0106306448578834,0.0194198582321405,0.0055585904046893,0.0098010944202542,0.0184515099972486,0.0062875715084373,0.0110957138240337,0.0186981502920389,0.0076697891345247,0.0077431383542716,0.0100924912840127,0.0102740274742245,0.0203136354684829,0.0204760022461414,0.0073613477870821,0.0074344705790281,0.0077216275967657,0.0079603660851717,0.0076182353077456,0.0077102254144847,0.0076182353077456,0.0077102254144847,first,1.0,0.0,0.2095970809459686,1.5184403657913208,0.0,0.2095970809459686,0.0,0.2095970809459686,True,0.2075372636318206,0.0013565348926931,0.0034670531749725,0.0203136354684829,0.0001727283233776,0.0076182354241609,7.241628918563947e-05,133194,133194,16,16,0,False,False,0.0,0.0,2.53818984052856e-07,0.2614545971366473,2.78607640728528e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798911496060341,0.9603322023307644,0.1333333333333333,0.1440496045316223,0.1437724474291605,0.1800620056645279,0.3161404472035927,1.5994824592349377,3.923560879846869,43.99784468020869,486.2437438964844,9.726489067077637,21.262263342127348,0.911334517902154,656.0296630859375,11.194355964660645,19.96156883956753,0.9235843172089274,0.0104983551427721,0.0030352633912116,0.0071397125720977,0.0050134579651057,0.0086103696376085,0.2095970809459686,0.2095970809459686,0.4457736772135743,4.01196216783826,9.0,2.9346246836128733e-07,5.883756828729676e-09,6.977417577047619e-08,7.762625889218972e-18,2.769311645296996e-07,4.483680534562481e-09,2.673608637928608e-07,9.187799787177744e-09,4.01196216783826,True,205,13,success,-1,True,False,False,-1,,plate_1,False,-1,False,-1,False,0.0,1.0,205,-1,0.0183772234357338,1.2917061303661603,0.3660743389115757,4.747256998373107,56751289.19808153,0.7904029190540314
libero_goal,5,1,3,0,133291,9,133291,0,0,push the plate to the front of the stove,-1,-1,none,-1,-1,-1,-1,4.0,0.0016143340617418,0.0111816804856061,0.011956600472331,0.0029265685006976,0.0005495518562383,0.0008719770703464,0.0090453745797276,0.207935556769371,0.0010197430383414,0.0025432109832763,0.0005671123508363,0.0010912128491327,0.6040559411048889,1.8027756214141848,25.46934509277344,1.2803490161895752,6.020797252655029,45.91568374633789,0.0063150618225336,0.011822915636003,0.0244050398468971,0.0056104017421603,0.0099107977002859,0.0181348025798797,0.0061604864895343,0.0109399370849132,0.0182235799729824,0.0078112398041412,0.0079302666708827,0.0100014025811105,0.0103456499055027,0.0203627641312778,0.0210685897618532,0.0073962260503321,0.007483581546694,0.0077363750897347,0.0078595718368887,0.0077615533955395,0.0081260576844215,0.0077615533955395,0.0081260576844215,first,1.0,0.0,0.2073741555213928,-0.5505320429801941,0.0,0.2073741555213928,1.0,0.2091040909290313,False,0.207935556769371,0.0010197430383414,0.0025432109832763,0.0203627627342939,0.0006984767387621,0.0077615533955395,0.000233102866332,133291,133292,16,16,0,False,False,0.0,0.0,2.53818984052856e-07,0.2606836718970096,2.78607640728528e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016400119486112,0.9611672373096968,0.1444444444444444,0.1446738539324884,0.1443333725511603,0.1808423174156105,0.3159108763543438,1.6359146783313552,3.986353006438262,45.87574357375737,484.2725830078125,9.69239616394043,21.27990478617713,0.9116108432075352,649.65478515625,11.232873916625977,20.003977191917524,0.9240989394938744,0.0119044035673141,0.0031620224472135,0.0084791034460067,0.0053384630009531,0.0101830195635557,0.2073741555213928,0.2073741555213928,0.4457838352286002,4.012053589973493,9.0,2.9346246836128733e-07,5.883756829239886e-09,6.977417577047619e-08,4.148162017525319e-18,2.769311645296996e-07,4.483680533896625e-09,2.673608637928608e-07,9.187799787944961e-09,4.012053589973493,True,205,13,success,-1,True,False,False,-1,,plate_1,False,-1,False,-1,False,0.0,1.0,205,-1,0.0182836026833239,1.3042014023790172,0.3671750411241921,5.001005839866233,58656883.03063382,0.7926258444786072
