seed_group,index,queries,fraction
0,0,70,0.09067357512953368
0,1,652,0.844559585492228
0,2,50,0.06476683937823834
1,0,656,0.8324873096446701
1,1,90,0.11421319796954314
1,2,42,0.0532994923857868
2,0,123,0.15749039692701663
2,1,24,0.030729833546734954
2,2,634,0.8117797695262484
