selection_category,selection_reason,selected_strategy_id,original_baseline_success,original_selected_success,case_stratum,case_id,suite,task_id,init_state_id,rollout_seed,strategy_id,success,final_t,num_queries,filename,bytes,selected_pair_reproduced
adaptive_horizon,win,requery_l1_h8,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760388,action_l1,False,320,20,goal_mug_task9_init0_adaptive_confirm__seed760388__action_l1__fail.mp4,94285,False
adaptive_horizon,win,requery_l1_h8,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760388,max_value,True,137,9,goal_mug_task9_init0_adaptive_confirm__seed760388__max_value__success.mp4,58095,False
adaptive_horizon,win,requery_l1_h8,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760388,phase_l1_r0.3,False,320,20,goal_mug_task9_init0_adaptive_confirm__seed760388__phase_l1_r0.3__fail.mp4,103230,False
adaptive_horizon,win,requery_l1_h8,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760388,requery_l1_h8,True,162,15,goal_mug_task9_init0_adaptive_confirm__seed760388__requery_l1_h8__success.mp4,65559,False
adaptive_horizon,loss,requery_l1_h8,True,False,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760485,action_l1,True,160,10,goal_mug_task9_init0_adaptive_confirm__seed760485__action_l1__success.mp4,62445,False
adaptive_horizon,loss,requery_l1_h8,True,False,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760485,max_value,True,149,10,goal_mug_task9_init0_adaptive_confirm__seed760485__max_value__success.mp4,60851,False
adaptive_horizon,loss,requery_l1_h8,True,False,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760485,phase_l1_r0.3,True,160,10,goal_mug_task9_init0_adaptive_confirm__seed760485__phase_l1_r0.3__success.mp4,62389,False
adaptive_horizon,loss,requery_l1_h8,True,False,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760485,requery_l1_h8,True,134,9,goal_mug_task9_init0_adaptive_confirm__seed760485__requery_l1_h8__success.mp4,56992,False
no_extra_inference,win,phase_l1_r0.3,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,action_l1,True,168,11,goal_mug_task9_init0_adaptive_confirm__seed761552__action_l1__success.mp4,65155,True
no_extra_inference,win,phase_l1_r0.3,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,max_value,False,320,20,goal_mug_task9_init0_adaptive_confirm__seed761552__max_value__fail.mp4,97445,True
no_extra_inference,win,phase_l1_r0.3,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,phase_l1_r0.3,True,168,11,goal_mug_task9_init0_adaptive_confirm__seed761552__phase_l1_r0.3__success.mp4,65155,True
no_extra_inference,win,phase_l1_r0.3,False,True,new_ood_holdout,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,761552,requery_l1_h8,False,320,28,goal_mug_task9_init0_adaptive_confirm__seed761552__requery_l1_h8__fail.mp4,103719,True
no_extra_inference,loss,phase_l1_r0.3,True,False,new_ood_holdout,long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,750582,action_l1,False,520,33,long_milk_task9_init0_adaptive_confirm__seed750582__action_l1__fail.mp4,256178,True
no_extra_inference,loss,phase_l1_r0.3,True,False,new_ood_holdout,long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,750582,max_value,True,260,17,long_milk_task9_init0_adaptive_confirm__seed750582__max_value__success.mp4,148334,True
no_extra_inference,loss,phase_l1_r0.3,True,False,new_ood_holdout,long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,750582,phase_l1_r0.3,False,520,33,long_milk_task9_init0_adaptive_confirm__seed750582__phase_l1_r0.3__fail.mp4,251225,True
no_extra_inference,loss,phase_l1_r0.3,True,False,new_ood_holdout,long_milk_task9_init0_adaptive_confirm,libero_10_with_milk,9,0,750582,requery_l1_h8,True,244,23,long_milk_task9_init0_adaptive_confirm__seed750582__requery_l1_h8__success.mp4,139393,True
no_extra_inference,win,phase_l1_r0.3,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730000,action_l1,True,225,15,long_mug_task4_init0_adaptive_confirm__seed730000__action_l1__success.mp4,111947,True
no_extra_inference,win,phase_l1_r0.3,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730000,max_value,False,520,33,long_mug_task4_init0_adaptive_confirm__seed730000__max_value__fail.mp4,148515,True
no_extra_inference,win,phase_l1_r0.3,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730000,phase_l1_r0.3,True,225,15,long_mug_task4_init0_adaptive_confirm__seed730000__phase_l1_r0.3__success.mp4,111515,True
no_extra_inference,win,phase_l1_r0.3,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730000,requery_l1_h8,True,216,18,long_mug_task4_init0_adaptive_confirm__seed730000__requery_l1_h8__success.mp4,107295,True
adaptive_horizon,win,requery_l1_h8,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730776,action_l1,True,227,15,long_mug_task4_init0_adaptive_confirm__seed730776__action_l1__success.mp4,111919,True
adaptive_horizon,win,requery_l1_h8,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730776,max_value,False,520,33,long_mug_task4_init0_adaptive_confirm__seed730776__max_value__fail.mp4,154860,True
adaptive_horizon,win,requery_l1_h8,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730776,phase_l1_r0.3,True,227,15,long_mug_task4_init0_adaptive_confirm__seed730776__phase_l1_r0.3__success.mp4,111919,True
adaptive_horizon,win,requery_l1_h8,False,True,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,730776,requery_l1_h8,True,216,15,long_mug_task4_init0_adaptive_confirm__seed730776__requery_l1_h8__success.mp4,109999,True
no_extra_inference,loss,phase_l1_r0.3,True,False,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731067,action_l1,False,520,33,long_mug_task4_init0_adaptive_confirm__seed731067__action_l1__fail.mp4,154439,False
no_extra_inference,loss,phase_l1_r0.3,True,False,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731067,max_value,False,520,33,long_mug_task4_init0_adaptive_confirm__seed731067__max_value__fail.mp4,148714,False
no_extra_inference,loss,phase_l1_r0.3,True,False,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731067,phase_l1_r0.3,False,520,33,long_mug_task4_init0_adaptive_confirm__seed731067__phase_l1_r0.3__fail.mp4,166951,False
no_extra_inference,loss,phase_l1_r0.3,True,False,known_boundary,long_mug_task4_init0_adaptive_confirm,libero_10_with_mug,4,0,731067,requery_l1_h8,True,219,18,long_mug_task4_init0_adaptive_confirm__seed731067__requery_l1_h8__success.mp4,109411,False
adaptive_horizon,loss,requery_l1_h8,True,False,known_boundary,milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710194,action_l1,False,220,14,milk_task5_init0_adaptive_confirm__seed710194__action_l1__fail.mp4,122534,True
adaptive_horizon,loss,requery_l1_h8,True,False,known_boundary,milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710194,max_value,True,145,10,milk_task5_init0_adaptive_confirm__seed710194__max_value__success.mp4,72473,True
adaptive_horizon,loss,requery_l1_h8,True,False,known_boundary,milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710194,phase_l1_r0.3,False,220,14,milk_task5_init0_adaptive_confirm__seed710194__phase_l1_r0.3__fail.mp4,117587,True
adaptive_horizon,loss,requery_l1_h8,True,False,known_boundary,milk_task5_init0_adaptive_confirm,libero_spatial_with_milk,5,0,710194,requery_l1_h8,False,220,19,milk_task5_init0_adaptive_confirm__seed710194__requery_l1_h8__fail.mp4,105629,True
