reference,method,paired_episodes,delta_sr,ci95_low,ci95_high,rescues,harms,mcnemar_exact_p,stage
first,max_value,40,-0.09999999999999998,-0.25,0.05,3,7,0.34375,exact_development
first,consensus_medoid_only,40,-0.125,-0.3,0.05,4,9,0.266845703125,exact_development
max_value,consensus_medoid_only,40,-0.025000000000000022,-0.175,0.125,5,6,1.0,exact_development
max_value,keystone_cluster_medoid,20,-0.1,-0.3,0.1,1,3,0.625,architecture_development
max_value,cosmos_consensus_guarded,20,0.04999999999999999,-0.15,0.25,3,2,1.0,architecture_development
keystone_cluster_medoid,cosmos_consensus_guarded,20,0.15,-0.1,0.4,5,2,0.453125,architecture_development
