suite,task_id,init_state_id,rollout_seed,reference,method,compared_candidates,same_candidate_count,sim_state_max_abs_delta,action_max_abs_delta,value_max_abs_delta,stage
libero_object_object,0,0,16100000,consensus_medoid_only,first,1,False,0.0,0.001788020133972168,9.059906005859375e-05,exact_development
libero_object_object,0,1,16110000,consensus_medoid_only,first,1,False,0.0,0.0038935691118240356,9.807944297790527e-05,exact_development
libero_object_object,0,2,16120000,consensus_medoid_only,first,1,False,0.0,0.011418849229812622,0.0004940927028656006,exact_development
libero_object_object,0,3,16130000,consensus_medoid_only,first,1,False,0.0,0.002814263105392456,9.03010368347168e-06,exact_development
libero_object_object,0,4,16140000,consensus_medoid_only,first,1,False,0.0,0.007585048675537109,0.00022274255752563477,exact_development
libero_object_object,0,5,16150000,consensus_medoid_only,first,1,False,0.0,0.002351999282836914,0.0005057752132415771,exact_development
libero_object_object,0,6,16160000,consensus_medoid_only,first,1,False,0.0,0.0024619102478027344,4.646182060241699e-05,exact_development
libero_object_object,0,7,16170000,consensus_medoid_only,first,1,False,0.0,0.002064064145088196,1.862645149230957e-05,exact_development
libero_object_object,0,8,16180000,consensus_medoid_only,first,1,False,0.0,0.0028714537620544434,0.00010779500007629395,exact_development
libero_object_object,0,9,16190000,consensus_medoid_only,first,1,False,0.0,0.004702121019363403,0.00012949109077453613,exact_development
libero_object_object,0,10,16200000,consensus_medoid_only,first,1,False,0.0,0.0034957528114318848,7.125735282897949e-05,exact_development
libero_object_object,0,11,16210000,consensus_medoid_only,first,1,False,0.0,0.009954184293746948,0.00013306736946105957,exact_development
libero_object_object,0,12,16220000,consensus_medoid_only,first,1,False,0.0,0.004840731620788574,0.00012129545211791992,exact_development
libero_object_object,0,13,16230000,consensus_medoid_only,first,1,False,0.0,0.006239652633666992,9.942054748535156e-05,exact_development
libero_object_object,0,14,16240000,consensus_medoid_only,first,1,False,0.0,0.00345669686794281,8.356571197509766e-05,exact_development
libero_object_object,0,15,16250000,consensus_medoid_only,first,1,False,0.0,0.0031566321849823,9.658932685852051e-05,exact_development
libero_object_object,0,16,16260000,consensus_medoid_only,first,1,False,0.0,0.0031435489654541016,6.225705146789551e-05,exact_development
libero_object_object,0,17,16270000,consensus_medoid_only,first,1,False,0.0,0.0030948668718338013,4.8279762268066406e-05,exact_development
libero_object_object,0,18,16280000,consensus_medoid_only,first,1,False,0.0,0.0020973235368728638,0.00019350647926330566,exact_development
libero_object_object,0,19,16290000,consensus_medoid_only,first,1,False,0.0,0.0017188489437103271,0.0001590251922607422,exact_development
libero_object_object,0,20,16300000,consensus_medoid_only,first,1,False,0.0,0.0022343993186950684,2.9087066650390625e-05,exact_development
libero_object_object,0,21,16310000,consensus_medoid_only,first,1,False,0.0,0.0032728612422943115,0.0001232624053955078,exact_development
libero_object_object,0,22,16320000,consensus_medoid_only,first,1,False,0.0,0.002868734300136566,0.0005169808864593506,exact_development
libero_object_object,0,23,16330000,consensus_medoid_only,first,1,False,0.0,0.0038240551948547363,0.00012892484664916992,exact_development
libero_object_object,0,24,16340000,consensus_medoid_only,first,1,False,0.0,0.0039164721965789795,3.108382225036621e-05,exact_development
libero_object_object,0,25,16350000,consensus_medoid_only,first,1,False,0.0,0.0027886033058166504,1.9937753677368164e-05,exact_development
libero_object_object,0,26,16360000,consensus_medoid_only,first,1,False,0.0,0.006082713603973389,5.844235420227051e-05,exact_development
libero_object_object,0,27,16370000,consensus_medoid_only,first,1,False,0.0,0.002941042184829712,0.00040018558502197266,exact_development
libero_object_object,0,28,16380000,consensus_medoid_only,first,1,False,0.0,0.004021584987640381,0.00013720989227294922,exact_development
libero_object_object,0,29,16390000,consensus_medoid_only,first,1,False,0.0,0.0029498711228370667,0.0002872049808502197,exact_development
libero_object_object,0,30,16400000,consensus_medoid_only,first,1,False,0.0,0.0022770166397094727,0.00010865926742553711,exact_development
libero_object_object,0,31,16410000,consensus_medoid_only,first,1,False,0.0,0.0032134950160980225,7.25090503692627e-05,exact_development
libero_object_object,0,32,16420000,consensus_medoid_only,first,1,False,0.0,0.0020520687103271484,2.1338462829589844e-05,exact_development
libero_object_object,0,33,16430000,consensus_medoid_only,first,1,False,0.0,0.004612177610397339,0.00033041834831237793,exact_development
