planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_random_requery_43,0.0,libero_object_object,3,6,1,1,1.0,124.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,3,7,1,1,1.0,126.0,0.0
max_value_random_requery_43,0.0,libero_object_object,3,7,1,1,1.0,125.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,3,8,1,1,1.0,117.0,0.0
max_value_random_requery_43,0.0,libero_object_object,3,8,1,1,1.0,113.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,3,9,1,1,1.0,130.0,0.0
max_value_random_requery_43,0.0,libero_object_object,3,9,1,1,1.0,130.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,0,1,1,1.0,135.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,0,1,1,1.0,137.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,1,1,1,1.0,130.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,1,1,1,1.0,139.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,2,1,1,1.0,129.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,2,1,1,1.0,131.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,3,1,1,1.0,142.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,3,1,1,1.0,144.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,4,1,1,1.0,137.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,4,1,1,1.0,130.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,5,1,1,1.0,139.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,5,1,1,1.0,143.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,6,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,6,1,1,1.0,139.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,7,1,1,1.0,136.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,7,1,1,1.0,137.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,8,1,1,1.0,136.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,8,1,1,1.0,142.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,4,9,1,1,1.0,142.0,0.0
max_value_random_requery_43,0.0,libero_object_object,4,9,1,1,1.0,148.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,0,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,0,1,1,1.0,135.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,1,1,1,1.0,125.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,1,1,1,1.0,126.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,2,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,2,1,1,1.0,127.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,3,1,1,1.0,116.0,0.0
max_value_random_requery_43,0.0,libero_object_object,5,3,1,1,1.0,113.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,5,4,1,1,1.0,117.0,0.0
