planning_strategy,planning_risk_lambda,episodes,successes,success_rate,mean_final_t,mean_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
max_value_disagreement_requery,1.0,100,97,0.97,140.08,11.61,0.0,0.5659019177951758,0.5659019177951758,-0.047243694892808615
max_value_random_requery_43,0.0,100,96,0.96,139.7,11.74,0.0,0.5759088216196112,0.5759088216196112,0.0
