suite,task_id,episode_id,pair_id,rollout_id,rollout_seed,init_state_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__akita_black_bowl_1_pos,actual_object_state_delta_l2__akita_black_bowl_1_quat,actual_object_state_delta_l2__akita_black_bowl_2_pos,actual_object_state_delta_l2__akita_black_bowl_2_quat,actual_object_state_delta_l2__cookies_1_pos,actual_object_state_delta_l2__cookies_1_quat,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_pos,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_quat,actual_object_state_delta_l2__plate_1_pos,actual_object_state_delta_l2__plate_1_quat,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success,steps_to_failure_event,query_is_pre_failure,failure_event_in_executed_chunk
libero_spatial,0,0,0,0,121000,0,121000,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0054561016149818,0.0394532643258571,0.0159289520233869,0.0113199204206466,0.0011162967421114,0.000884061329998,0.0344031862914562,0.4695094227790832,0.0023781170602887,0.0058964490890502,0.001490420429036,0.0053748241625726,1.208939552307129,4.690415859222412,54.398414611816406,3.138458013534546,16.037065505981445,74.9078598022461,0.0096516981720924,0.0254121534526348,0.0527605563402175,0.0059330598451197,0.0105739394202828,0.0175825804471969,0.0069953738711774,0.0118431625887751,0.0201293844729661,0.0080615771003067,0.0081410957500338,0.0113576133735477,0.0117837507277727,0.0234711528755724,0.0249424446374177,0.007446642499417,0.0075479205697774,0.007716943277046,0.0077755930833518,0.0070485733449459,0.0072789401747286,0.0070485733449459,0.0072789401747286,first,1.0,0.0,0.4675309062004089,-0.8319677114486694,0.0,0.4675309062004089,2.0,0.4731724858283996,False,0.4695094227790832,0.0023781170602887,0.0058964490890502,0.0234711524099111,0.0008947493042796,0.0070485733449459,0.0001385293144267,121000,121002,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.3002946634744584,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8226488129890092,1.0864333076696766,0.0444444444444444,0.145866259403102,0.1443745799625043,0.1823328242538775,0.4414897138450493,4.189143846105301,9.46955569831205,263.6665469781083,454.7005615234375,8.985610961914062,21.55354870339117,0.9106374179643746,767.125,11.663923263549805,19.28214224575922,0.8753383667100781,0.0145882740616798,0.0041802311316132,0.0085809007287025,0.0107046402990818,0.009452293626964,0.4675309062004089,0.4675309062004089,1.3953301595711045e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.883756821378756e-09,2.934624683612516e-07,5.883756829462707e-09,2.530519738197512e-07,4.94682380857899e-17,2.6346862755526685e-07,3.568444199903012e-09,2.673608637928075e-07,9.187799780537542e-09,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0945803456714563,0.7386587285189032,0.3767313390839875,4.529025676243438,141972.71465315568,0.5324690937995911,,False,False
libero_spatial,0,0,0,0,121000,0,121000,1,16,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.001777168479748,0.0085460981354117,0.0049870247021317,0.0030339856166392,0.0008822805830277,0.0006913812248967,0.0096366768702864,0.5710568428039551,0.0004382430051919,0.0012125968933105,0.0005359956994652,0.0011431016027927,0.5151729583740234,1.5,19.93113136291504,1.801443099975586,9.337424278259276,46.49731063842773,0.0063431225717067,0.0113664399832487,0.0230532046407461,0.0055658486671745,0.0098235346376895,0.0170343983918428,0.0053973621688783,0.0096407476812601,0.0161669608205556,0.0082751575391739,0.0083531001582741,0.012112806783989,0.0126385018229484,0.0219819950871169,0.0231952685862779,0.007289633504115,0.007334710098803,0.0077320135897025,0.0079569509252905,0.0069134765071794,0.0069791236892342,0.0069134765071794,0.0069791236892342,first,1.0,0.0,0.5717021822929382,1.4725608825683594,0.0,0.5717021822929382,0.0,0.5717021822929382,True,0.5710568428039551,0.0004382430051919,0.0012125968933105,0.0219819955527782,0.000963918340858,0.0069134766235947,4.722396261058748e-05,122000,122000,32,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.1527643471949146,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0458235383977417,1.1976864914108525,0.0888888888888888,0.2048826704050781,0.1741163032026476,0.2561033380063476,0.6179591390564813,3.819937029128088,7.5883058834100225,94.93080520783064,617.1755981445312,10.602001190185549,20.22671614249125,0.8858357650346388,754.7224731445312,12.773703575134276,19.35293078827553,0.8798935961197188,0.0098544955253601,0.0024653975851833,0.0064479708671569,0.0065138698555529,0.0070375022478401,0.5717021822929382,0.5717021822929382,8.655221502221871e-18,3.733438644616618e-17,10.0,0.0,3.733438644616618e-17,0.0,3.6503979423569346e-17,0.0,9.05120776476281e-18,0.0,9.886964187565662e-19,0.0,2.673944968963811e-18,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0945803456714563,0.7386587285189032,0.3767313390839875,4.529025676243438,141972.71465315568,0.4282978177070617,,False,False
libero_spatial,0,0,0,0,121000,0,121000,2,32,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0017882594838738,0.0093514081090688,0.0053894040174782,0.0030768590513616,0.0008062833803705,0.0008683886262588,0.0094768851995468,0.6495767831802368,0.0004942691884934,0.0013160705566406,0.0009112140978686,0.002267523901537,0.4506220817565918,1.299038052558899,9.756407737731934,1.173224925994873,4.636809349060059,44.5,0.0062513216398656,0.0112669384106993,0.0216770973056554,0.005640102084726,0.0100323781371116,0.017645213752985,0.0054164612665772,0.0096224267035722,0.01788841933012,0.0087490701116621,0.0088384849950671,0.0143559931311756,0.017871918156743,0.0224693063646554,0.0227743033319711,0.00789078802336,0.0081554539501667,0.0083174076862633,0.0087024327367544,0.0068872348638251,0.0070701376534998,0.0068872348638251,0.0070701376534998,first,1.0,0.0,0.6493360996246338,-0.4869483411312103,0.0,0.6493360996246338,2.0,0.6503902673721313,False,0.6495767831802368,0.0004942691884934,0.0013160705566406,0.0224693045020103,0.0002709190302994,0.0068872347474098,0.0001368921075481,123000,123002,48,16,0,False,False,0.0,0.0,0.0002579142661814,0.0484228683308241,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381029470720212,1.1994319497855006,0.0666666666666666,0.1257284019394567,0.1049459370779141,0.157160502424321,0.5357663364109219,4.424208097911792,10.054484523689508,366.33686326596217,538.5142211914062,9.94520664215088,20.818831841468125,0.9000226919725525,1422.2274169921875,19.325029373168945,16.60111314370125,0.799672867825869,0.0342459343373775,0.0079163312911987,0.0229163020849227,0.0241670571267604,0.0241558365523815,0.6493360996246338,0.6493360996246338,0.0015270288666347,0.0112549198275286,10.0,0.0040153688388185,0.0112549198275286,0.0,3.1407451713041337e-19,0.0,2.251819113412987e-18,0.0,1.075937928755453e-18,0.0,4.207835982932404e-19,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0945803456714563,0.7386587285189032,0.3767313390839875,4.529025676243438,141972.71465315568,0.3506639003753662,,False,False
libero_spatial,0,0,0,0,121000,0,121000,3,48,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0013774482067674,0.0045905606821179,0.004756337031722,0.0021149334497749,0.0008770052227191,0.0006663211388513,0.0068522416986525,0.7448310852050781,0.0007230511982925,0.0017801523208618,0.0005542585859075,0.0011699659517034,0.4984080493450165,1.5,12.668859481811523,1.047053337097168,4.27200174331665,31.155858993530277,0.0060245599597692,0.0107624307274818,0.0181449558585882,0.0055606476962566,0.0097831906750798,0.0187624059617519,0.0056634889915585,0.0100435018539428,0.0178239103406667,0.0081930488813668,0.0082352003082633,0.0106618492864072,0.011166832409799,0.0210536229424178,0.0214350949972867,0.0074604030232876,0.0075246724300086,0.0077670987229794,0.0078412471339106,0.0070598621387034,0.0071213254705071,0.0070598621387034,0.0071213254705071,first,1.0,0.0,0.7454010844230652,0.7883248329162598,0.0,0.7454010844230652,1.0,0.7456419467926025,False,0.7448310852050781,0.0007230511982925,0.0017801523208618,0.0210536234080791,0.0003466136113274,0.0070598619058728,4.2241965275025e-05,124000,124001,64,16,0,False,False,0.0,0.0,0.0941047567794688,0.0608166471500143,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,100.0,8.0,100.0,0.7630273941867705,1.105029653226974,0.0777777777777777,0.1360547018435402,0.1263034663528119,0.1700683773044252,0.5711832705705963,4.299283888293785,5.901817293328553,253.13406657282297,619.7177734375,10.542258262634276,20.208864090216995,0.8876045235121514,817.6318359375,14.036643981933594,19.00522567726483,0.8811318603520665,0.0254990644752979,0.0061793276108801,0.0213438272476196,0.0081742238253355,0.0084955720230937,0.7454010844230652,0.7454010844230652,0.0253549777812346,0.1341219478563276,10.0,0.1194278299560187,0.1341219478563276,0.0,1.1639317635960889e-18,0.0,2.7769328417671353e-18,0.0,1.5380609345538441e-18,0.0,6.848836048221987e-18,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0945803456714563,0.7386587285189032,0.3767313390839875,4.529025676243438,141972.71465315568,0.2545989155769348,,False,False
libero_spatial,0,0,0,0,121000,0,121000,4,64,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0023308827076107,0.0133299371227622,0.0147595014423131,0.0041739218868315,0.0009600306511856,0.0009143213974311,0.0126283327117562,0.899134635925293,0.0004471019783522,0.001118779182434,0.0007548800786025,0.0020312995184212,0.4737755954265594,1.4142135381698608,9.861541748046877,1.2471165657043457,5.147815227508545,32.4759521484375,0.0066676242277026,0.0122859207913279,0.0228770580142736,0.0055472897365689,0.0099257379770278,0.0166413057595491,0.0057759322226047,0.010336298495531,0.0184926688671112,0.0088467488531023,0.0089193042367696,0.0123684706632047,0.0130800632759928,0.023692765738815,0.0243837404996156,0.0074031399562954,0.0074254912324249,0.0077469004318118,0.0078487377613782,0.0074348833877593,0.0075267497450113,0.0074348833877593,0.0075267497450113,first,1.0,0.0,0.898674488067627,-1.0291787385940552,0.0,0.898674488067627,1.0,0.899793267250061,False,0.899134635925293,0.0004471019783522,0.001118779182434,0.0236927662044763,0.0004455174494069,0.0074348836205899,7.444685616064817e-05,125000,125001,76,12,0,False,True,1.0,1.0,0.0945803456714563,0.0637630646016047,0.0027007164607648,0.000150363778586,0.0,0.0,0.0,0.0,93.0,8.0,93.0,0.9508163407355912,1.1523479131602563,0.0606060606060606,0.1261266949277261,0.0921102083221413,0.2102111582128769,0.889950981415756,5.79344866315802,11.50445891868529,106.27687557781714,655.29052734375,11.302017211914062,19.966464708792262,0.8850585086374635,1859.2554931640625,21.729293823242188,15.437412875849164,0.7197072605436161,0.3197303116321563,0.0494512096047401,0.313435286283493,0.0545382164418697,0.0178708266466856,0.101325511932373,0.898674488067627,0.015170388495962,0.0910788973945901,10.0,0.0910788973945901,0.0541868194676383,0.0,2.5559666556039896e-19,0.0,1.0768151734232743e-18,0.0,1.2729411165932013e-18,0.0024195673089746,0.0040186007884171,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0945803456714563,0.7386587285189032,0.3767313390839875,4.529025676243438,141972.71465315568,0.101325511932373,,False,False
libero_spatial,0,1,0,1,121097,0,121097,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.006323411129415,0.0404499620199203,0.0179432798177003,0.0135005116462707,0.0009470853838138,0.0009210852440446,0.0387150011956691,0.4676340818405151,0.0041899671778082,0.0118298828601837,0.0019825354684144,0.006070748437196,1.397322177886963,5.584577083587647,63.144676208496094,3.1318254470825195,15.65247631072998,84.7536849975586,0.0104146478697657,0.0302353799343109,0.0550540201365947,0.006107835099101,0.0110085429623723,0.0192051492631435,0.0097765056416392,0.0150277093052864,0.0250576492398977,0.0080821518786251,0.0081654926761984,0.0117724027950316,0.0119363218545913,0.0233398037962615,0.0238537825644016,0.0074546696851029,0.0074935290031135,0.0077811513328924,0.0078797191381454,0.0071871689287945,0.0073016262613236,0.0071871689287945,0.0073016262613236,first,1.0,0.0,0.4614873826503753,-1.4670041799545288,0.0,0.4614873826503753,2.0,0.4733172655105591,False,0.4676340818405151,0.0041899671778082,0.0118298828601837,0.0233398023992776,0.000500172318425,0.0071871690452098,7.838199962861836e-05,121097,121099,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.3012250403204867,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259684583209139,1.0896407083020303,0.0444444444444444,0.1463518691785293,0.1451624846707471,0.1829398364731617,0.4349750270289601,4.049559614595637,8.264330270042494,238.6720801631338,460.1795349121094,9.037196159362791,21.50153060034569,0.909597688339206,767.9537353515625,11.710073471069336,19.277453037097548,0.8744594522254839,0.0172731988131999,0.0048861894756555,0.0118738636374473,0.0139866983518004,0.0089659290388226,0.4614873826503753,0.4614873826503753,1.3953301595658918e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.8837568216984366e-09,2.934624683612516e-07,5.883756828742307e-09,2.530519738197512e-07,4.809119124835133e-17,2.6346862755526685e-07,3.568444198143755e-09,2.673608637928075e-07,9.187799778862152e-09,True,77,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,77,58,0.0851533548046903,0.7390975988272722,0.3773279283479485,4.428686225640509,149856.89478662473,0.5385126173496246,,False,False
libero_spatial,0,1,0,1,121097,0,121097,1,16,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0019091771682724,0.0071309260092675,0.0067474930547177,0.0034063283819705,0.0008012173348106,0.0007416023872792,0.0106497071683406,0.5675153732299805,0.0008464625570923,0.0020438432693481,0.0005582312587648,0.0008479197276756,0.5499634742736816,1.7320507764816284,27.76125907897949,1.3462826013565063,6.832825183868408,29.364093780517575,0.0063898782245814,0.0114612998440861,0.0208637714385986,0.0055393651127815,0.0097536221146583,0.0182582568377256,0.005514208227396,0.0098340380936861,0.0206515844911336,0.008287452859804,0.0083536859601736,0.0112229387741535,0.0119775896891951,0.0226297774352133,0.0239246524870395,0.0072246863273903,0.0073012402281165,0.0075539608951658,0.0077922255732119,0.0068727440666407,0.0069364830851554,0.0068727440666407,0.0069364830851554,first,1.0,0.0,0.5678637027740479,0.4115120470523834,0.0,0.5678637027740479,1.0,0.5687415599822998,False,0.5675153732299805,0.0008464625570923,0.0020438432693481,0.022629776969552,0.0008698144229128,0.00687274383381,5.479035826283507e-05,122097,122098,32,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.1581145048582905,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.037961540337852,1.205287930124587,0.0444444444444444,0.2027583085494389,0.1712203394163548,0.2534478856867986,0.6247602601620844,3.711678074311191,6.291576046905868,89.08565670636332,607.0513916015625,10.518574714660645,20.298549018450316,0.8877037833913545,748.9172973632812,12.81541633605957,19.386464994860127,0.8794550375370332,0.0111157828941941,0.0029060831293463,0.0068772435188293,0.0080741848796606,0.0072516975924372,0.5678637027740479,0.5678637027740479,9.79988646170765e-18,3.8155395336647856e-17,10.0,0.0,3.8155395336647856e-17,0.0,3.7567367279415255e-17,0.0,1.284355521917218e-17,0.0,3.622526811548524e-18,0.0,5.8100199702926756e-18,True,77,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,77,58,0.0851533548046903,0.7390975988272722,0.3773279283479485,4.428686225640509,149856.89478662473,0.4321362972259521,,False,False
libero_spatial,0,1,0,1,121097,0,121097,2,32,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0018724444089457,0.0081834429875016,0.0068746958859264,0.0032799430191516,0.0006676468183286,0.0012643416412174,0.0103300064802169,0.6438080072402954,0.0002215647691627,0.0005571246147155,0.0014751768903806,0.0064577958546578,0.4539337158203125,1.299038052558899,7.529109954833984,1.2890692949295044,5.356071472167969,36.77210235595703,0.0062978388741612,0.0115273417904973,0.0219472404569387,0.0059078368358314,0.0107723595574498,0.0195124559104442,0.0055594430305063,0.0100072119385004,0.0187348742038011,0.0088718624319881,0.0090527832508087,0.0194306252524256,0.0206531342118978,0.0221134298481047,0.0225009527057409,0.0076671487186104,0.0077312346547842,0.0081506117712706,0.0084947543218731,0.0071215700590983,0.0072287679649889,0.0071215700590983,0.0072287679649889,first,1.0,0.0,0.6441277861595154,1.4432750940322876,0.0,0.6441277861595154,0.0,0.6441277861595154,True,0.6438080072402954,0.0002215647691627,0.0005571246147155,0.0221134293824434,0.0002964593004435,0.0071215704083442,6.577841122634709e-05,123097,123097,48,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.0470806466504273,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6639703111938214,1.1942782816351625,0.0666666666666666,0.1320102069460781,0.1155369488464917,0.1650127586825976,0.5358493363721891,4.251082606282407,10.369594651603672,319.6961552664109,582.3839111328125,10.385815620422363,20.47870992163812,0.8919579888550204,1156.18212890625,17.315828323364258,17.50054108661701,0.8390972962648193,0.064117856323719,0.0143628483638167,0.0483986735343933,0.0186950042843818,0.0210618153214454,0.6441277861595154,0.6441277861595154,1.4458257546921408e-18,1.1427312670106528e-17,10.0,0.0,3.805320851026507e-19,0.0,7.313112940314099e-20,0.0,8.668281448746e-19,0.0,1.7104535174344897e-18,0.0,1.1427312670106528e-17,True,77,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,77,58,0.0851533548046903,0.7390975988272722,0.3773279283479485,4.428686225640509,149856.89478662473,0.3558722138404846,,False,False
libero_spatial,0,1,0,1,121097,0,121097,3,48,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.001572313834913,0.0064782509580254,0.005582720041275,0.0022363022435456,0.0012023309245705,0.0006902960012666,0.0077279224060475,0.7338517308235168,0.0002703871286939,0.0006778240203857,0.0004630030889529,0.001281104166992,0.4427192807197571,1.299038052558899,13.133925437927246,1.008540391921997,4.14578104019165,27.01272773742676,0.0062286988832056,0.0110268192365765,0.0211966596543788,0.0055924793705344,0.00994807574898,0.0168558750301599,0.0055089895613491,0.009829519316554,0.0205527395009994,0.0081166743766516,0.0081570744514465,0.0107228441629558,0.0110795469954609,0.0214854497462511,0.0219632517546415,0.0074680605903267,0.0075210281647741,0.0076771492604166,0.0077960942871868,0.0071377352578565,0.0072409324347972,0.0071377352578565,0.0072409324347972,first,1.0,0.0,0.7342387437820435,1.4313291311264038,0.0,0.7342387437820435,0.0,0.7342387437820435,True,0.7338517308235168,0.0002703871286939,0.0006778240203857,0.0214854497462511,0.0006014143000356,0.0071377353742718,7.144540722947568e-05,124097,124097,64,16,0,False,False,0.0,0.0,0.0832856141486011,0.0539341641182766,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,74.0,8.0,74.0,0.6993954800221046,1.1189851407178653,0.0777777777777777,0.124258916943904,0.1183336197826496,0.15532364617988,0.5504296046778135,4.3504111641477925,6.452476353140974,325.600740414509,668.64208984375,11.03501033782959,19.878866496769525,0.878422507771859,945.8671264648438,15.249103546142578,18.37250229007501,0.8639642890314954,0.0248625520616769,0.0063256048597395,0.0168718099594116,0.01385348290205,0.0117530608549714,0.7342387437820435,0.7342387437820435,0.02285953768442,0.1230485254434395,10.0,0.1055468514007611,0.1230485254434395,0.0,9.731771794027398e-19,0.0,3.356687117264068e-18,0.0,1.0495050874745453e-18,0.0,1.6527539547465436e-17,True,77,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,77,58,0.0851533548046903,0.7390975988272722,0.3773279283479485,4.428686225640509,149856.89478662473,0.2657612562179565,,False,False
libero_spatial,0,1,0,1,121097,0,121097,4,64,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0021681631915271,0.0127753326669335,0.0077684102579951,0.0034893720876425,0.0012543605407699,0.0009459446882829,0.0111605776473879,0.8908613920211792,0.0002114698145305,0.0005412697792053,0.0010128269204869,0.0025103623047471,0.4864770174026489,1.4790199995040894,13.397761344909668,1.2714966535568235,5.123475551605225,39.22053146362305,0.0068576172925531,0.0129215950146317,0.0263490136712789,0.0055848783813416,0.0100022442638874,0.0173189584165811,0.0057214959524571,0.0101349102333188,0.0188222527503967,0.0089351155329495,0.0089632738381624,0.012904597679153,0.0137292621657252,0.0230631972663104,0.023563040420413,0.0074616585625335,0.007529204711318,0.0077386274933815,0.0078072389587759,0.0073736847843974,0.0075859981589019,0.0073736847843974,0.0075859981589019,first,1.0,0.0,0.8910168409347534,0.7350879311561584,0.0,0.8910168409347534,1.0,0.8910747766494751,False,0.8908613920211792,0.0002114698145305,0.0005412697792053,0.0230631977319717,0.0005774868186563,0.0073736850172281,0.0001264358434127,125097,125098,77,13,0,False,True,1.0,1.0,0.0851533548046903,0.064159256770523,0.0021727468540146,2.786076397365278e-07,0.0,0.0,0.0,0.0,97.0,8.0,97.0,0.9213893326412226,1.112720380332714,0.0972222222222222,0.1337182972093217,0.0925738352338754,0.2057204572451104,0.8561433197744069,5.6920160671507904,10.761072747971411,144.3245723201463,628.0741577148438,11.072949409484863,20.15069436262962,0.8895190621519038,1850.9691162109373,21.49380874633789,15.456811883446475,0.7208422918883902,0.2966837286949157,0.0415566116571426,0.2942547798156738,0.0320585034787654,0.009916360490024,0.1089831590652465,0.8910168409347534,0.0206565577136633,0.1103225452196667,10.0,0.0871053414461222,0.1103225452196667,0.0,6.179767149981907e-19,0.0,2.867883162299975e-18,0.0,2.0189674855038688e-18,0.0021557093684428,0.0069819811024017,True,77,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,77,58,0.0851533548046903,0.7390975988272722,0.3773279283479485,4.428686225640509,149856.89478662473,0.1089831590652465,,False,False
