suite,task_id,pair_id,rollout_id,init_state_id,rollout_seed,episode_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__akita_black_bowl_1_pos,actual_object_state_delta_l2__akita_black_bowl_1_quat,actual_object_state_delta_l2__akita_black_bowl_2_pos,actual_object_state_delta_l2__akita_black_bowl_2_quat,actual_object_state_delta_l2__cookies_1_pos,actual_object_state_delta_l2__cookies_1_quat,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_pos,actual_object_state_delta_l2__glazed_rim_porcelain_ramekin_1_quat,actual_object_state_delta_l2__plate_1_pos,actual_object_state_delta_l2__plate_1_quat,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success
libero_spatial,0,0,0,0,121000,0,121000,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0054561016149818,0.0394532643258571,0.0159289520233869,0.0113199204206466,0.0011162967421114,0.000884061329998,0.0344031862914562,0.4695094227790832,0.0023781170602887,0.0058964490890502,0.001490420429036,0.0053748241625726,1.208939552307129,4.690415859222412,54.398414611816406,3.138458013534546,16.037065505981445,74.9078598022461,0.0096516981720924,0.0254121534526348,0.0527605563402175,0.0059330598451197,0.0105739394202828,0.0175825804471969,0.0069953738711774,0.0118431625887751,0.0201293844729661,0.0080615771003067,0.0081410957500338,0.0113576133735477,0.0117837507277727,0.0234711528755724,0.0249424446374177,0.007446642499417,0.0075479205697774,0.007716943277046,0.0077755930833518,0.0070485733449459,0.0072789401747286,0.0070485733449459,0.0072789401747286,first,1.0,0.0,0.4675309062004089,-0.8319677114486694,0.0,0.4675309062004089,2.0,0.4731724858283996,False,0.4695094227790832,0.0023781170602887,0.0058964490890502,0.0234711524099111,0.0008947493042796,0.0070485733449459,0.0001385293144267,121000,121002,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.3002946634744584,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8226488129890092,1.0864333076696766,0.0444444444444444,0.145866259403102,0.1443745799625043,0.1823328242538775,0.4414897138450493,4.189143846105301,9.46955569831205,263.6665469781083,454.7005615234375,8.985610961914062,21.55354870339117,0.9106374179643746,767.125,11.663923263549805,19.28214224575922,0.8753383667100781,0.0145882740616798,0.0041802311316132,0.0085809007287025,0.0107046402990818,0.009452293626964,0.4675309062004089,0.4675309062004089,1.3953301595711045e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.883756821378756e-09,2.934624683612516e-07,5.883756829462707e-09,2.530519738197512e-07,4.94682380857899e-17,2.6346862755526685e-07,3.568444199903012e-09,2.673608637928075e-07,9.187799780537542e-09,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0945803456714563,0.7386587285189032,0.3767313390839875,4.529025676243438,141972.71465315568,0.5324690937995911
libero_spatial,0,0,1,0,121097,1,121097,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.006323411129415,0.0404499620199203,0.0179432798177003,0.0135005116462707,0.0009470853838138,0.0009210852440446,0.0387150011956691,0.4676340818405151,0.0041899671778082,0.0118298828601837,0.0019825354684144,0.006070748437196,1.397322177886963,5.584577083587647,63.144676208496094,3.1318254470825195,15.65247631072998,84.7536849975586,0.0104146478697657,0.0302353799343109,0.0550540201365947,0.006107835099101,0.0110085429623723,0.0192051492631435,0.0097765056416392,0.0150277093052864,0.0250576492398977,0.0080821518786251,0.0081654926761984,0.0117724027950316,0.0119363218545913,0.0233398037962615,0.0238537825644016,0.0074546696851029,0.0074935290031135,0.0077811513328924,0.0078797191381454,0.0071871689287945,0.0073016262613236,0.0071871689287945,0.0073016262613236,first,1.0,0.0,0.4614873826503753,-1.4670041799545288,0.0,0.4614873826503753,2.0,0.4733172655105591,False,0.4676340818405151,0.0041899671778082,0.0118298828601837,0.0233398023992776,0.000500172318425,0.0071871690452098,7.838199962861836e-05,121097,121099,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.3012250403204867,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259684583209139,1.0896407083020303,0.0444444444444444,0.1463518691785293,0.1451624846707471,0.1829398364731617,0.4349750270289601,4.049559614595637,8.264330270042494,238.6720801631338,460.1795349121094,9.037196159362791,21.50153060034569,0.909597688339206,767.9537353515625,11.710073471069336,19.277453037097548,0.8744594522254839,0.0172731988131999,0.0048861894756555,0.0118738636374473,0.0139866983518004,0.0089659290388226,0.4614873826503753,0.4614873826503753,1.3953301595658918e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.8837568216984366e-09,2.934624683612516e-07,5.883756828742307e-09,2.530519738197512e-07,4.809119124835133e-17,2.6346862755526685e-07,3.568444198143755e-09,2.673608637928075e-07,9.187799778862152e-09,True,77,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,77,58,0.0851533548046903,0.7390975988272722,0.3773279283479485,4.428686225640509,149856.89478662473,0.5385126173496246
libero_spatial,0,0,2,0,121194,2,121194,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0065047326497733,0.044778186827898,0.0184599235653877,0.0137695679441094,0.0010637353407219,0.0010332134552299,0.0396818406879901,0.4665867388248443,0.0026279538869857,0.0070000886917114,0.0015422808937728,0.0052671022713184,1.5049127340316772,5.787918567657471,59.34801864624024,4.309664249420166,25.487646102905277,84.29524230957031,0.0107344975695014,0.0337302945554256,0.0599055178463459,0.0059963045641779,0.010732484050095,0.0187858436256647,0.0073395855724811,0.0123352846130728,0.0213823802769184,0.0081209931522607,0.0082838255912065,0.0113226580433547,0.0118336305022239,0.023597418796271,0.0247106123715639,0.0074597615748643,0.0075568109750747,0.0077221777755767,0.0078265257179737,0.0071285838494077,0.0071595553308725,0.0071285838494077,0.0071595553308725,first,1.0,0.0,0.4651545882225036,-0.5449679493904114,0.0,0.4651545882225036,2.0,0.4703094363212585,False,0.4665867388248443,0.0026279538869857,0.0070000886917114,0.0235974192619323,0.0009382399730384,0.0071285841986536,2.0403098460519686e-05,121194,121196,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2999154303363273,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8250009097660419,1.0997707787553774,0.0444444444444444,0.1461502258079503,0.1449060468953628,0.1826877822599379,0.4382729288335796,4.080864178127389,8.785809599954757,245.6026012849888,465.095703125,9.114423751831056,21.455380336499267,0.9086068142082075,737.0416870117188,11.572352409362791,19.455883086572253,0.8788545996036344,0.0175433810800313,0.0049963179044425,0.0124631524085998,0.0149391004815697,0.0081738820299506,0.4651545882225036,0.4651545882225036,1.3953301595700666e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.883756821301326e-09,2.934624683612516e-07,5.883756829251684e-09,2.530519738197512e-07,4.93563977363107e-17,2.6346862755526685e-07,3.568444198655933e-09,2.673608637928075e-07,9.18779978114739e-09,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0929147648935531,0.7347015129388741,0.3766470332384919,4.528834831699335,145263.24251285734,0.5348454117774963
libero_spatial,0,0,3,0,121291,3,121291,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0060079842805862,0.0368857830762863,0.0111202532425522,0.0126770585775375,0.000978076015599,0.0010904816444963,0.0373934060335159,0.4672670662403106,0.0032698675058782,0.0082383155822753,0.0013837231090292,0.0035917165223509,1.231860876083374,4.27200174331665,58.954959869384766,3.387230396270752,19.20123672485352,77.57698059082031,0.0101650739088654,0.030153589323163,0.0518873743712902,0.0058270776644349,0.0103123430162668,0.0192646943032741,0.0083101242780685,0.0133397718891501,0.020322848111391,0.0081847494002431,0.0083877416327595,0.0116807734593749,0.0123373493552207,0.0244876616634428,0.025560924783349,0.0074317347025498,0.0075461738742887,0.0077291614143177,0.0078141391277313,0.007177704013884,0.0072562010027468,0.007177704013884,0.0072562010027468,first,1.0,0.0,0.4627048969268799,-1.395215392112732,0.0,0.4627048969268799,3.0,0.4709432125091553,False,0.4672670662403106,0.0032698675058782,0.0082383155822753,0.0244876611977815,0.0007207274320535,0.007177704013884,8.260281902039424e-05,121291,121294,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.3014197683177818,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8161307843227876,1.0847918926958806,0.0454545454545454,0.1445692361564565,0.1431279478470997,0.1807115451955706,0.4265869856460728,4.121617239866821,8.000186086690658,260.72688746265874,460.6544494628906,9.032744407653809,21.497050904970266,0.90951543079063,735.1409301757812,11.474967956542969,19.46709757388301,0.8803300407034242,0.0158910453319549,0.0043346262536942,0.0116607844829559,0.012851201929152,0.00854083430022,0.4627048969268799,0.4627048969268799,1.395330159572106e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.883756821775523e-09,2.934624683612516e-07,5.883756829379588e-09,2.530519738197512e-07,5.021919634977859e-17,2.6346862755526685e-07,3.5684441977588797e-09,2.673608637928075e-07,9.18779978261886e-09,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,58,0.0949935452459077,0.730434513375233,0.3824985060957373,4.250818487054063,133598.04597452827,0.5372951030731201
libero_spatial,0,0,4,0,121388,4,121388,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0039801928214728,0.032248105853796,0.0101135969161987,0.0081497263163328,0.0008375723846256,0.0008994520758278,0.0236393567174673,0.4665383100509643,0.0021609147079288,0.0060272216796875,0.0011449388694018,0.0030453703366219,0.926645278930664,3.2015621662139893,37.805423736572266,2.364828586578369,12.85252857208252,60.14305877685547,0.0082390895113348,0.0203495435416698,0.0454504527151584,0.0057537141256034,0.0101527636870741,0.0214737635105848,0.0067368135787546,0.0115638962015509,0.0188163090497255,0.0081626251339912,0.0082374662160873,0.0118300665635615,0.0120451869443058,0.0237882826477289,0.024319864809513,0.0074565584072843,0.0075521897524595,0.0076977082062512,0.0077772387303411,0.007093817112036,0.0072127631865441,0.007093817112036,0.0072127631865441,first,1.0,0.0,0.4692175090312958,1.239844799041748,0.0,0.4692175090312958,0.0,0.4692175090312958,True,0.4665383100509643,0.0021609147079288,0.0060272216796875,0.0237882826477289,0.0004977603675797,0.007093817461282,7.944869867060333e-05,121388,121388,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2987483714825795,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8102585898377883,1.094654522239153,0.0777777777777777,0.1439699257096787,0.1422371100716756,0.1799624071370984,0.4431845318960529,4.365572963752041,10.25392558493163,292.17543021022533,455.83587646484375,9.004298210144043,21.542718576243693,0.9102602679707928,763.1284790039062,11.702858924865724,19.304826996821404,0.8752556446265248,0.0156392529606819,0.0046045300550758,0.0075867474079132,0.0123551301658153,0.0086593469604849,0.4692175090312958,0.4692175090312958,1.395330159565939e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.883756822604307e-09,2.934624683612516e-07,5.8837568292349925e-09,2.530519738197512e-07,4.7810197821229346e-17,2.6346862755526685e-07,3.5684441987211364e-09,2.673608637928075e-07,9.187799777214556e-09,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0948012381568461,0.7366770518648601,0.3770547330424347,4.686641475980304,153768.1689156428,0.5307824909687042
libero_spatial,0,0,5,0,121485,5,121485,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0043584913946688,0.032236099243164,0.0139425303786993,0.0087280990555882,0.0010980811202898,0.0010309002827852,0.0280231442302465,0.4675967991352081,0.0031792884692549,0.0082460939884185,0.0014996676472947,0.00337212276645,0.868963360786438,2.915475845336914,36.31373596191406,3.459609270095825,19.24188232421875,76.14911651611328,0.0086529506370425,0.0217419452965259,0.0457893945276737,0.0058631021529436,0.0104931676760315,0.0217666998505592,0.0081664910539984,0.0131922820582985,0.0219267774373292,0.0081127732992172,0.0081409458070993,0.0116787105798721,0.0119173033162951,0.0233062142506241,0.0239025950431823,0.0074409827357158,0.0074791931547224,0.0076548650395125,0.007714329753071,0.0071800056612119,0.007262875791639,0.0071800056612119,0.007262875791639,first,1.0,0.0,0.4656702280044555,-0.6059755682945251,0.0,0.4656702280044555,1.0,0.4728592932224273,False,0.4675967991352081,0.0031792884692549,0.0082460939884185,0.0233062151819467,0.0005620538140647,0.0071800057776272,8.124846499413252e-05,121485,121486,16,16,0,False,False,0.0,0.0,2.786076397365278e-07,0.2988824752376436,2.78607640728492e-07,2.786076397365278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8371988241839992,1.087236640579189,0.0444444444444444,0.1487207973323926,0.1472454514219205,0.1859009966654908,0.4420898894379362,4.115624440055898,7.467395835013644,231.61175189065156,438.0157470703125,8.793280601501465,21.715906367957523,0.9137634565689764,799.574951171875,11.90102195739746,19.10221180647233,0.8680758767438794,0.015601122751832,0.0041554039344191,0.011219322681427,0.012365635484457,0.0084024993702769,0.4656702280044555,0.4656702280044555,1.395330159575705e-07,2.934624683612768e-07,10.0,2.934624683612768e-07,5.88375682140822e-09,2.934624683612516e-07,5.883756828250585e-09,2.530519738197512e-07,4.9007924025814114e-17,2.6346862755526685e-07,3.5684442010228566e-09,2.673608637928075e-07,9.187799785661377e-09,True,76,5,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,76,57,0.0948416593738498,0.7403356903604237,0.3771097630716242,4.505252618416501,138774.7043878506,0.5343297719955444
libero_spatial,5,1,0,0,131000,6,131000,0,0,pick up the black bowl on the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0038958708755671,0.0268447529524564,0.038179874420166,0.0076355156488716,0.0012556829024106,0.0005974998930469,0.0227984338998794,0.445176362991333,0.002309676958248,0.0059440732002258,0.0008840123191475,0.0025034081190824,0.8772627711296082,2.9580399990081787,37.59903717041016,2.6386525630950928,13.513701438903809,71.6065673828125,0.0081995315849781,0.0183872897177934,0.0401104055345058,0.0056013013236224,0.0098653119057416,0.0202170331031084,0.0069539900869131,0.0119038997218012,0.0207193829119205,0.007981227710843,0.0080329980701208,0.0112520505208522,0.013019417412579,0.0223239632323384,0.0239481385797262,0.0072785372612997,0.0073491972871124,0.007576304487884,0.0076802000403404,0.0070456825196743,0.0071933679282665,0.0070456825196743,0.0071933679282665,first,1.0,0.0,0.4437271058559418,-0.6274718046188354,0.0,0.4437271058559418,2.0,0.4490126967430115,False,0.445176362991333,0.002309676958248,0.0059440732002258,0.022323964163661,0.0010791841195896,0.0070456825196743,0.0001306278427364,131000,131002,16,16,0,False,False,0.0,0.0,2.5673213481791635e-06,0.2130777007957837,2.151721235375814e-06,2.150667593014965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816393668705143,0.916574112382851,0.1333333333333333,0.1563229496094954,0.1508272143457914,0.1954036870118693,0.5157441069490128,3.3978417741235925,7.42799684507092,148.36583553556096,428.3065185546875,8.930258750915527,21.813256767333357,0.9178387250304124,607.1971435546875,11.148576736450195,20.29750641032784,0.8989677257730233,0.0179686993360519,0.004473490640521,0.014397919178009,0.0093162544071674,0.0151712717488408,0.4437271058559418,0.4437271058559418,8.072443946026694e-06,3.715315582602426e-05,10.0,3.8019062694336505e-06,3.715315582602426e-05,2.631327467858571e-07,6.957005849901387e-09,2.6313579129251064e-07,6.9145874915247615e-09,2.266350037762876e-06,3.668633853206507e-05,2.673608637928073e-07,9.187799768492949e-09,True,89,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,89,48,0.1425590594178746,0.8394124220299587,0.3636379315880845,3.504528299507217,171102.54200124365,0.5562728941440582
libero_spatial,5,1,1,0,131097,7,131097,0,0,pick up the black bowl on the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0044209165498614,0.030664375051856,0.0404950678348541,0.0087145054712891,0.0013440614566206,0.000770715996623,0.0260588098317384,0.4448563754558563,0.0010151539463549,0.002400130033493,0.000911853974685,0.0023623262532055,0.9647529125213624,3.2015621662139893,51.99699401855469,2.688666582107544,13.31352710723877,73.2751693725586,0.0087133673951029,0.0219115763902664,0.0444369353353977,0.0056188153102993,0.0099444855004549,0.0175776965916156,0.0056991358287632,0.0100901834666728,0.016541538760066,0.0079556107521057,0.0080129140987992,0.0105160768143832,0.0112073952332139,0.0221899966709315,0.0233152620494365,0.0073186334921047,0.0074029499664902,0.0075451685115695,0.0076943105086684,0.0070244643138721,0.0071021611802279,0.0070244643138721,0.0071021611802279,first,1.0,0.0,0.4441015720367431,-0.7435359358787537,0.0,0.4441015720367431,1.0,0.4460245370864868,False,0.4448563754558563,0.0010151539463549,0.002400130033493,0.0221899971365928,0.000791368773207,0.0070244641974568,7.306818588403985e-05,131097,131098,16,16,0,False,False,0.0,0.0,2.567321348068141e-06,0.2125328271979345,2.151721235375814e-06,2.150667593014965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8388380791480907,0.9272742968429236,0.0888888888888888,0.1609657057896502,0.1554550339755965,0.2012071322370628,0.5110592714794191,3.396676460034028,8.727018270250372,145.63083681763683,430.3670959472656,8.920154571533203,21.792413012644086,0.9176843931465724,638.3328857421875,11.53494358062744,20.080331418047585,0.8938511797995685,0.0186677798628807,0.0044688512571156,0.0152556598186492,0.0076317302882671,0.0168586857616901,0.4441015720367431,0.4441015720367431,8.072443945988413e-06,3.715315582562968e-05,10.0,3.801906269447815e-06,3.715315582562968e-05,2.6313274678585134e-07,6.957005848351145e-09,2.631357912925101e-07,6.914587494223444e-09,2.266350037762876e-06,3.668633853206061e-05,2.673608637928073e-07,9.187799769416418e-09,True,88,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,88,48,0.1376891021791201,0.8351884102639233,0.3606979679370805,3.161993767092924,138740.6623466937,0.5558984279632568
libero_spatial,5,1,2,0,131194,8,131194,0,0,pick up the black bowl on the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0033346654381603,0.0301148016005754,0.0345190651714801,0.0063499584794044,0.0011703831842169,0.0007816329598426,0.0187451988458633,0.4457639157772064,0.0017002531094476,0.0045937895774841,0.0010452721035107,0.0023469475563615,0.980012834072113,3.269174098968506,49.44378280639648,3.008430242538452,15.722197532653809,73.56757354736328,0.0076242731884121,0.0157387424260377,0.0415431074798107,0.0056646857410669,0.0101111214607954,0.0195757038891315,0.0062264250591397,0.0108779277652502,0.019591199234128,0.007929648971185,0.0080168899148702,0.010196614312008,0.0104751288890838,0.0222561480477452,0.0226293988525867,0.0073409436736255,0.0074255680665373,0.0076486397301778,0.0078171361237764,0.0069650369696319,0.0073041087016463,0.0069650369696319,0.0073041087016463,first,1.0,0.0,0.4437322914600372,-1.1948952674865725,0.0,0.4437322914600372,1.0,0.4483260810375213,False,0.4457639157772064,0.0017002531094476,0.0045937895774841,0.0222561489790678,0.0002978226111736,0.0069650374352931,0.0001963529066415,131194,131195,16,16,0,False,False,0.0,0.0,2.567321348068141e-06,0.2150386048569877,2.151721235375814e-06,2.150667593014965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205431314908744,0.9214564456568984,0.1333333333333333,0.1569189111547884,0.1517491305125202,0.1961486389434855,0.5073525040668159,3.354047210349389,6.671245290343749,135.47055197918743,425.0032958984375,8.88116455078125,21.84688062853001,0.9186055647313164,628.1876831054688,11.594141960144045,20.14990943946732,0.8959179100728546,0.0173643417656421,0.0040371511131525,0.0143317133188247,0.0077069178223609,0.0154949827119708,0.4437322914600372,0.4437322914600372,8.072443946022008e-06,3.715315582599068e-05,10.0,3.801906269409977e-06,3.715315582599068e-05,2.631327467858456e-07,6.9570058551819425e-09,2.631357912925101e-07,6.914587494518368e-09,2.266350037762876e-06,3.668633853206208e-05,2.673608637928073e-07,9.187799773625988e-09,True,86,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,86,49,0.1325593571346067,0.8249000141012696,0.3641995784015385,3.5050551305915767,149471.25361932296,0.5562677085399628
libero_spatial,5,1,3,0,131291,9,131291,0,0,pick up the black bowl on the ramekin and place it on the plate,-1,-1,none,-1,-1,-1,-1,4.0,0.0048788795247673,0.0302373077720403,0.0404795669019222,0.0100112045183777,0.0010758553398773,0.0008909779135137,0.0289758834987878,0.4454018473625183,0.0010499077616259,0.0025936067104339,0.0008867960423231,0.0023806728422641,1.1242775917053225,3.832427501678467,57.17680740356445,3.095848321914673,16.170961380004883,80.38967895507812,0.0090342769399285,0.0215158015489578,0.044898685067892,0.0056298458948731,0.0099666016176342,0.0177554935216903,0.0057013221085071,0.0101297479122877,0.0167291797697544,0.0080256229266524,0.0080935424193739,0.0109160777647048,0.0114426156505942,0.0217233523726463,0.0219275336712598,0.0073127278592437,0.0074437987059354,0.0076101972954347,0.0079339854419231,0.0070238356711342,0.0070741660892963,0.0070238356711342,0.0070741660892963,first,1.0,0.0,0.4447221159934997,-0.6474201083183289,0.0,0.4447221159934997,1.0,0.4471928775310516,False,0.4454018473625183,0.0010499077616259,0.0025936067104339,0.0217233523726463,0.0002130531938746,0.0070238355547189,5.41957160749007e-05,131291,131292,16,16,0,False,False,0.0,0.0,2.5673213481791635e-06,0.2146523270925889,2.151721235375814e-06,2.150667593014965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8373574696430268,0.9416344575666404,0.1222222222222222,0.1603631993889979,0.155298409367888,0.2004539992362475,0.4963097120940131,3.406125288173524,9.067094744852351,146.7635795067423,412.9212646484375,8.73714542388916,21.972131120894144,0.9209450394086784,646.6326904296875,11.708001136779783,20.024227043375827,0.8924483867872652,0.0175296328961849,0.0040902867913246,0.0145503282546997,0.00840600207448,0.0151629075407981,0.4447221159934997,0.4447221159934997,8.072443946068434e-06,3.715315582635975e-05,10.0,3.8019062695173823e-06,3.715315582635975e-05,2.6313274678585134e-07,6.957005849350051e-09,2.631357912925101e-07,6.914587493547634e-09,2.266350037762876e-06,3.668633853206211e-05,2.673608637928073e-07,9.187799768147084e-09,True,87,6,success,-1,True,False,False,-1,,akita_black_bowl_1,False,-1,False,-1,False,0.0,1.0,87,47,0.130213542197387,0.8374134548721077,0.3627127725967716,3.2669272951349035,136900.78635304965,0.5552778840065002
