head,seed,bootstrap_rows,bootstrap_unique_groups,oob_rows,train_nll,oob_nll
0,20260906,1872,85,788,-1.3396744281053543,14.140713691711426
1,20261915,1848,93,708,-1.3010483086109161,16.994129180908203
2,20262924,1912,93,692,-1.3252994120121002,12.547256469726562
3,20263933,1868,98,640,-1.2698924541473389,17.123435974121094
4,20264942,1844,101,604,-1.2481662034988403,8.343709945678711
