factor,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
Environment,310,76,0.8225806451612904,0.8129032258064516,-0.00967741935483871,-0.03164556962025317,0.010101863226863215,4,7,-3,0.035483870967741936,248,51,0.024999999999999998,-0.0346774193548387,0.548828125,298
Object,120,25,0.48333333333333334,0.5416666666666666,0.058333333333333334,-0.0423728813559322,0.14285714285714285,18,11,7,0.24166666666666667,47,44,0.025000000000000005,0.033333333333333375,0.26493089646101,120
Position,187,18,0.5882352941176471,0.5882352941176471,0.0,-0.05583756345177665,0.05625,10,10,0,0.10695187165775401,100,67,0.024999999999999994,-0.024999999999999974,1.0,182
