method,budget,states,selected,selected_rescues,selected_harms,selected_rescue_rate,selected_harm_rate,raw_success_delta,adjusted_terminal_delta
oracle,0.05,617,31,31,0,1.0,0.0,0.050243111831442464,0.048987034035656414
oracle,0.075,617,47,32,0,0.6808510638297872,0.0,0.05186385737439222,0.04995948136142627
oracle,0.1,617,62,32,0,0.5161290322580645,0.0,0.05186385737439222,0.04935170178282011
oracle,0.2,617,124,32,0,0.25806451612903225,0.0,0.05186385737439222,0.046839546191247985
deterministic_random,0.05,617,31,1,1,0.03225806451612903,0.03225806451612903,0.0,-0.0012560777957860618
deterministic_random,0.075,617,47,1,1,0.02127659574468085,0.02127659574468085,0.0,-0.0019043760129659633
deterministic_random,0.1,617,62,1,2,0.016129032258064516,0.03225806451612903,-0.0016207455429497568,-0.0041329011345218785
deterministic_random,0.2,617,124,5,3,0.04032258064516129,0.024193548387096774,0.0032414910858995136,-0.0017828200972447295
grouped_oof_ridge,0.05,617,31,1,3,0.03225806451612903,0.0967741935483871,-0.0032414910858995136,-0.004497568881685574
grouped_oof_ridge,0.075,617,47,1,4,0.02127659574468085,0.0851063829787234,-0.004862236628849271,-0.006766612641815237
grouped_oof_ridge,0.1,617,62,1,7,0.016129032258064516,0.11290322580645161,-0.009724473257698542,-0.012236628849270665
grouped_oof_ridge,0.2,617,124,5,11,0.04032258064516129,0.08870967741935484,-0.009724473257698542,-0.014748784440842787
factor_phase_oof_mean,0.05,617,31,1,6,0.03225806451612903,0.1935483870967742,-0.008103727714748784,-0.009359805510534848
factor_phase_oof_mean,0.075,617,47,2,9,0.0425531914893617,0.19148936170212766,-0.011345218800648298,-0.013249594813614266
factor_phase_oof_mean,0.1,617,62,5,10,0.08064516129032258,0.16129032258064516,-0.008103727714748784,-0.01061588330632091
factor_phase_oof_mean,0.2,617,124,11,18,0.08870967741935484,0.14516129032258066,-0.011345218800648298,-0.01636952998379254
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.05,617,31,2,0,0.06451612903225806,0.0,0.0032414910858995136,0.001985413290113453
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.075,617,47,3,1,0.06382978723404255,0.02127659574468085,0.0032414910858995136,0.0013371150729335499
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.1,617,62,3,1,0.04838709677419355,0.016129032258064516,0.0032414910858995136,0.0007293354943273906
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.2,617,124,9,7,0.07258064516129033,0.056451612903225805,0.0032414910858995136,-0.0017828200972447277
exploratory_candidate_action_consensus_chunk_mean,0.05,617,31,2,0,0.06451612903225806,0.0,0.0032414910858995136,0.001985413290113453
exploratory_candidate_action_consensus_chunk_mean,0.075,617,47,4,0,0.0851063829787234,0.0,0.006482982171799027,0.004578606158833064
exploratory_candidate_action_consensus_chunk_mean,0.1,617,62,4,0,0.06451612903225806,0.0,0.006482982171799027,0.003970826580226905
exploratory_candidate_action_consensus_chunk_mean,0.2,617,124,5,2,0.04032258064516129,0.016129032258064516,0.004862236628849271,-0.00016207455429497535
exploratory_action_std_max,0.05,617,31,2,0,0.06451612903225806,0.0,0.0032414910858995136,0.001985413290113453
exploratory_action_std_max,0.075,617,47,2,0,0.0425531914893617,0.0,0.0032414910858995136,0.001337115072933549
exploratory_action_std_max,0.1,617,62,2,0,0.03225806451612903,0.0,0.0032414910858995136,0.0007293354943273901
exploratory_action_std_max,0.2,617,124,6,3,0.04838709677419355,0.024193548387096774,0.004862236628849271,-0.00016207455429497175
exploratory_action_std_mean,0.05,617,31,2,0,0.06451612903225806,0.0,0.0032414910858995136,0.0019854132901134525
exploratory_action_std_mean,0.075,617,47,4,0,0.0851063829787234,0.0,0.006482982171799027,0.004578606158833064
exploratory_action_std_mean,0.1,617,62,4,0,0.06451612903225806,0.0,0.006482982171799027,0.003970826580226905
exploratory_action_std_mean,0.2,617,124,6,2,0.04838709677419355,0.016129032258064516,0.006482982171799027,0.001458670988654781
exploratory_action_pairwise_l2_mean,0.05,617,31,2,0,0.06451612903225806,0.0,0.0032414910858995136,0.0019854132901134525
exploratory_action_pairwise_l2_mean,0.075,617,47,4,0,0.0851063829787234,0.0,0.006482982171799027,0.004578606158833064
exploratory_action_pairwise_l2_mean,0.1,617,62,4,0,0.06451612903225806,0.0,0.006482982171799027,0.003970826580226905
exploratory_action_pairwise_l2_mean,0.2,617,124,5,2,0.04032258064516129,0.016129032258064516,0.004862236628849271,-0.00016207455429497497
exploratory_latent_action_across_seed_std_mean,0.05,617,31,1,0,0.03225806451612903,0.0,0.0016207455429497568,0.000364667747163695
exploratory_latent_action_across_seed_std_mean,0.075,617,47,2,1,0.0425531914893617,0.02127659574468085,0.0016207455429497568,-0.00028363047001620683
exploratory_latent_action_across_seed_std_mean,0.1,617,62,4,2,0.06451612903225806,0.03225806451612903,0.0032414910858995136,0.0007293354943273907
exploratory_latent_action_across_seed_std_mean,0.2,617,124,5,2,0.04032258064516129,0.016129032258064516,0.004862236628849271,-0.0001620745542949757
exploratory_future_proprio_std_mean,0.05,617,31,1,0,0.03225806451612903,0.0,0.0016207455429497568,0.000364667747163695
exploratory_future_proprio_std_mean,0.075,617,47,1,0,0.02127659574468085,0.0,0.0016207455429497568,-0.00028363047001620715
exploratory_future_proprio_std_mean,0.1,617,62,2,0,0.03225806451612903,0.0,0.0032414910858995136,0.0007293354943273903
exploratory_future_proprio_std_mean,0.2,617,124,4,1,0.03225806451612903,0.008064516129032258,0.004862236628849271,-0.00016207455429497597
