phase_at_snapshot,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
approach,198,79,0.5252525252525253,0.5151515151515151,-0.010101010101010102,-0.06667525773195876,0.04205730447614361,13,15,-2,0.1414141414141414,89,81,0.024999999999999998,-0.03510101010101008,0.8505540192127228,198
grasp,198,84,0.7424242424242424,0.7474747474747475,0.005050505050505051,-0.041030927835051544,0.05025125628140704,11,10,1,0.10606060606060606,137,40,0.024999999999999998,-0.019949494949494925,1.0,189
release,24,20,0.041666666666666664,0.125,0.08333333333333333,0.0,0.2222222222222222,2,0,2,0.08333333333333333,1,21,0.025000000000000005,0.05833333333333332,0.5,24
transport,197,86,0.868020304568528,0.883248730964467,0.015228426395939087,-0.015873015873015872,0.04950495049504951,6,3,3,0.04568527918781726,168,20,0.024999999999999994,-0.009771573604060911,0.5078125,189
