case_id,suite,task_id,init_state_id,rollout_seed,strategy_id,baseline_success,success,delta,baseline_strategy_id
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,action_l1,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,action_l1,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,action_l1,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,action_l1,False,True,1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,action_l1,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,action_l1,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,action_l1,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,horizon_only_l1_h8,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,horizon_only_l1_h8,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,horizon_only_l1_h8,False,True,1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,horizon_only_l1_h8,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,horizon_only_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,horizon_only_l1_h8,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,horizon_only_l1_h8,True,False,-1,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,requery_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,requery_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,requery_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,requery_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,requery_l1_h8,True,True,0,max_value
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,requery_l1_h8,True,False,-1,max_value
