case_id,suite,task_id,init_state_id,rollout_seed,strategy_id,baseline_success,success,delta,baseline_strategy_id
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,horizon_only_l1_h8,False,False,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,horizon_only_l1_h8,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,horizon_only_l1_h8,False,False,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,horizon_only_l1_h8,True,False,-1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,horizon_only_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,horizon_only_l1_h8,False,False,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,horizon_only_l1_h8,False,False,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,max_value,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,max_value,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,max_value,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,max_value,True,False,-1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,max_value,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,max_value,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,max_value,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,requery_l1_h8,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,requery_l1_h8,True,False,-1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,requery_l1_h8,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,requery_l1_h8,False,True,1,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,requery_l1_h8,True,True,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,requery_l1_h8,False,False,0,action_l1
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,requery_l1_h8,False,True,1,action_l1
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150000,horizon_only_l1_h8,False,True,1,action_l1
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150097,horizon_only_l1_h8,True,True,0,action_l1
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150194,horizon_only_l1_h8,True,True,0,action_l1
