cohort,arm,n,successes,sr,macro_cell_sr
replication,baseline_h16,64,17,0.265625,0.265625
replication,continue_h8,64,16,0.25,0.25
replication,physical_regrasp,64,41,0.640625,0.640625
replication,refresh_preserve_only,64,41,0.640625,0.640625
transfer,baseline_h16,64,0,0.0,0.0
transfer,continue_h8,64,0,0.0,0.0
transfer,physical_regrasp,64,1,0.015625,0.015625
transfer,refresh_preserve_only,64,1,0.015625,0.015625
