cohort,method,control,n,successes_method,successes_control,rescue,harm,difference_pp
replication,physical_regrasp,continue_h8,64,41,16,27,2,39.0625
replication,physical_regrasp,baseline_h16,64,41,17,28,4,37.5
replication,refresh_preserve_only,physical_regrasp,64,41,41,1,1,0.0
replication,continue_h8,baseline_h16,64,16,17,11,12,-1.5625
transfer,physical_regrasp,continue_h8,64,1,0,1,0,1.5625
transfer,physical_regrasp,baseline_h16,64,1,0,1,0,1.5625
transfer,refresh_preserve_only,physical_regrasp,64,1,1,0,0,0.0
transfer,continue_h8,baseline_h16,64,0,0,0,0,0.0
