cohort,subset,n,measured,median_xy_error_m,p90_xy_error_m,xy_error_over_5cm,xy_error_over_10cm
replication,all,61,61,0.02532375699900482,0.23203755558492162,14,14
replication,initial_allowed,40,40,0.011192017681284505,0.03269285920552156,0,0
replication,full_regrasp,40,40,0.011192017681284505,0.03269285920552156,0,0
transfer,all,47,47,0.23497516127416468,0.5193323967876982,46,33
transfer,initial_allowed,18,18,0.19798819323831499,0.698281424278387,18,9
transfer,full_regrasp,15,15,0.3004059292696862,0.30829445584807397,15,8
