cohort,n_cases,baseline_h8_sr,workspace_retreat_only_sr,workspace_calibrated_sr,router_sr,vs_full_delta,vs_full_rescues,vs_full_harms,vs_full_mcnemar_p,vs_full_group_ci_low,vs_full_group_ci_high,vs_full_cell_ci_low,vs_full_cell_ci_high,vs_baseline_delta,vs_baseline_rescues,vs_baseline_harms,vs_baseline_mcnemar_p,vs_baseline_group_ci_low,vs_baseline_group_ci_high,vs_baseline_cell_ci_low,vs_baseline_cell_ci_high,selected_baseline,selected_retreat,selected_full
all,75,0.4266666666666667,0.48,0.7466666666666667,0.7733333333333333,0.02666666666666667,2,0,0.5,0.0,0.06666666666666667,0.0,0.08000000000000002,0.3466666666666667,27,1,2.1606683731079102e-07,0.24,0.4666666666666667,0.17333333333333334,0.5333333333333334,21,2,52
replication,40,0.15,0.2,0.625,0.625,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.475,20,1,2.09808349609375e-05,0.3,0.65,0.17500000000000002,0.775,15,0,25
novel_cell,35,0.7428571428571429,0.8,0.8857142857142857,0.9428571428571428,0.05714285714285714,2,0,0.5,0.0,0.14285714285714285,0.0,0.17142857142857146,0.2,7,0,0.015625,0.08571428571428572,0.34285714285714286,0.05714285714285715,0.37142857142857144,6,2,27
