case_id,paired_rollouts,difficulty_gate_rate,baseline_success_rate,action_success_rate,counterfactual_gate_success_rate,counterfactual_delta_vs_baseline,actual_gate_paired_rollouts,actual_gate_success_rate,actual_gate_delta_vs_baseline
long_mug_task4_init0_adaptive_screen,12,0.4166666666666667,0.75,0.8333333333333334,0.75,0.0,12,0.8333333333333334,0.08333333333333337
milk_task5_init0_adaptive_screen,12,1.0,0.5,0.5833333333333334,0.5833333333333334,0.08333333333333337,12,0.6666666666666666,0.16666666666666663
yellow_task8_init0_adaptive_screen,12,1.0,0.25,0.4166666666666667,0.4166666666666667,0.16666666666666669,12,0.25,0.0
POOLED,36,0.8055555555555556,0.5,0.6111111111111112,0.5833333333333334,0.08333333333333337,36,0.5833333333333334,0.08333333333333337
