baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate
action_l1,requery_l1_h8,3,36,22,29,0.6111111111111112,0.8055555555555556,0.19444444444444445,0.05555555555555555,0.3333333333333333,0.08333333333333333,0.3333333333333333,8,1,27,0.0390625,13.972222222222221,14.055555555555555,1.2636463844797179,1.0059642147117296,0.409723436822895
action_l1,difficulty_requery_l1_t0.088588_h8,3,36,22,27,0.6111111111111112,0.75,0.1388888888888889,0.0,0.2777777777777778,0.0,0.3333333333333333,7,2,27,0.1796875,13.972222222222221,14.472222222222221,1.2176146384479718,1.0357852882703777,0.33070583563037126
action_l1,difficulty_requery_l1_t0.1_h8,3,36,22,26,0.6111111111111112,0.7222222222222222,0.1111111111111111,-0.027777777777777776,0.25,-0.08333333333333333,0.3333333333333333,6,2,28,0.2890625,13.972222222222221,14.63888888888889,1.1838844797178132,1.0477137176938371,0.27487567949384256
action_l1,difficulty_requery_l1_t0.2_h8,3,36,22,26,0.6111111111111112,0.7222222222222222,0.1111111111111111,-0.027777777777777776,0.25,-0.08333333333333333,0.3333333333333333,6,2,28,0.2890625,13.972222222222221,14.63888888888889,1.1838844797178132,1.0477137176938371,0.27487567949384256
action_l1,phase_l1_r0.3,3,36,22,25,0.6111111111111112,0.6944444444444444,0.08333333333333333,-0.08333333333333333,0.25,0.0,0.16666666666666666,7,4,25,0.548828125,13.972222222222221,13.527777777777779,1.0,0.9681908548707755,0.0
action_l1,margin_l1_v0.002_u0,3,36,22,24,0.6111111111111112,0.6666666666666666,0.05555555555555555,-0.08333333333333333,0.19444444444444445,0.0,0.16666666666666666,5,3,28,0.7265625,13.972222222222221,13.75,1.0,0.9840954274353877,0.0
action_l1,action_l1_replay,3,36,22,23,0.6111111111111112,0.6388888888888888,0.027777777777777776,-0.08333333333333333,0.1388888888888889,0.0,0.08333333333333333,3,2,31,1.0,13.972222222222221,14.027777777777779,1.0,1.0039761431411531,0.0
action_l1,phase_l1_r0.5,3,36,22,22,0.6111111111111112,0.6111111111111112,0.0,-0.1388888888888889,0.1388888888888889,0.0,0.0,3,3,30,1.0,13.972222222222221,14.055555555555555,1.0,1.0059642147117296,0.0
action_l1,difficulty_l1_t0.2,3,36,22,22,0.6111111111111112,0.6111111111111112,0.0,-0.1388888888888889,0.1388888888888889,-0.08333333333333333,0.08333333333333333,3,3,30,1.0,13.972222222222221,14.527777777777779,1.0,1.0397614314115309,0.0
action_l1,action_l2,3,36,22,22,0.6111111111111112,0.6111111111111112,0.0,-0.2222222222222222,0.25,-0.16666666666666666,0.08333333333333333,10,10,16,1.0,13.972222222222221,14.527777777777779,1.0,1.0397614314115309,0.0
action_l1,requery_l1_h4,3,36,22,22,0.6111111111111112,0.6111111111111112,0.0,-0.1388888888888889,0.1388888888888889,-0.16666666666666666,0.08333333333333333,4,4,28,1.0,13.972222222222221,18.666666666666668,1.4510556573056574,1.3359840954274356,0.3961419985000012
action_l1,difficulty_requery_l1_t0.088588_h12,3,36,22,22,0.6111111111111112,0.6111111111111112,0.0,-0.16666666666666666,0.16666666666666666,-0.3333333333333333,0.16666666666666666,6,6,24,1.0,13.972222222222221,13.777777777777779,1.0896164021164019,0.9860834990059644,0.33587962962962964
