source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630000,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630097,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630194,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,227,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630291,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630388,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,227,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630485,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630582,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,230,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630679,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,226,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630776,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630873,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630970,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,229,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.1,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,631067,difficulty_gated_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630000,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630097,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630194,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,227,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630291,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630388,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,227,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630485,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630582,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,230,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630679,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,226,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630776,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630873,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630970,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,True,229,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_01__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.1_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,631067,difficulty_gated_requery_action,1.0,0.1,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630000,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630097,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630194,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,227,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630291,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630388,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,227,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630485,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630582,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,230,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630679,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,226,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630776,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630873,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630970,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,229,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_action__l1p0,difficulty_l1_t0.2,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,631067,difficulty_gated_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.2_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630000,difficulty_gated_requery_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,False,520,33,target_drop_candidate,True,False,33,0.0,0.0,0.0,16.0,33.0,1.0
adaptive_regime_threshold_20260813/adaptive_regime_threshold_20260813__long_mug_threshold_02__libero_10_with_mug__task4__init0__difficulty_gated_requery_action__l1p0,difficulty_requery_l1_t0.2_h8,long_mug_task4_init0_adaptive_screen,libero_10_with_mug,4,0,630097,difficulty_gated_requery_action,1.0,0.2,0.002,0.0,0.5,8.0,calibration,16,True,228,15,success,True,False,15,0.0,0.0,0.0,16.0,15.0,1.0
