case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_selected_open_loop_steps
long_mug_task4_init0_adaptive_screen,max_value,action_l0.5,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,17.916666666666668,1.0,0.9188034188034189,0.20652958152958148,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,action_l1,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,18.0,1.0,0.9230769230769231,0.4474747474747474,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,action_l1_replay,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,18.0,1.0,0.9230769230769231,0.4474747474747474,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,action_l2,12,9,8,0.75,0.6666666666666666,-0.08333333333333333,2,3,7,1.0,19.5,21.0,1.0,1.0769230769230769,0.601010101010101,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,consensus_l0.5,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,18.0,1.0,0.9230769230769231,0.21666666666666665,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,consensus_l1,12,9,10,0.75,0.8333333333333334,0.08333333333333333,2,1,9,1.0,19.5,18.0,1.0,0.9230769230769231,0.3767676767676767,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,consensus_l2,12,9,9,0.75,0.75,0.0,1,1,10,1.0,19.5,19.416666666666668,1.0,0.9957264957264957,0.5114718614718615,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,difficulty_l1_t0.088588,12,9,10,0.75,0.8333333333333334,0.08333333333333333,2,1,9,1.0,19.5,18.0,1.0,0.9230769230769231,0.19545454545454546,0.4166666666666667,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,difficulty_l1_t0.1,12,9,9,0.75,0.75,0.0,0,0,12,1.0,19.5,19.5,1.0,1.0,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,difficulty_l1_t0.2,12,9,9,0.75,0.75,0.0,0,0,12,1.0,19.5,19.5,1.0,1.0,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,difficulty_requery_l1_t0.088588_h12,12,9,12,0.75,1.0,0.25,3,0,9,0.25,19.5,15.25,1.0476190476190474,0.782051282051282,0.21319444444444446,0.4166666666666667,0.21319444444444446,15.14722222222222
long_mug_task4_init0_adaptive_screen,max_value,difficulty_requery_l1_t0.088588_h4,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,20.0,1.1822344322344323,1.0256410256410255,0.17054154995331464,0.4166666666666667,0.17054154995331464,13.953501400560226
long_mug_task4_init0_adaptive_screen,max_value,difficulty_requery_l1_t0.088588_h8,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,19.0,1.101190476190476,0.9743589743589743,0.16749046840958606,0.4166666666666667,0.16749046840958606,14.660076252723314
long_mug_task4_init0_adaptive_screen,max_value,difficulty_requery_l1_t0.1_h8,12,9,9,0.75,0.75,0.0,0,0,12,1.0,19.5,19.5,1.0,1.0,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,difficulty_requery_l1_t0.2_h8,12,9,9,0.75,0.75,0.0,0,0,12,1.0,19.5,19.5,1.0,1.0,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,margin_l1_v0.0005_u0,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,18.0,1.0,0.9230769230769231,0.21565656565656566,0.21565656565656563,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,margin_l1_v0.002_u0,12,9,10,0.75,0.8333333333333334,0.08333333333333333,1,0,11,1.0,19.5,18.0,1.0,0.9230769230769231,0.4186868686868686,0.4186868686868686,0.0,16.0
long_mug_task4_init0_adaptive_screen,max_value,max_value_replay,12,9,9,0.75,0.75,0.0,0,0,12,1.0,19.5,19.5,1.0,1.0,0.0,0.0,0.0,16.0
