object_name,rows,mode,median_world_xy_l2,p90_world_xy_l2,median_world_z_abs,p90_world_z_abs,z_gate_eligible,selected,used_z_gate_fallback
butter,60,neural_global,0.0164946200877952,0.04133061887636873,0.00413143355399365,0.009672036580741335,True,True,False
butter,60,neural_local,0.0093381591878759,0.1758151419622828,0.0086954776197671,0.13321101572364563,False,False,False
butter,60,object_median,0.015601091832472502,0.20685469215468957,0.0,0.010434882156551029,True,False,False
butter,60,stacked_ridge,0.03389569468837158,0.04844056240512854,0.012410860508680344,0.02015984486788515,True,False,False
chocolate pudding,74,neural_global,0.02622517512944765,0.03682944053355414,0.0059484746307134,0.01229195706546304,True,False,False
chocolate pudding,74,neural_local,0.0106960346808269,0.4706225649978806,0.0130654778331518,0.28626083470880986,False,False,False
chocolate pudding,74,object_median,0.0176270888854681,0.0176270888854681,0.0,0.0,True,True,False
chocolate pudding,74,stacked_ridge,0.02047098873242934,0.02332690284469547,0.002040678635239601,0.004043081402778625,True,False,False
cream cheese,14,neural_global,0.01362538499338545,0.01972161907561675,0.004387465305626351,0.00526412334293121,True,False,False
cream cheese,14,neural_local,0.02138998359197285,0.0475237553369028,0.011114053428173051,0.03063604775816197,True,False,False
cream cheese,14,object_median,0.014238802991532549,0.01794258023824757,0.0,0.0,True,True,False
cream cheese,14,stacked_ridge,0.014799160542772647,0.018426175203311843,0.004688355140388012,0.007598426379263401,True,False,False
ketchup,38,neural_global,0.131058162730925,0.19000471216954115,0.051235683262348106,0.07704558968544001,False,False,True
ketchup,38,neural_local,0.050248665761964795,0.16833163513964208,0.02621631324291225,0.17778252363204955,False,False,True
ketchup,38,object_median,0.020054708798709547,0.10406263595033352,0.0120482742786407,0.1335069462656974,False,True,True
ketchup,38,stacked_ridge,0.04279197004932621,0.1439147364849253,0.02010023221373558,0.06393588334321977,False,False,True
milk,38,neural_global,0.011968322513115099,0.047573393914336376,0.0026885569095611,0.02700962051749224,True,False,False
milk,38,neural_local,0.12043873398131685,0.1279023538725003,0.06652763648889956,0.06973547488451,False,False,False
milk,38,object_median,0.0070762205372886505,0.010597366119693611,0.0,0.0,True,True,False
milk,38,stacked_ridge,0.009451318817848199,0.048215347326839,0.0007552541792392731,0.02970663458108902,True,False,False
orange juice,56,neural_global,0.0100065134852311,0.05787292028250955,0.007618192583322501,0.0257019698619842,True,False,False
orange juice,56,neural_local,0.03638763014358665,0.1389185606864396,0.023528251796960803,0.10173568129539486,False,False,False
orange juice,56,object_median,0.013375759848465951,0.5582059516503514,0.0,0.2110112532973289,False,False,False
orange juice,56,stacked_ridge,0.014368507537243995,0.03000739644625597,0.006282135844230652,0.012947585433721542,True,True,False
salad dressing,32,neural_global,0.025463971987071753,0.11235306973364445,0.01044699177145955,0.034991572797298386,True,True,False
salad dressing,32,neural_local,0.07436224504807405,0.32348345336086554,0.03499907255172725,0.12389645874500273,False,False,False
salad dressing,32,object_median,0.01725437413807035,0.5436131189919391,0.00320962816476815,0.20490899384021755,False,False,False
salad dressing,32,stacked_ridge,0.027957636471835887,0.2506796881238676,0.012440532445907593,0.08647995442152027,False,False,False
tomato sauce,76,neural_global,0.01036613260160305,0.03213522426816555,0.00574486143887035,0.010642250999808249,True,False,False
tomato sauce,76,neural_local,0.03759641934091105,0.0628101467922244,0.020492606796324198,0.0383925959467887,True,False,False
tomato sauce,76,object_median,0.0111920182222227,0.025323755742023,0.0,0.0,True,True,False
tomato sauce,76,stacked_ridge,0.014129470150517881,0.035734651248510926,0.005909092724323273,0.013898633420467377,True,False,False
