mode,median_world_xy_l2,p90_world_xy_l2,median_world_z_abs,p90_world_z_abs
neural_global,0.02014330682440965,0.09199409764713476,0.0061925007030367,0.03319291919469828
neural_local,0.03742533347108095,0.17107116307722325,0.02077535632997745,0.12653709501028068
object_median,0.0154510414332553,0.1644119027671053,0.0,0.12947012782096867
stacked_ridge,0.02026151789412419,0.05289101189669218,0.005860228091478348,0.02695697918534279
object_routed,0.0163947168122418,0.033336515723234005,0.0,0.016200839728116978
