alpha,median_world_xy_l2,p90_world_xy_l2,median_world_z_abs,p90_world_z_abs
100.0,0.02026151789412419,0.05289101189669218,0.005860228091478348,0.02695697918534279
0.01,0.017702922538240535,0.05699610189048419,0.009853308089077473,0.021517268754541876
0.1,0.016447579076040976,0.07212189850220548,0.008921477012336254,0.02883244175463915
1.0,0.017423765054886506,0.07778345207416426,0.008695477619767189,0.03491578251123428
10.0,0.02119831198510079,0.07959160914544039,0.008249771781265736,0.03172671794891358
