object_name,rows,median_pixel_l2,p90_pixel_l2,median_world_xy_l2,p90_world_xy_l2,median_world_z_abs
butter,60,2.23606797749979,4.524922359499622,0.0164946200877952,0.04133061887636873,0.00413143355399365
chocolate pudding,74,2.8284271247461903,2.8284271247461903,0.0176270888854681,0.0176270888854681,0.0
cream cheese,14,4.123105625617661,5.0693136595149495,0.014238802991532549,0.01794258023824757,0.0
ketchup,38,3.0,36.3115712498412,0.020054708798709547,0.10406263595033352,0.0120482742786407
milk,38,2.0,2.4652475842498562,0.0070762205372886505,0.010597366119693611,0.0
orange juice,56,2.8284271247461903,3.3839144678161843,0.014368507537243995,0.03000739644625597,0.006282135844230652
salad dressing,32,2.23606797749979,4.449186428211551,0.025463971987071753,0.11235306973364445,0.01044699177145955
tomato sauce,76,2.23606797749979,3.3839144678161843,0.0111920182222227,0.025323755742023,0.0
