metric,aggregation,n,success_mean,fail_mean,failure_auc,failure_auc_strength
candidate_value_std,first,20,0.0005806409661255947,0.004091151660153021,0.9494949494949495,0.4494949494949495
candidate_value_range,first,20,0.001512432640249079,0.010115077098210653,0.9393939393939394,0.43939393939393945
candidate_future_proprio_internal_consistency_mean,mean,20,0.007768315825152655,0.008105114136107157,0.8686868686868687,0.36868686868686873
candidate_value_internal_consistency_mean,mean,20,0.0072646132890284345,0.007988639738284736,0.8585858585858586,0.35858585858585856
candidate_value_internal_consistency_mean,max,20,0.008124173915183002,0.010891121449983783,0.8181818181818182,0.31818181818181823
candidate_action_chunk_consistency_mean,max,20,0.008948875760490244,0.0097335713605086,0.7878787878787878,0.28787878787878785
candidate_future_proprio_internal_consistency_mean,max,20,0.008796178058467129,0.009884541336860921,0.7777777777777778,0.2777777777777778
candidate_action_internal_consistency_mean,mean,20,0.02198391956503578,0.022608650722293462,0.7777777777777778,0.2777777777777778
candidate_future_proprio_internal_consistency_mean,first,20,0.008429945700547913,0.009434116486873891,0.7777777777777778,0.2777777777777778
planning_predicted_proprio_error,max,20,0.11067104711953059,0.15507408736895645,0.7676767676767676,0.2676767676767676
planning_predicted_proprio_error,first,20,0.0533529042819414,0.09889325712793057,0.7676767676767676,0.2676767676767676
candidate_future_proprio_across_sample_std_mean,mean,20,0.0019058692927001728,0.002793701765873213,0.7575757575757576,0.25757575757575757
candidate_action_chunk_consistency_mean,mean,20,0.00801342515188659,0.008264503437251861,0.7474747474747475,0.24747474747474751
candidate_value_internal_consistency_mean,first,20,0.006990383506159891,0.008508319397353463,0.7474747474747475,0.24747474747474751
candidate_value_range,mean,20,0.0030233347762308144,0.004962338629552133,0.7474747474747475,0.24747474747474751
candidate_value_std,max,20,0.006459073142402552,0.013608539968522059,0.7474747474747475,0.24747474747474751
candidate_value_std,mean,20,0.0011743843120157005,0.0019283935978529512,0.7474747474747475,0.24747474747474751
candidate_future_proprio_across_sample_std_mean,first,20,0.0017749844753945415,0.0053459286379317445,0.7373737373737373,0.23737373737373735
candidate_value_range,max,20,0.01675808158787814,0.035438295867708,0.7373737373737373,0.23737373737373735
candidate_future_proprio_across_sample_std_mean,max,20,0.007777003248603168,0.016577864324467048,0.7171717171717171,0.21717171717171713
planning_predicted_proprio_error,mean,20,0.058914270267179554,0.06988311638759358,0.696969696969697,0.19696969696969702
candidate_action_consensus_first_mean,first,20,0.023393732410940258,0.03513275169663959,0.6868686868686869,0.18686868686868685
candidate_action_internal_consistency_mean,first,20,0.022481339052319527,0.02451506381233533,0.6767676767676768,0.1767676767676768
candidate_action_consensus_chunk_mean,mean,20,0.22476686897849368,0.30983666396713344,0.6767676767676768,0.1767676767676768
candidate_value_mean,max,20,0.9876721013676036,0.8159898916880289,0.3333333333333333,0.16666666666666669
candidate_action_consensus_chunk_mean,max,20,1.0414669005708261,1.5179494271675746,0.6666666666666666,0.16666666666666663
candidate_action_consensus_first_mean,max,20,0.4270445431836627,0.8522102265722222,0.6666666666666666,0.16666666666666663
candidate_action_internal_consistency_mean,max,20,0.027192371812733738,0.028650281329949696,0.6565656565656566,0.15656565656565657
candidate_value_mean,first,20,0.4515174220908772,0.48713120487001205,0.6262626262626263,0.1262626262626263
candidate_action_consensus_first_mean,mean,20,0.05814505562273106,0.06005796534571671,0.6060606060606061,0.10606060606060608
candidate_action_chunk_consistency_mean,first,20,0.008183942896059969,0.008479102825125059,0.5757575757575758,0.0757575757575758
candidate_action_consensus_chunk_mean,first,20,0.1891611601141366,0.09728083138664563,0.5757575757575758,0.0757575757575758
candidate_value_mean,mean,20,0.667935785884508,0.6362896338465133,0.4444444444444444,0.05555555555555558
