row_uid,snapshot_id,source_run,position_level,suite,task_id,init_state_id,rollout_id,rollout_seed,query_idx,snapshot_t,phase_at_snapshot,task_description,independent_group,source_commit_success,source_feedback_success,source_feedback_drop,source_feedback_wrong,source_feedback_safety,source_feedback_failure_type,source_feedback_final_t,proposal,proposal_deployable,proposal_execution_horizon,proposal_primitive,strict_replay,feedback_endpoint_replay_max_abs,common_prefix_steps,primitive_steps,continuation_queries,branch_executed_steps,video_num_frames,video_path,branch_started_at,branch_finished_at,perception_localization_used,perception_object,perception_pixel_row,perception_pixel_col,perception_world_x,perception_world_y,perception_world_z,perception_peak_probability,perception_entropy,perception_score_range,perception_confidence_pass,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init11__rollout1__query4,libero_object_temp__task4__init11__rollout1__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14,y0.2,libero_object_temp,4,11,1,30201261,4,64,approach,pick the ketchup and place it in the basket,y0.2|task4|init11,False,False,False,True,False,wrong_object_interaction_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:17:12+00:00,2026-09-04T13:18:12+00:00,True,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1338300695872952,0.28231562751208567,36.18297815322876,True,True,False,280,23,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.5072739033474667,0.2551154729215598,7.320396566500353,126325648.40996598,0.0
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init12__rollout0__query4,libero_object_temp__task4__init12__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14,y0.2,libero_object_temp,4,12,0,30201358,4,64,approach,pick the ketchup and place it in the basket,y0.2|task4|init12,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:18:18+00:00,2026-09-04T13:19:18+00:00,True,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1135520976666521,0.291217357267795,32.728864669799805,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,275,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,True,275,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.530506273228613,0.2898462866422573,6.959360106008439,107937737.87217633,-0.5
invariant_cate_reserve_holdout_20260903__position_y0p2_task6_init5_14|libero_object_temp__task6__init11__rollout0__query4,libero_object_temp__task6__init11__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task6_init5_14,y0.2,libero_object_temp,6,11,0,30401164,4,64,approach,pick the butter and place it in the basket,y0.2|task6|init11,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,12,122,0,,2026-09-04T13:16:13+00:00,2026-09-04T13:16:48+00:00,True,butter,131.0,100.0,-0.09135100580312727,-0.10610848742215218,0.02113906666636467,0.09546128608974457,0.35080806306227963,36.78931665420532,True,True,True,186,12,1.0,False,False,False,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,186,126,0.22009468188444345,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.0362271433823924,0.5606223084742153,9.234936917856345,14021423.962052034,3.0
invariant_cate_reserve_holdout_20260903__position_y0p2_task6_init15_24|libero_object_temp__task6__init17__rollout1__query4,libero_object_temp__task6__init17__rollout1__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task6_init15_24,y0.2,libero_object_temp,6,17,1,30402425,4,64,approach,pick the butter and place it in the basket,y0.2|task6|init17,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,11,121,0,,2026-09-04T13:16:54+00:00,2026-09-04T13:17:25+00:00,True,butter,131.0,100.0,-0.09489500719320054,-0.10648913290628659,0.018883150070905685,0.10021487290219147,0.34868050858203775,36.39247941970825,True,True,True,185,11,1.0,False,False,False,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,185,125,0.22692248632845885,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.0491763297008259,0.558609603195902,9.147972287302593,12679163.687032038,3.0
invariant_cate_reserve_holdout_20260903__position_y0p2_task9_init5_14|libero_object_temp__task9__init10__rollout0__query4,libero_object_temp__task9__init10__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task9_init5_14,y0.2,libero_object_temp,9,10,0,30900970,4,64,approach,pick the orange juice and place it in the basket,y0.2|task9|init10,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,9,101,0,,2026-09-04T13:17:18+00:00,2026-09-04T13:17:45+00:00,True,orange juice,140.0,140.0,0.040826109703634206,0.04012175336920999,0.06960618495941162,0.1873763586318667,0.24987569793842843,60.7596378326416,True,True,True,165,9,1.0,False,False,False,success,success,-1,True,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,165,126,0.15304710540347263,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[1],0.8412345589010108,0.37543436390401225,12.256483300674606,12932760.176541511,3.0
invariant_cate_reserve_holdout_20260903__position_y0p2_task9_init5_14|libero_object_temp__task9__init11__rollout0__query4,libero_object_temp__task9__init11__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task9_init5_14,y0.2,libero_object_temp,9,11,0,30901164,4,64,approach,pick the orange juice and place it in the basket,y0.2|task9|init11,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:17:53+00:00,2026-09-04T13:18:54+00:00,True,orange juice,140.0,140.0,0.04175627436719487,0.040078143323053705,0.07023704797029495,0.18874639011988886,0.2505419638439267,60.55783462524414,True,True,False,280,23,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,126,0.14050411015439013,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],0.8030419361206599,0.3877265573348725,7.467927402928543,667583543.9426411,0.0
invariant_cate_reserve_holdout_20260903__position_y0p3_task1_init5_14|libero_object_temp__task1__init12__rollout1__query4,libero_object_temp__task1__init12__rollout1__query4,invariant_cate_reserve_holdout_20260903__position_y0p3_task1_init5_14,y0.3,libero_object_temp,1,12,1,30001455,4,64,approach,pick the cream cheese and place it in the basket,y0.3|task1|init12,False,False,False,True,False,wrong_object_interaction_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,14,143,0,,2026-09-04T13:20:08+00:00,2026-09-04T13:20:49+00:00,True,cream cheese,156.0,163.0,0.048911956512219024,0.11988081768848004,0.008921477012336365,0.13191000100697758,0.29534656684607935,29.754948645830154,True,True,True,207,14,1.0,False,False,False,success,success,-1,True,False,False,-1,,cream_cheese_1,cream_cheese_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,207,171,0.18535728551975358,"[[""in"", ""cream_cheese_1"", ""basket_1_contain_region""]]",[1],0.9365364295843629,0.4137657268600177,9.31176088853276,35093129.91284137,3.0
invariant_cate_reserve_holdout_20260903__position_y0p3_task1_init5_14|libero_object_temp__task1__init14__rollout0__query4,libero_object_temp__task1__init14__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_y0p3_task1_init5_14,y0.3,libero_object_temp,1,14,0,30001746,4,64,approach,pick the cream cheese and place it in the basket,y0.3|task1|init14,False,False,False,True,False,wrong_object_interaction_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,8,97,0,,2026-09-04T13:20:55+00:00,2026-09-04T13:21:18+00:00,True,cream cheese,156.0,163.0,0.048911956512219024,0.11988081768848004,0.008921477012336365,0.1391295037909064,0.28999120074148527,32.36589574813843,True,True,True,161,8,1.0,False,False,False,success,success,-1,True,False,False,-1,,cream_cheese_1,cream_cheese_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,161,128,0.20135968187736275,"[[""in"", ""cream_cheese_1"", ""basket_1_contain_region""]]",[1],0.7677705959561675,0.4062134979599965,12.99493743147065,9770825.464513512,3.0
signed_vof_new_task_holdout_20260903__position_y0p3_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,libero_object_temp__task5__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_y0p3_task5_init5_14,y0.3,libero_object_temp,5,11,0,20301164,4,64,approach,pick the tomato sauce and place it in the basket,y0.3|task5|init11,False,False,False,True,False,wrong_object_interaction_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,10,112,0,,2026-09-04T13:18:16+00:00,2026-09-04T13:18:46+00:00,True,tomato sauce,148.0,163.0,0.04309379533422919,0.1186751227776908,0.03839259594678879,0.06789795459791291,0.35922183856454226,37.178728103637695,True,True,True,176,10,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,176,142,0.15675753658389313,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],0.7584565200773902,0.40365310247035285,9.560364561511415,12855958.501314957,3.0
signed_vof_new_task_holdout_20260903__position_y0p3_task5_init5_14|libero_object_temp__task5__init12__rollout0__query4,libero_object_temp__task5__init12__rollout0__query4,signed_vof_new_task_holdout_20260903__position_y0p3_task5_init5_14,y0.3,libero_object_temp,5,12,0,20301358,4,64,approach,pick the tomato sauce and place it in the basket,y0.3|task5|init12,False,False,False,True,False,wrong_object_interaction_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:18:52+00:00,2026-09-04T13:19:55+00:00,True,tomato sauce,148.0,163.0,0.04309379533422919,0.1186751227776908,0.03839259594678879,0.06975559740463921,0.3594989090155025,36.60804462432861,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,183,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,True,183,False,0.0,0.0,-1,152,0.1553018091592917,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],0.8550845075842213,0.4672842137953266,9.301125779762506,413507923.88079673,-0.5
