proposal,metric,n,successes,failures,success_mean,fail_mean,pooled_failure_auc,same_cell_failure_auc,comparable_cells,comparable_pairs,pooled_auc_strength
perception_regrasp_h8,candidate_value_std,20,11,9,0.0009714232027446004,0.005306136529220061,0.8686868686868687,0.5,3,4,0.36868686868686873
perception_regrasp_h8,candidate_value_range,20,11,9,0.0024365024133162065,0.013859881295098199,0.8686868686868687,0.5,3,4,0.36868686868686873
perception_regrasp_h8,candidate_value_internal_consistency_mean,20,11,9,0.007471494884653525,0.008431182553370794,0.797979797979798,0.75,3,4,0.297979797979798
perception_regrasp_h8,candidate_value_mean,20,11,9,0.3643509474667636,0.41168975830078125,0.7373737373737373,0.75,3,4,0.23737373737373735
perception_regrasp_h8,candidate_future_proprio_internal_consistency_mean,20,11,9,0.008457954041659832,0.0088319498528209,0.6868686868686869,0.25,3,4,0.18686868686868685
perception_regrasp_h8,candidate_action_consensus_first_mean,20,11,9,0.019802325320514767,0.022904554588927165,0.6868686868686869,0.75,3,4,0.18686868686868685
perception_regrasp_h8,planning_predicted_proprio_error,20,11,9,0.05939909846072445,0.07295034216116641,0.6868686868686869,0.75,3,4,0.18686868686868685
perception_regrasp_h8,candidate_future_proprio_across_sample_std_mean,20,11,9,0.004135220470330255,0.00603689069652723,0.4444444444444444,0.5,3,4,0.05555555555555558
perception_regrasp_h8,candidate_action_chunk_consistency_mean,20,11,9,0.00869552723386071,0.008638306934800413,0.45454545454545453,0.25,3,4,0.04545454545454547
perception_regrasp_h8,candidate_action_consensus_chunk_mean,20,11,9,0.5784195692024447,0.38344596326351166,0.46464646464646464,0.5,3,4,0.03535353535353536
perception_regrasp_h8,candidate_action_internal_consistency_mean,20,11,9,0.023490920832211323,0.023424885132246547,0.494949494949495,1.0,3,4,0.0050505050505050275
