factor,arm,pairs,rescues,harms,delta_pp
Environment,h8_at72,50,1,0,2.0
Environment,p3_at72,50,1,0,2.0
Environment,p3_event,50,0,0,0.0
Object,h8_at72,50,1,0,2.0
Object,p3_at72,50,1,3,-4.0
Object,p3_event,50,0,0,0.0
Position,h8_at72,99,3,3,0.0
Position,p3_at72,99,7,3,4.040404040404041
Position,p3_event,99,0,0,0.0
