arm,successes,queries_mean,candidates_mean,interventions,episode_drop_proxy
first_k1,97,13.793969849246231,13.793969849246231,0,1
h8_at72,95,23.015075376884422,92.06030150753769,0,4
max_value_h16,93,13.859296482412061,55.437185929648244,0,4
p3_at72,96,22.99497487437186,91.97989949748744,33,11
p3_event,93,13.859296482412061,55.437185929648244,0,4
