cohort,arm,n,successes,sr,macro_cell_sr
replication,baseline_h16,61,16,0.26229508196721313,0.2611607142857143
replication,continue_h8,61,16,0.26229508196721313,0.25669642857142855
replication,physical_regrasp,61,40,0.6557377049180327,0.6495535714285714
replication,refresh_preserve_only,61,40,0.6557377049180327,0.6473214285714286
transfer,baseline_h16,47,0,0.0,0.0
transfer,continue_h8,47,0,0.0,0.0
transfer,physical_regrasp,47,1,0.02127659574468085,0.020833333333333332
transfer,refresh_preserve_only,47,1,0.02127659574468085,0.020833333333333332
