case_id,split,suite,position_level,task_id,init_state_id,rollout_id,rollout_seed,independent_group,task_description,strategy,prefix_state_sha256,snapshot_replay_max_abs,primitive_steps,intervention_applied,counterfactual_reused,video_path,trigger_localization_object,trigger_localization_pixel_row,trigger_localization_pixel_col,trigger_localization_world_x,trigger_localization_world_y,trigger_localization_world_z,trigger_localization_peak_probability,trigger_localization_entropy,trigger_localization_score_range,trigger_passed,trigger_mode,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1,trigger_finite_pass,trigger_confidence_pass,trigger_workspace_pass,trigger_miss_distance_pass,trigger_reach_pass,trigger_estimated_target_eef_distance_m,trigger_score_threshold,perception_localization_used,perception_object,perception_pixel_row,perception_pixel_col,perception_world_x,perception_world_y,perception_world_z,perception_peak_probability,perception_entropy,perception_score_range,perception_confidence_pass,perception_guard_mode,perception_guard_passed,perception_guard_finite_pass,perception_guard_confidence_pass,perception_guard_workspace_pass,perception_guard_miss_distance_pass,perception_guard_reach_pass,perception_guard_estimated_target_eef_distance_m,perception_guard_score_threshold,perception_guard_pass
p3c_screen__y0p2__task4__init26__rollout0,screen,libero_object_temp,y0.2,4,26,0,42495526,y0.2|task4|init26,pick up the ketchup and place it in the basket,baseline_h8,c0247529cdacf763cd44aa8099a997b8eaa3b09bfed1dc7b61e7315e54a5e344,0.0,0,0,0,,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1828473320704022,0.2690713882107314,37.5961127281189,0,baseline,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,4.065318068291468e-09,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.7061425884862031,0.3585558316568037,4.629414008733639,164045318.1828654,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task4__init26__rollout0,screen,libero_object_temp,y0.2,4,26,0,42495526,y0.2|task4|init26,pick up the ketchup and place it in the basket,workspace_calibrated,c0247529cdacf763cd44aa8099a997b8eaa3b09bfed1dc7b61e7315e54a5e344,0.0,0,0,1,,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1828473320704022,0.2690713882107314,37.5961127281189,0,workspace_calibrated,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,4.065318068291468e-09,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.7061425884862031,0.3585558316568037,4.629414008733639,164045318.1828654,0.0,True,True,False,True,True,0.35132315120591434,7.541533684730529,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task4__init26__rollout0,screen,libero_object_temp,y0.2,4,26,0,42495526,y0.2|task4|init26,pick up the ketchup and place it in the basket,global_conservative,c0247529cdacf763cd44aa8099a997b8eaa3b09bfed1dc7b61e7315e54a5e344,0.0,0,0,1,,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1828473320704022,0.2690713882107314,37.5961127281189,0,global_conservative,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,4.065318068291468e-09,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.7061425884862031,0.3585558316568037,4.629414008733639,164045318.1828654,0.0,True,False,False,True,True,0.35132315120591434,39.579209327697754,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task4__init26__rollout1,screen,libero_object_temp,y0.2,4,26,1,47044038,y0.2|task4|init26,pick up the ketchup and place it in the basket,baseline_h8,ce9b61447eaebaa225fed9fd41f369b2c4b709add383be7f4e5e7d1e78f0ca5a,0.0,0,0,0,,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1853467745061001,0.26773860107933073,37.81085443496704,0,baseline,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,4.065318040535892e-09,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.716279485729074,0.35303968704139405,4.770962710100066,173189208.0386413,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task4__init26__rollout1,screen,libero_object_temp,y0.2,4,26,1,47044038,y0.2|task4|init26,pick up the ketchup and place it in the basket,workspace_calibrated,ce9b61447eaebaa225fed9fd41f369b2c4b709add383be7f4e5e7d1e78f0ca5a,0.0,0,0,1,,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1853467745061001,0.26773860107933073,37.81085443496704,0,workspace_calibrated,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,4.065318040535892e-09,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.716279485729074,0.35303968704139405,4.770962710100066,173189208.0386413,0.0,True,True,False,True,True,0.356249499305555,7.541533684730529,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task4__init26__rollout1,screen,libero_object_temp,y0.2,4,26,1,47044038,y0.2|task4|init26,pick up the ketchup and place it in the basket,global_conservative,ce9b61447eaebaa225fed9fd41f369b2c4b709add383be7f4e5e7d1e78f0ca5a,0.0,0,0,1,,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.1853467745061001,0.26773860107933073,37.81085443496704,0,global_conservative,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,4.065318040535892e-09,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.716279485729074,0.35303968704139405,4.770962710100066,173189208.0386413,0.0,True,False,False,True,True,0.356249499305555,39.579209327697754,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task6__init25__rollout0,screen,libero_object_temp,y0.2,6,25,0,49178531,y0.2|task6|init25,pick up the butter and place it in the basket,baseline_h8,d10f16713e4a6f8a4a0e18ba7c61fcf3653f8208ff6c575d165b7d1018820a9a,0.0,0,0,0,,butter,131.0,100.0,-0.08783254410812757,-0.10573058504348695,0.023378726094961166,0.09673322740961571,0.3506818571326635,35.37621736526489,0,baseline,True,1,245,22,1.0,0,0,0,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,245,173,0.23847297932511255,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.886586630267898,0.3189414742053953,6.296936895075163,128689664.61723365,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task6__init25__rollout0,screen,libero_object_temp,y0.2,6,25,0,49178531,y0.2|task6|init25,pick up the butter and place it in the basket,workspace_calibrated,d10f16713e4a6f8a4a0e18ba7c61fcf3653f8208ff6c575d165b7d1018820a9a,0.0,25,1,0,,butter,131.0,100.0,-0.08783254410812757,-0.10573058504348695,0.023378726094961166,0.09673322740961571,0.3506818571326635,35.37621736526489,1,workspace_calibrated,True,1,187,12,1.0,0,0,0,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,187,126,0.2247686489254887,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.5731920072855874,0.30355021878541316,7.42730383929884,59270533.060651965,3.0,True,True,True,True,True,0.1643484657571924,15.786628246307373,True,butter,131.0,100.0,-0.09280356718189509,-0.10626450060284807,0.020214445888996124,0.10021544344275382,0.34672885238647616,37.61879301071167,True,workspace_calibrated,True,True,True,True,True,True,0.177150701302862,15.786628246307373,True
p3c_screen__y0p2__task6__init25__rollout0,screen,libero_object_temp,y0.2,6,25,0,49178531,y0.2|task6|init25,pick up the butter and place it in the basket,global_conservative,d10f16713e4a6f8a4a0e18ba7c61fcf3653f8208ff6c575d165b7d1018820a9a,0.0,0,0,1,,butter,131.0,100.0,-0.08783254410812757,-0.10573058504348695,0.023378726094961166,0.09673322740961571,0.3506818571326635,35.37621736526489,0,global_conservative,True,1,245,22,1.0,0,0,0,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,245,173,0.23847297932511255,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.886586630267898,0.3189414742053953,6.296936895075163,128689664.61723365,3.0,True,False,True,True,True,0.1643484657571924,39.579209327697754,,,,,,,,,,,,,,,,,,,,,
p3c_screen__y0p2__task6__init25__rollout1,screen,libero_object_temp,y0.2,6,25,1,48493720,y0.2|task6|init25,pick up the butter and place it in the basket,baseline_h8,d67b2eaa2577a05cda9dc429e01ddae52f7a69cc62557f7d9755215a7358727a,0.0,0,0,0,,butter,131.0,100.0,-0.0889989543891363,-0.10585586400284559,0.022636253386735916,0.09111954978646053,0.355010389238641,34.40505886077881,0,baseline,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,8.595554823465079e-15,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[0],1.9825334299521198,0.250002310164196,7.576960326324554,426840048.0735689,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
