job_id,arm,boundary,cell,init_state_id,t,terminal_success,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,0,False,4.0,0.005517632234841585,0.05151228979229927,0.017392072826623917,0.011215850710868835,0.001348423771560192,0.0009306061547249556,0.03647284954786301,0.29846200346946716,0.0016324669122695923,0.0040153563022613525,0.0017178473062813282,0.007637580391019583,1.205361247062683,4.076763153076172,51.2365837097168,5.422739028930664,25.32607650756836,78.81782531738281,0.009787936694920063,0.02786923758685589,0.06816752254962921,0.00605858163908124,0.011112198233604431,0.02308129332959652,0.006356333382427692,0.011010425165295601,0.01899092271924019,0.007705819676630199,0.00780856516212225,0.010638618376106024,0.011672484688460827,0.021361418068408966,0.02198958955705166,0.0072539569810032845,0.0073279086500406265,0.007473823265172541,0.00755712715908885,0.00723587186075747,0.0073685613460838795,0.00723587186075747,0.0073685613460838795
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,16,False,4.0,0.001988152740523219,0.011698952876031399,0.004668918903917074,0.003285301849246025,0.0011572838993743062,0.0005893128109164536,0.010405530221760273,0.3432849645614624,0.0003407228214200586,0.0007706880569458008,0.0005629573133774102,0.0008530323393642902,0.7617093324661255,2.4874684810638428,18.899404525756836,2.062617778778076,7.713624477386475,70.0464096069336,0.006556402891874313,0.012051655910909176,0.023927439004182816,0.005467240698635578,0.009769298136234283,0.01925826631486416,0.005366388242691755,0.009521475061774254,0.01701323501765728,0.00777923408895731,0.007846822030842304,0.010150296846404672,0.010739797726273537,0.021006145514547825,0.021689116954803467,0.007309426320716739,0.007341459393501282,0.007569777779281139,0.007625195663422346,0.006829122547060251,0.006897956132888794,0.006829122547060251,0.006897956132888794
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,32,False,4.0,0.003486222354695201,0.019562138244509697,0.02140706405043602,0.006948716472834349,0.000983794336207211,0.0006060252198949456,0.022999266162514687,0.2953150272369385,0.0029121849220246077,0.007035493850708008,0.0011179160792380571,0.0038031996227800846,1.029493808746338,3.269174098968506,36.79673767089844,3.353455066680908,14.956186294555664,59.05664825439453,0.007677173707634211,0.018205398693680763,0.033507589250802994,0.0057234009727835655,0.010213421657681465,0.01742418296635151,0.007725916802883148,0.012668264098465443,0.023051558062434196,0.007787783979438245,0.007930060848593712,0.010363511741161346,0.010787260718643665,0.021289143711328506,0.02180507965385914,0.007569780689664185,0.007635520771145821,0.007849931833334267,0.00794458482414484,0.007013017660938203,0.007128195837140083,0.007013017660938203,0.007128195837140083
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,48,False,4.0,0.005027129780501127,0.13863548636436462,0.02072671800851822,0.007064008619636297,0.001116145751439035,0.010649442672729492,0.032209012657403946,0.40674132108688354,0.0032297309953719378,0.00766831636428833,0.010924525558948517,0.05835495889186859,1.100635290145874,3.8405728340148926,31.890438079833984,2.25178599357605,7.4833149909973145,75.32388305664062,0.009243212640285492,0.0165073424577713,0.18328557908535004,0.014724086970090866,0.05918841063976288,0.07215722650289536,0.0082131652161479,0.013346617110073566,0.022116683423519135,0.010061397450044751,0.010386044159531593,0.049107071943581104,0.0660490170121193,0.024198441300541162,0.024580027908086777,0.01051563024520874,0.01088656485080719,0.014350418001413345,0.014604018069803715,0.007486536516807973,0.007702456787228584,0.007486536516807973,0.007702456787228584
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,64,False,4.0,0.0031687282025814056,0.014314671978354454,0.006741310469806194,0.005550195928663015,0.001377597451210022,0.0013977165799587965,0.017773259431123734,0.37506288290023804,0.000677406438626349,0.0017511248588562012,0.0027009088080376387,0.00817199982702732,1.1550489664077759,3.960744857788086,57.36070251464844,2.6298611164093018,9.727286338806152,87.20951843261719,0.0076285540126264095,0.014910046942532063,0.027180282399058342,0.0064577278681099415,0.01220756210386753,0.02418065257370472,0.005803797394037247,0.01040506549179554,0.018370307981967926,0.008605415234342217,0.008859790861606598,0.015339593403041363,0.01901943050324917,0.021763372235000134,0.023274460807442665,0.007995410589501262,0.008136936463415623,0.008574069011956453,0.0089243333786726,0.007463436224497855,0.007819310761988163,0.007463436224497855,0.007819310761988163
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,80,False,4.0,0.0018031417857855558,0.017216099426150322,0.004426626022905111,0.002952825976535678,0.0005362899391911924,0.0021546431817114353,0.010362748987972736,0.5872986912727356,0.0014869759324938059,0.004081428050994873,0.0011684222845360637,0.0032464200630784035,0.6020040512084961,1.785357117652893,17.54102325439453,1.3012185096740723,4.949747562408447,33.74907302856445,0.006173119880259037,0.011077440343797207,0.031074607744812965,0.0056376042775809765,0.010051974095404148,0.016680503264069557,0.006081514060497284,0.010640359483659267,0.01870705559849739,0.00819604261778295,0.008326122537255287,0.01644713617861271,0.017969366163015366,0.02691274881362915,0.027972793206572533,0.00825983821414411,0.008328327909111977,0.009456670610234141,0.009613114409148693,0.007227551541291177,0.007396274711936712,0.007227551541291177,0.007396274711936712
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,96,False,4.0,0.0045621031895279884,0.027976438403129578,0.03033466823399067,0.009095200337469578,0.0013461718335747719,0.0006106052314862609,0.02671978436410427,0.39293739199638367,0.0018627109238877892,0.004963308572769165,0.0008628595969639719,0.001600175746716559,1.2435835599899292,4.322904109954834,44.82395935058594,3.0185391902923584,11.863810539245605,63.0570182800293,0.008628490380942822,0.018465138971805573,0.042536456137895584,0.005537780001759529,0.009754420258104801,0.01803949847817421,0.00697555486112833,0.0121713662520051,0.02551070973277092,0.00837995670735836,0.008476825430989265,0.013636390445753932,0.014417429454624653,0.024687688797712326,0.0257714856415987,0.0076641233172267675,0.007747774478048086,0.00812074076384306,0.008245513774454594,0.00804757489822805,0.008195674046874046,0.00804757489822805,0.008195674046874046
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,112,False,4.0,0.012930220924317837,0.8100937604904175,0.017564568668603897,0.011231969110667706,0.0012400038540363312,0.05309562385082245,0.09952738881111145,0.36817511916160583,0.0028252573683857918,0.00699964165687561,0.016997750848531723,0.07196544110774994,1.2738767862319946,4.4370598793029785,42.42861557006836,2.8465051651000977,7.8541388511657715,77.16014099121094,0.01693357527256012,0.030605843290686607,0.8272721767425537,0.020520400255918503,0.07432833313941956,0.08512388914823532,0.007601037155836821,0.012549364939332008,0.022769508883357048,0.008640841813758016,0.008869805373251438,0.02086575306020677,0.030190590769052505,0.022754597011953592,0.023780375719070435,0.008590122684836388,0.008838146924972534,0.009449156001210213,0.009921780787408352,0.007179476320743561,0.007228808477520943,0.007179476320743561,0.007228808477520943
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,128,False,4.0,0.005961826536804438,0.04530118405818939,0.03174329921603203,0.012460288591682911,0.0007731976802460849,0.0020323237404227257,0.045153748244047165,0.40734702348709106,0.0025564974639564753,0.006772369146347046,0.00297159468755126,0.010925611481070518,1.8641191720962524,7.5,66.5037612915039,2.7829930782318115,8.411301612854004,86.96371459960938,0.010219796560704708,0.03559036925435066,0.06461416184902191,0.0068894331343472,0.013815909624099731,0.023265505209565163,0.007660881616175175,0.01283579133450985,0.023074746131896973,0.008985033491626382,0.009222596883773804,0.01497015985660255,0.01608489640057087,0.02295266231521964,0.02404928021132946,0.008665474830195308,0.008878909982740879,0.009445819072425365,0.009783667512238026,0.008217948256060481,0.008487585000693798,0.008217948256060481,0.008487585000693798
x0.2_t5_i25,baseline_h16,72,x0.2_t5,25,144,False,4.0,0.0033565203193575144,0.01463403832167387,0.014391232281923294,0.0061478521674871445,0.0010145447449758649,0.0020084509160369635,0.01856282353401184,0.42378222942352295,0.0005604219622910023,0.001394808292388916,0.0013842028565704823,0.002712205983698368,1.1631085872650146,4.153311729431152,30.004165649414062,2.7318427562713623,9.0,72.21322631835938,0.00744987279176712,0.014418683014810085,0.03659621253609657,0.0058096726424992085,0.010346631519496441,0.018000366166234016,0.005504321306943893,0.009835870005190372,0.01799529790878296,0.008941532578319311,0.009022661484777927,0.017750648548826575,0.022192666307091713,0.027723984327167273,0.02865014784038067,0.008390958653762937,0.008436196483671665,0.009040233446285129,0.009198217652738094,0.007058774936012924,0.007112807594239712,0.007058774936012924,0.007112807594239712
