case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
goal_mug_task9_init0_surrogate_confirm,max_value,action_l1,20,20,19,1.0,0.95,-0.05,0,1,19,1.0,9.9,10.3,1.0,1.0404040404040404,0.39823232323232316,0.0,0.0,0.07227272727272728,16.0
goal_mug_task9_init0_surrogate_confirm,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,20,20,18,1.0,0.9,-0.1,0,2,18,0.5,9.9,12.05,1.0699242424242426,1.2171717171717171,0.4416825396825398,0.9804761904761904,0.1317207792207792,0.1317207792207792,14.946233766233766
goal_mug_task9_init0_surrogate_confirm,max_value,requery_l1_h8,20,20,17,1.0,0.85,-0.15,0,3,17,0.25,9.9,14.75,1.2425631313131311,1.4898989898989898,0.35110916860916863,0.0,0.35110916860916863,0.14584075646575648,13.191126651126652
long_milk_task9_init0_surrogate_confirm,max_value,action_l1,20,16,16,0.8,0.8,0.0,2,2,16,1.0,19.8,19.75,1.0,0.9974747474747474,0.4475144830659537,0.0,0.0,0.09532308377896613,16.0
long_milk_task9_init0_surrogate_confirm,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,20,16,18,0.8,0.9,0.1,3,1,16,0.625,19.8,20.35,1.0613933221509948,1.027777777777778,0.3971406245424999,0.9716309016831666,0.11098878236931628,0.11098878236931628,15.11208974104547
long_milk_task9_init0_surrogate_confirm,max_value,requery_l1_h8,20,16,17,0.8,0.85,0.05,3,2,15,1.0,19.8,24.2,1.285793930012196,1.222222222222222,0.4520045857318066,0.0,0.4520045857318066,0.09063944572124959,12.38396331414555
long_mug_task4_init0_surrogate_confirm,max_value,action_l1,20,17,19,0.85,0.95,0.1,3,1,16,0.625,17.7,15.9,1.0,0.8983050847457628,0.45212121212121215,0.0,0.0,0.04818181818181818,16.0
long_mug_task4_init0_surrogate_confirm,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,20,17,18,0.85,0.9,0.05,3,2,15,1.0,17.7,17.1,1.009090909090909,0.9661016949152543,0.3977220077220077,0.9652123552123552,0.05795366795366795,0.05795366795366795,15.536370656370654
long_mug_task4_init0_surrogate_confirm,max_value,requery_l1_h8,20,17,20,0.85,1.0,0.15,3,0,17,0.25,17.7,17.3,1.2273809523809525,0.9774011299435029,0.3781830495356037,0.0,0.3781830495356037,0.01719448744410045,12.974535603715172
milk_task5_init0_surrogate_confirm,max_value,action_l1,20,9,14,0.45,0.7,0.25,9,4,7,0.266845703125,11.7,10.35,1.0,0.8846153846153847,0.4453968253968255,0.0,0.0,0.21424603174603174,16.0
milk_task5_init0_surrogate_confirm,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,20,9,5,0.45,0.25,-0.2,3,7,10,0.34375,11.7,15.2,1.2107142857142859,1.2991452991452992,0.3832677281438892,0.8531011351909186,0.30797063123495005,0.30797063123495005,13.536234950120399
milk_task5_init0_surrogate_confirm,max_value,requery_l1_h8,20,9,9,0.45,0.45,0.0,5,5,10,1.0,11.7,14.25,1.2395039682539681,1.217948717948718,0.36779040404040403,0.0,0.36779040404040403,0.23411616161616156,13.05767676767677
new_ood_goal_task_task6_init0_surrogate_confirm,max_value,action_l1,20,0,0,0.0,0.0,0.0,0,0,20,1.0,19.0,19.0,1.0,1.0,0.4578947368421053,0.0,0.0,0.05,16.0
new_ood_goal_task_task6_init0_surrogate_confirm,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,20,0,0,0.0,0.0,0.0,0,0,20,1.0,19.0,19.65,1.0342105263157895,1.0342105263157895,0.292390350877193,0.5536403508771931,0.053333333333333344,0.053333333333333344,15.573333333333332
new_ood_goal_task_task6_init0_surrogate_confirm,max_value,requery_l1_h8,20,0,0,0.0,0.0,0.0,0,0,20,1.0,19.0,25.55,1.3447368421052632,1.3447368421052632,0.49652406168710517,0.0,0.49652406168710517,0.026038461538461538,12.027807506503157
new_ood_long_swap_task4_init0_surrogate_confirm,max_value,action_l1,20,0,0,0.0,0.0,0.0,0,0,20,1.0,33.0,33.0,1.0,1.0,0.4621212121212121,0.0,0.0,0.18333333333333332,16.0
new_ood_long_swap_task4_init0_surrogate_confirm,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,20,0,0,0.0,0.0,0.0,0,0,20,1.0,33.0,39.7,1.203030303030303,1.2030303030303031,0.33099748446797334,0.7089534984598764,0.34234144267517286,0.34234144267517286,13.261268458598616
