case_id,suite,task_id,init_state_id,rollout_seed,success,planning_difficulty_threshold,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_consensus_first_mean,difficulty_gate_on
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960000,True,0.088588,0.16169609129428864,0.0017424413235858083,0.00463441014289856,0.0238517913967371,0.010919997468590736,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960097,True,0.088588,0.16071216762065887,0.0016106537077575922,0.004257947206497192,0.02464633621275425,0.007363440468907356,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960194,True,0.088588,0.1620102822780609,0.0011644278420135379,0.0031282901763916016,0.02474129945039749,0.014514792710542679,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960291,True,0.088588,0.16283771395683289,0.0015232352307066321,0.0040385425090789795,0.02401397004723549,0.012171161361038685,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960388,True,0.088588,0.16366738080978394,0.0017803292721509933,0.004891693592071533,0.02428702637553215,0.00756904948502779,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960485,True,0.088588,0.16329023241996765,0.0004863461945205927,0.0012803375720977783,0.02478950470685959,0.01526790764182806,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960582,True,0.088588,0.16139110922813416,0.0004826591466553509,0.0013012886047363281,0.025267109274864197,0.011634769849479198,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960679,True,0.088588,0.16190099716186523,0.002841667737811804,0.00696679949760437,0.02399364858865738,0.012184638530015945,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960776,True,0.088588,0.16334423422813416,0.000865814508870244,0.0021765828132629395,0.024074165150523186,0.014047540724277496,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960873,True,0.088588,0.1637335568666458,0.0019952328875660896,0.005401790142059326,0.023503093048930168,0.014585580676794052,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960970,True,0.088588,0.1630113422870636,0.0018651233986020088,0.005259484052658081,0.024525031447410583,0.014099146239459515,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961067,True,0.088588,0.16231264173984528,0.002770031802356243,0.007435351610183716,0.024031341075897217,0.011568179354071617,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961164,True,0.088588,0.16284918785095215,0.001283947261981666,0.0034134984016418457,0.02462228201329708,0.00856024120002985,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961261,True,0.088588,0.16225913166999817,0.0013418750604614615,0.003182917833328247,0.023727338761091232,0.010969296097755432,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961358,True,0.088588,0.1625431627035141,0.0018116476712748408,0.004609018564224243,0.024013858288526535,0.014207959175109863,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961455,True,0.088588,0.16180266439914703,0.0007579640368930995,0.002063959836959839,0.023825768381357193,0.009366590529680252,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961552,True,0.088588,0.16269156336784363,0.0010354893747717142,0.0025244057178497314,0.02449757605791092,0.012263975106179714,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961649,True,0.088588,0.16228222846984863,0.0010431306436657906,0.0024057626724243164,0.02459537424147129,0.009150310419499874,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961746,True,0.088588,0.16296307742595673,0.0015207668766379356,0.0038674473762512207,0.02395660988986492,0.008650417439639568,True
goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961843,True,0.088588,0.16062802076339722,0.0011207174975425005,0.002986401319503784,0.023626092821359634,0.014679256826639175,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950000,True,0.088588,0.09027668833732605,0.0005388212157413363,0.0013039708137512207,0.019509512931108475,0.0031636578496545553,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950097,True,0.088588,0.09063120186328888,0.0006101762410253286,0.0014834702014923096,0.019614532589912415,0.0028084134683012962,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950194,True,0.088588,0.09053230285644531,0.000468422775156796,0.0012708008289337158,0.019879521802067757,0.003939197398722172,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950291,True,0.088588,0.09093992412090302,0.0001773245894582942,0.00047725439071655273,0.02020994760096073,0.0050289081409573555,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950388,True,0.088588,0.09011713415384293,0.00033503942540846765,0.0008782446384429932,0.020185677334666252,0.005799192003905773,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950485,True,0.088588,0.09092443436384201,0.0006217921618372202,0.0016096532344818115,0.019541319459676743,0.004740733187645674,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950582,True,0.088588,0.0904056653380394,0.0004085382097400725,0.0011155307292938232,0.0197780542075634,0.0033576199784874916,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950679,False,0.088588,0.09091819077730179,0.0007169266464188695,0.00200006365776062,0.019566349685192108,0.0031933789141476154,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950776,True,0.088588,0.09072168916463852,0.00025056631420738995,0.0006969571113586426,0.019603226333856583,0.003942472394555807,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950873,True,0.088588,0.09126728028059006,0.00025610363809391856,0.0006935000419616699,0.01920473389327526,0.0044417958706617355,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,950970,True,0.088588,0.09095343202352524,0.0005423029069788754,0.001258552074432373,0.01971082016825676,0.0030234106816351414,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951067,True,0.088588,0.09035681188106537,0.0005412513855844736,0.0011576414108276367,0.02001527138054371,0.0027224961668252945,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951164,False,0.088588,0.09068258851766586,0.000336383847752586,0.0009469389915466309,0.020274145528674126,0.004694515373557806,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951261,True,0.088588,0.09123014658689499,0.00027486163889989257,0.0006823539733886719,0.01999717205762863,0.0043960679322481155,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951358,True,0.088588,0.09088525176048279,0.0003558513999450952,0.0008817911148071289,0.02008187770843506,0.003648395650088787,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951455,True,0.088588,0.09089004993438721,0.0003610116837080568,0.0008103549480438232,0.020484399050474167,0.004401660989969969,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951552,True,0.088588,0.09097522497177124,0.00041483319364488125,0.0011365413665771484,0.019916696473956108,0.004194317851215601,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951649,False,0.088588,0.09085740149021149,0.00048217206494882703,0.0011799037456512451,0.01977960765361786,0.004341889638453722,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951746,False,0.088588,0.09071286022663116,0.00037109781987965107,0.0009335577487945557,0.020079176872968674,0.006068939343094826,True
long_milk_task9_init0_surrogate_confirm,libero_10_with_milk,9,0,951843,True,0.088588,0.09117744117975235,0.0009155542938970029,0.002501964569091797,0.02009171061217785,0.004290984943509102,True
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930000,True,0.088588,0.08832765370607376,0.0009173082653433084,0.00255584716796875,0.021977746859192848,0.06618975102901459,False
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930097,True,0.088588,0.08875883370637894,0.0005783598171547055,0.0015005767345428467,0.02152607962489128,0.08089370280504227,True
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930194,True,0.088588,0.08832909166812897,0.0008116416865959764,0.0022680461406707764,0.021045725792646408,0.022642329335212708,False
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930291,True,0.088588,0.08956794440746307,0.0005546775064431131,0.0012124478816986084,0.02146366611123085,0.044468656182289124,True
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930388,True,0.088588,0.08893207460641861,0.0005092085339128971,0.0012484192848205566,0.020859308540821075,0.04634157568216324,True
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930485,True,0.088588,0.08889050036668777,0.001327113714069128,0.0034307241439819336,0.02100721187889576,0.06479160487651825,True
long_mug_task4_init0_surrogate_confirm,libero_10_with_mug,4,0,930582,True,0.088588,0.08794864267110825,0.00031079797190614045,0.0007608234882354736,0.02091190591454506,0.05990537628531456,False
