case_id,rollouts,baseline_success_rate,difficulty_gate_rate,q0_candidate_value_mean_mean,q0_candidate_value_mean_std,q0_candidate_value_std_mean,q0_candidate_value_std_std,q0_candidate_value_range_mean,q0_candidate_value_range_std,q0_candidate_action_internal_consistency_mean_mean,q0_candidate_action_internal_consistency_mean_std,q0_candidate_action_consensus_first_mean_mean,q0_candidate_action_consensus_first_mean_std
goal_mug_task9_init0_surrogate_confirm,20,1.0,1.0,0.16239633932709693,0.0008753703361930199,0.0014521750737912953,0.0006391405513615513,0.0037912964820861817,0.0016891036200780225,0.02422946086153388,0.0004595550136932984,0.011688712565228344,0.002557989414588457
long_milk_task9_init0_surrogate_confirm,20,0.8,1.0,0.09077278599143028,0.0003139491901985141,0.00044895157261635175,0.0001782564116577765,0.0011509522795677186,0.0004790029856480919,0.019876187667250633,0.00031487509671347463,0.004109902388881892,0.0009181628279955694
long_mug_task4_init0_surrogate_confirm,20,0.85,0.45,0.08858406618237495,0.00045278557554658276,0.0006204702745890245,0.00027771278165218504,0.0016121372580528259,0.0007526134711451602,0.021340706385672092,0.0003540890732498141,0.053989801462739705,0.018381763987630823
milk_task5_init0_surrogate_confirm,20,0.45,1.0,0.3311699166893959,0.00043077571740916505,0.0006695078176562674,0.0002655486454481104,0.0017714381217956543,0.0007160059878864929,0.021939715091139077,0.00023721244975791385,0.018461014865897594,0.006989690807887098
new_ood_goal_task_task6_init0_surrogate_confirm,20,0.0,1.0,0.4220184668898582,0.0006210591280616099,0.0008503830416884739,0.000351242939277936,0.0021599173545837403,0.0009033508998843921,0.020597244333475827,0.0002905171948002578,0.026497361343353988,0.0082889917114773
new_ood_long_swap_task4_init0_surrogate_confirm,20,0.0,0.0,0.0744635283946991,0.00018115506573511915,0.00029471128873410636,9.599096678057844e-05,0.0007727757096290588,0.0002598766223958798,0.019773672614246608,0.0002219046997704685,0.013716141204349696,0.00527180716671849
new_ood_object_object_task7_init0_surrogate_confirm,20,1.0,1.0,0.30912108570337293,0.0003341401819045099,0.0005507266218046425,0.00024249400623976118,0.001434566080570221,0.0006341419439693803,0.021808653697371484,0.0003051425218668393,0.028721782471984626,0.007913425416363019
new_ood_spatial_lan_task6_init0_surrogate_confirm,20,1.0,1.0,0.30028276294469836,0.0006648896980435037,0.0009818466060096398,0.0003585050459834939,0.002523563802242279,0.0009014254890261755,0.02154507813975215,0.00033198422838629106,0.024378780648112296,0.010155863102174428
new_ood_spatial_object_task0_init0_surrogate_confirm,20,1.0,1.0,0.4622474476695061,0.00042346928209527205,0.000779387610964477,0.00026671768196685064,0.002004864811897278,0.000700788350236875,0.022322878893464803,0.00034400526249530244,0.022043934697285293,0.007659921323894122
new_ood_spatial_swap_task8_init0_surrogate_confirm,20,0.05,1.0,0.3709817245602608,0.0012058625602153344,0.0017514823470264674,0.0007884937738896537,0.004544302821159363,0.0021562333567595156,0.021975786611437797,0.00039935089685870734,0.03754807971417904,0.014958950462435738
spatial_mug_task0_init0_surrogate_confirm,20,0.75,1.0,0.4556780144572258,0.0006640431114304497,0.0010130106573342345,0.0005207681591291702,0.0026252686977386473,0.0014106820003104838,0.0233578247949481,0.00043312400086596036,0.025860159564763306,0.00734233634210365
yellow_task8_init0_surrogate_confirm,20,0.4,1.0,0.30902843177318573,0.003960985842057335,0.006857482076156884,0.0022094601651643474,0.017672838270664216,0.00578807110360724,0.023180346842855214,0.00025473332264371474,0.015179841895587742,0.004081018763938025
