source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961164,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,False,320,26,kinematic_deadlock_candidate,False,False,26,0.46153846153846156,0.0,0.46153846153846156,0.2692307692307692,12.307692307692308,20.0,1.3
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961261,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,161,13,success,False,False,13,0.3076923076923077,0.0,0.3076923076923077,0.07692307692307693,13.538461538461538,11.0,1.1818181818181819
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961358,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,187,18,success,False,False,18,0.6666666666666667,0.0,0.6666666666666666,0.2222222222222222,10.666666666666666,12.0,1.5
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961455,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,161,11,success,False,False,11,0.0,0.0,0.0,0.18181818181818182,16.0,11.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961552,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,159,13,success,False,False,13,0.46153846153846156,0.0,0.46153846153846156,0.07692307692307693,12.307692307692308,10.0,1.3
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961649,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,183,15,success,False,False,15,0.4,0.0,0.4,0.3333333333333333,12.8,12.0,1.25
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961746,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,169,16,success,False,False,16,0.625,0.0,0.625,0.0625,11.0,11.0,1.4545454545454546
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961843,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,129,10,success,False,False,10,0.19999999999999996,0.0,0.2,0.0,14.4,9.0,1.1111111111111112
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960000,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,160,10,success,False,False,10,0.0,0.0,0.0,0.1,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960097,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,157,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960194,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,137,9,success,False,False,9,0.0,0.0,0.0,0.0,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960291,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,137,9,success,False,False,9,0.0,0.0,0.0,0.0,16.0,9.0,1.0
