case_stratum,baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate,mean_surrogate_alarm_rate
known_boundary,max_value,requery_l1_h8,6,120,85,94,0.7083333333333334,0.7833333333333333,0.075,-0.016666666666666666,0.16666666666666666,-0.15,0.25,21,12,87,0.16275565745308995,13.291666666666666,15.241666666666667,1.2499384183497961,1.1467084639498433,0.38831204456179547,0.16014196015430412
known_boundary,max_value,action_l1,6,120,85,89,0.7083333333333334,0.7416666666666667,0.03333333333333333,-0.058333333333333334,0.125,-0.1,0.25,20,16,84,0.617719317029696,13.291666666666666,12.975,1.0,0.9761755485893417,0.0,0.17449621048885755
known_boundary,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,6,120,85,86,0.7083333333333334,0.7166666666666667,0.008333333333333333,-0.075,0.1,-0.2,0.15,16,15,89,1.0,13.291666666666666,14.95,1.1252030828293618,1.1247648902821317,0.20373056574729045,0.20373056574729045
new_ood_holdout,max_value,requery_l1_h8,6,120,61,67,0.5083333333333333,0.5583333333333333,0.05,0.016666666666666666,0.08333333333333333,0.0,0.3,6,0,114,0.03125,14.475,18.566666666666666,1.282076404346141,1.282671272308578,0.4336218301397565,0.13411343625343705
new_ood_holdout,max_value,action_l1,6,120,61,62,0.5083333333333333,0.5166666666666667,0.008333333333333333,-0.016666666666666666,0.03333333333333333,0.0,0.05,2,1,117,1.0,14.475,14.483333333333333,1.0,1.0005757052389177,0.0,0.09564000814000814
new_ood_holdout,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,6,120,61,61,0.5083333333333333,0.5083333333333333,0.0,-0.025,0.025,0.0,0.0,1,1,118,1.0,14.475,16.341666666666665,1.0904167616009721,1.128957973517559,0.15034953410484622,0.15034953410484622
