baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate,mean_surrogate_alarm_rate
max_value,requery_l1_h8,12,240,146,161,0.6083333333333333,0.6708333333333333,0.0625,0.016666666666666666,0.1125,-0.15,0.3,27,12,201,0.023702702470473014,13.883333333333333,16.904166666666665,1.2660074113479687,1.2175870348139255,0.410966937350776,0.1471276982038706
max_value,action_l1,12,240,146,151,0.6083333333333333,0.6291666666666667,0.020833333333333332,-0.029166666666666667,0.07083333333333333,-0.1,0.25,22,17,201,0.5223973804968409,13.883333333333333,13.729166666666666,1.0,0.9888955582232893,0.0,0.13506810931443286
max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,12,240,146,147,0.6083333333333333,0.6125,0.004166666666666667,-0.041666666666666664,0.05,-0.2,0.15,17,16,207,1.0,13.883333333333333,15.645833333333334,1.107809922215167,1.126950780312125,0.17704004992606834,0.17704004992606834
