factor,independent_groups,sr_delta,ci95_lower,ci95_upper,probability_delta_above_zero
Environment,15,-0.03333333333333333,-0.09166666666666666,0.0,0.0
Object,10,0.0,0.0,0.0,0.0
Position,20,0.025,0.0,0.05,0.9596
All,45,-0.002777777777777777,-0.022222222222222227,0.013888888888888888,0.348
