factor,planning_strategy,query_idx,episodes_at_query,selected_not_max_value_rate,mean_value_sacrifice,mean_future_image_mse,mean_future_proprio_l2
Environment,frozen_factor_ridge,0,120,0.6166666666666667,0.006368657946586609,642.5441757202149,0.02044966984152173
Environment,frozen_factor_ridge,1,120,0.725,0.0032465226948261263,961.9602193196614,0.020279204992887875
Environment,frozen_factor_ridge,2,120,0.7166666666666667,0.0025141884883244834,1163.4384653727213,0.07686450706484417
Environment,frozen_factor_ridge,3,120,0.725,0.00309633140762647,1073.1427688598633,0.2999933348658184
Environment,frozen_factor_ridge,4,120,0.5833333333333334,0.0022923387587070465,769.7237032572428,0.1381275017435352
Environment,frozen_factor_ridge,5,120,0.7583333333333333,0.005259968588749568,897.9403198242187,0.2247027834566931
Environment,frozen_factor_ridge,6,120,0.7583333333333333,0.005237133055925369,831.2802973429363,0.15062863524071873
Environment,frozen_factor_ridge,7,103,0.8252427184466019,0.014985258428795823,895.8972579807911,0.32556552820594853
Environment,frozen_factor_ridge,8,87,0.8390804597701149,0.018789269800843864,814.3183783169451,0.14171126543747625
Environment,frozen_factor_ridge,9,87,0.7701149425287356,0.006278701554769757,832.110715668777,0.18025147720058074
Environment,frozen_factor_ridge,10,87,0.8735632183908046,0.004892657200495402,777.3541158040365,0.1359499747725739
Environment,frozen_factor_ridge,11,84,0.6428571428571429,0.0036526198188463845,739.376098269508,0.1990994893324872
Environment,frozen_factor_ridge,12,84,0.6785714285714286,0.002046979608989897,755.5649730137417,0.13566844155346708
Environment,frozen_factor_ridge,13,84,0.7976190476190477,0.0021897447960717337,873.8827921549479,0.17603498730542405
Environment,frozen_factor_ridge,14,82,0.7317073170731707,0.003847553235728566,803.9683659251143,0.14643910729394452
Environment,frozen_factor_ridge,15,81,0.7777777777777778,0.0019730903484203198,816.2427808973524,0.23757254205828096
Environment,frozen_factor_ridge,16,81,0.7654320987654321,0.0023064547114902073,788.8883380654418,0.18076147219557084
Environment,frozen_factor_ridge,17,79,0.7341772151898734,0.0058005486108079745,875.8790379777739,0.32096882690262946
Environment,max_value,0,120,0.0,0.0,642.4654983520508,0.020438468685218442
